Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,
Daerah,Kota Yogyakarta,,,,,,
Tahun,2016,,,,,,
Kode Organisasi,1.03.01,,,,,,
Nama Organisasi,Dinas Permukiman dan Prasarana Wilayah,,,,,,
Kolom,4,,,,,,
Kode Rekening,Uraian,Jumlah,Keterangan,,,,
1.03.1.03.01.033.002.5.2.1.03.01 ,Uang Lembur PNS ,"12288000,00",Uang Lembur PNS 12288000,,,,
1.03.1.03.01.033.002.5.2.2 ,BELANJA BARANG DAN JASA ,"3845230189,00",,,,,
1.03.1.03.01.033.002.5.2.2.02 ,Belanja Bahan/Material ,"1577295000,00",,,,,
1.03.1.03.01.033.002.5.2.2.02.01 ,Belanja Bahan Baku Bangunan ,"1523859000,00",Belanja Bahan Baku Bangunan 1523859000,,,,
1.03.1.03.01.033.002.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"53436000,00",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 53436000,,,,
1.03.1.03.01.033.002.5.2.2.03 ,Belanja Jasa Kantor ,"743747785,00",,,,,
1.03.1.03.01.033.002.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"743747785,00",Belanja Jasa Penyedia /Tenaga Teknis 743747785,,,,
1.03.1.03.01.033.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,"1530000,00",,,,,
1.03.1.03.01.033.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"1530000,00",Belanja Makanan Dan Minuman Rapat 1530000,,,,
1.03.1.03.01.033.002.5.2.2.13 ,Belanja Pakaian Kerja ,"21600000,00",,,,,
1.03.1.03.01.033.002.5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,"21600000,00",Belanja Pakaian Kerja Lapangan 21600000,,,,
1.03.1.03.01.033.002.5.2.2.20 ,Belanja Pemeliharaan ,"1395500000,00",,,,,
1.03.1.03.01.033.002.5.2.2.20.10 ,Belanja Pemeliharaan Bangunan Air ,"1395500000,00",Belanja Pemeliharaan Bangunan Air 1395500000,,,,
1.03.1.03.01.033.002.5.2.2.21 ,Belanja Jasa Konsultansi ,"105557404,00",,,,,
1.03.1.03.01.033.002.5.2.2.21.02 ,Belanja Jasa Konsultansi Perencanaan ,"55000000,00",Belanja Jasa Konsultansi Perencanaan 55000000,,,,
1.03.1.03.01.033.002.5.2.2.21.03 ,Belanja Jasa Konsultansi Pengawasan ,"50557404,00",Belanja Jasa Konsultansi Pengawasan 50557404,,,,
1.03.1.03.01.033.002.5.2.3 ,BELANJA MODAL ,"253000000,00",,,,,
1.03.1.03.01.033.002.5.2.3.08 ,Belanja Modal Pengadaan Alat  Alat Bengkel ,"230000000,00",,,,,
1.03.1.03.01.033.002.5.2.3.08.10 ,Belanja Modal Alat Perbengkelan Umum ,"230000000,00",Belanja Modal Alat Perbengkelan Umum 230000000,,,,
1.03.1.03.01.033.002.5.2.3.11 ,Belanja Modal Pengadaan Perlengkapan Kantor ,"23000000,00",,,,,
1.03.1.03.01.033.002.5.2.3.11.11 ,Belanja Modal Pengadaan Mesin Pompa Air ,"18000000,00",Belanja Modal Pengadaan Mesin Pompa Air 18000000,,,,
1.03.1.03.01.033.002.5.2.3.11.14 ,Belanja Modal Pengadaan Tangga Lipat ,"5000000,00",Belanja Modal Pengadaan Tangga Lipat 5000000,,,,
1.03.1.03.01.033.003 ,Peningkatan dan Pembangunan Talud ,"5009100000,00",,,,,
1.03.1.03.01.033.003.5.2.3 ,BELANJA MODAL ,"5009100000,00",,,,,
1.03.1.03.01.033.003.5.2.3.23 ,Belanja Modal Pengadaan Konstruksi Jaringan Air ,"5009100000,00",,,,,
1.03.1.03.01.033.003.5.2.3.23.01 ,Belanja Modal Pengadaan Konstruksi Bendungan ,"5009100000,00",Belanja Modal Pengadaan Konstruksi Bendungan 5009100000,,,,
1.03.1.03.01.033.004 ,Pemeliharaan Bangunan Talud ,"1959168000,00",,,,,
1.03.1.03.01.033.004.5.2.1 ,BELANJA PEGAWAI ,"19586000,00",,,,,
1.03.1.03.01.033.004.5.2.1.01 ,Honorarium PNS ,"9410000,00",,,,,
1.03.1.03.01.033.004.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"5285000,00",Honorarium Panitia Pelaksana Kegiatan 5285000,,,,
1.03.1.03.01.033.004.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"4125000,00",Honorarium Tim Pengadaan Barang dan Jasa 4125000,,,,
1.03.1.03.01.033.004.5.2.1.03 ,Uang Lembur ,"10176000,00",,,,,
1.03.1.03.01.033.004.5.2.1.03.01 ,Uang Lembur PNS ,"10176000,00",Uang Lembur PNS 10176000,,,,
1.03.1.03.01.033.004.5.2.2 ,BELANJA BARANG DAN JASA ,"1939582000,00",,,,,
1.03.1.03.01.033.004.5.2.2.11 ,Belanja Makanan Dan Minuman ,"1620000,00",,,,,
1.03.1.03.01.033.004.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"1620000,00",Belanja Makanan Dan Minuman Rapat 1620000,,,,
1.03.1.03.01.033.004.5.2.2.15 ,Belanja Perjalanan Dinas ,"1450000,00",,,,,
1.03.1.03.01.033.004.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"1450000,00",Belanja Perjalanan Dinas Dalam Daerah 1450000,,,,
1.03.1.03.01.033.004.5.2.2.20 ,Belanja Pemeliharaan ,"1843000000,00",,,,,
1.03.1.03.01.033.004.5.2.2.20.10 ,Belanja Pemeliharaan Bangunan Air ,"1843000000,00",Belanja Pemeliharaan Bangunan Air 1843000000,,,,
1.03.1.03.01.033.004.5.2.2.21 ,Belanja Jasa Konsultansi ,"93512000,00",,,,,
1.03.1.03.01.033.004.5.2.2.21.02 ,Belanja Jasa Konsultansi Perencanaan ,"45512000,00",Belanja Jasa Konsultansi Perencanaan 45512000,,,,
1.03.1.03.01.033.004.5.2.2.21.03 ,Belanja Jasa Konsultansi Pengawasan ,"48000000,00",Belanja Jasa Konsultansi Pengawasan 48000000,,,,
1.03.1.03.01.034 ,Program Peningkatan dan Pemeliharaan Drainase ,"8857490946,00",,,,,
1.03.1.03.01.034.001 ,Peningkatan dan Pembangunan Saluran Drainase ,"3842327000,00",,,,,
1.03.1.03.01.034.001.5.2.3 ,BELANJA MODAL ,"3842327000,00",,,,,
1.03.1.03.01.034.001.5.2.3.23 ,Belanja Modal Pengadaan Konstruksi Jaringan Air ,"3842327000,00",,,,,
1.03.1.03.01.034.001.5.2.3.23.10 ,Belanja Modal Pengadaan Konstruksi Drainase ,"3842327000,00",Belanja Modal Pengadaan Konstruksi Drainase 3842327000,,,,
1.03.1.03.01.034.002 ,Pemeliharaan Saluran Drainase ,"5015163946,00",,,,,
1.03.1.03.01.034.002.5.2.1 ,BELANJA PEGAWAI ,"28375000,00",,,,,
1.03.1.03.01.034.002.5.2.1.01 ,Honorarium PNS ,"28375000,00",,,,,
1.03.1.03.01.034.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"18675000,00",Honorarium Panitia Pelaksana Kegiatan 18675000,,,,
1.03.1.03.01.034.002.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"9700000,00",Honorarium Tim Pengadaan Barang dan Jasa 9700000,,,,
1.03.1.03.01.034.002.5.2.2 ,BELANJA BARANG DAN JASA ,"4963588946,00",,,,,
1.03.1.03.01.034.002.5.2.2.02 ,Belanja Bahan/Material ,"587878500,00",,,,,
1.03.1.03.01.034.002.5.2.2.02.01 ,Belanja Bahan Baku Bangunan ,"563798500,00",Belanja Bahan Baku Bangunan 563798500,,,,
1.03.1.03.01.034.002.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"24080000,00",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 24080000,,,,
1.03.1.03.01.034.002.5.2.2.03 ,Belanja Jasa Kantor ,"647161446,00",,,,,
1.03.1.03.01.034.002.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"647161446,00",Belanja Jasa Penyedia /Tenaga Teknis 647161446,,,,
1.03.1.03.01.034.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,"8520000,00",,,,,
1.03.1.03.01.034.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"8520000,00",Belanja Makanan Dan Minuman Rapat 8520000,,,,
1.03.1.03.01.034.002.5.2.2.13 ,Belanja Pakaian Kerja ,"6960000,00",,,,,
1.03.1.03.01.034.002.5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,"6960000,00",Belanja Pakaian Kerja Lapangan 6960000,,,,
1.03.1.03.01.034.002.5.2.2.15 ,Belanja Perjalanan Dinas ,"18144000,00",,,,,
1.03.1.03.01.034.002.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"18144000,00",Belanja Perjalanan Dinas Dalam Daerah 18144000,,,,
1.03.1.03.01.034.002.5.2.2.20 ,Belanja Pemeliharaan ,"3464925000,00",,,,,
1.03.1.03.01.034.002.5.2.2.20.10 ,Belanja Pemeliharaan Bangunan Air ,"3464925000,00",Belanja Pemeliharaan Bangunan Air 3464925000,,,,
1.03.1.03.01.034.002.5.2.2.21 ,Belanja Jasa Konsultansi ,"230000000,00",,,,,
1.03.1.03.01.034.002.5.2.2.21.02 ,Belanja Jasa Konsultansi Perencanaan ,"98000000,00",Belanja Jasa Konsultansi Perencanaan 98000000,,,,
1.03.1.03.01.034.002.5.2.2.21.03 ,Belanja Jasa Konsultansi Pengawasan ,"132000000,00",Belanja Jasa Konsultansi Pengawasan 132000000,,,,
1.03.1.03.01.034.002.5.2.3 ,BELANJA MODAL ,"23200000,00",,,,,
1.03.1.03.01.034.002.5.2.3.08 ,Belanja Modal Pengadaan Alat  Alat Bengkel ,"23200000,00",,,,,
1.03.1.03.01.034.002.5.2.3.08.10 ,Belanja Modal Alat Perbengkelan Umum ,"23200000,00",Belanja Modal Alat Perbengkelan Umum 23200000,,,,
1.03.1.03.01.035 ,Program Peningkatan dan Pemeliharaan Penerangan Jalan Umum ,"25063961323,00",,,,,
1.03.1.03.01.035.001 ,Peningkatan PJU Kampung ,"921905000,00",,,,,
1.03.1.03.01.035.001.5.2.3 ,BELANJA MODAL ,"921905000,00",,,,,
1.03.1.03.01.035.001.5.2.3.24 ,Belanja Modal Pengadaan Penerangan Jalan  Taman Dan Hutan Kota ,"921905000,00",,,,,
1.03.1.03.01.035.001.5.2.3.24.05 ,Belanja Modal Pengadaan Lampu Penerangan Jalan Kampung ,"921905000,00",Belanja Modal Pengadaan Lampu Penerangan Jalan Kampung 921905000,,,,
1.03.1.03.01.035.002 ,Peningkatan PJU Lingkungan ,"2244550000,00",,,,,
1.03.1.03.01.035.002.5.2.3 ,BELANJA MODAL ,"2244550000,00",,,,,
1.03.1.03.01.035.002.5.2.3.24 ,Belanja Modal Pengadaan Penerangan Jalan  Taman Dan Hutan Kota ,"2244550000,00",,,,,
1.03.1.03.01.035.002.5.2.3.24.06 ,Belanja Modal Pengadaan Lampu Penerangan Jalan Lingkungan ,"2244550000,00",Belanja Modal Pengadaan Lampu Penerangan Jalan Lingkungan 2244550000,,,,
1.03.1.03.01.035.003 ,Pemeliharaan PJU  Panel Jaringan dan Lampu Hias ,"20219496323,00",,,,,
1.03.1.03.01.035.003.5.2.1 ,BELANJA PEGAWAI ,"262154500,00",,,,,
1.03.1.03.01.035.003.5.2.1.01 ,Honorarium PNS ,"86351500,00",,,,,
1.03.1.03.01.035.003.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"79276500,00",Honorarium Panitia Pelaksana Kegiatan 79276500,,,,
1.03.1.03.01.035.003.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"7075000,00",Honorarium Tim Pengadaan Barang dan Jasa 7075000,,,,
1.03.1.03.01.035.003.5.2.1.03 ,Uang Lembur ,"146763000,00",,,,,
1.03.1.03.01.035.003.5.2.1.03.01 ,Uang Lembur PNS ,"146763000,00",Uang Lembur PNS 146763000,,,,
1.03.1.03.01.035.003.5.2.1.06 ,Uang Piket ,"29040000,00",,,,,
1.03.1.03.01.035.003.5.2.1.06.01 ,Uang Piket PNS ,"29040000,00",Uang Piket PNS 29040000,,,,
1.03.1.03.01.035.003.5.2.2 ,BELANJA BARANG DAN JASA ,"19957341823,00",,,,,
1.03.1.03.01.035.003.5.2.2.01 ,Belanja Bahan Pakai Habis ,"807238000,00",,,,,
1.03.1.03.01.035.003.5.2.2.01.03 ,Belanja Alat Listrik Dan Elektronik ,"807238000,00",Belanja Alat Listrik Dan Elektronik 807238000,,,,
1.03.1.03.01.035.003.5.2.2.02 ,Belanja Bahan/Material ,"30000000,00",,,,,
1.03.1.03.01.035.003.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"30000000,00",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 30000000,,,,
1.03.1.03.01.035.003.5.2.2.03 ,Belanja Jasa Kantor ,"15745709823,00",,,,,
1.03.1.03.01.035.003.5.2.2.03.02 ,Belanja Air ,"48000000,00",Belanja Air 48000000,,,,
1.03.1.03.01.035.003.5.2.2.03.03 ,Belanja Listrik ,"15600000000,00",Belanja Listrik 15600000000,,,,
1.03.1.03.01.035.003.5.2.2.03.18 ,Biaya Jasa Pembongkaran ,"15000000,00",Biaya Jasa Pembongkaran 15000000,,,,
1.03.1.03.01.035.003.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"82709823,00",Belanja Jasa Penyedia /Tenaga Teknis 82709823,,,,
1.03.1.03.01.035.003.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"408000,00",,,,,
1.03.1.03.01.035.003.5.2.2.06.03 ,Belanja Cetak Foto ,"408000,00",Belanja Cetak Foto 408000,,,,
1.03.1.03.01.035.003.5.2.2.11 ,Belanja Makanan Dan Minuman ,"7232000,00",,,,,
1.03.1.03.01.035.003.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"7232000,00",Belanja Makanan Dan Minuman Rapat 7232000,,,,
1.03.1.03.01.035.003.5.2.2.13 ,Belanja Pakaian Kerja ,"8800000,00",,,,,
1.03.1.03.01.035.003.5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,"8800000,00",Belanja Pakaian Kerja Lapangan 8800000,,,,
1.03.1.03.01.035.003.5.2.2.20 ,Belanja Pemeliharaan ,"3167954000,00",,,,,
1.03.1.03.01.035.003.5.2.2.20.13 ,Belanja Pemeliharaan Penerangan Jalan Umum ,"3167954000,00",Belanja Pemeliharaan Penerangan Jalan Umum 3167954000,,,,
1.03.1.03.01.035.003.5.2.2.21 ,Belanja Jasa Konsultansi ,"190000000,00",,,,,
1.03.1.03.01.035.003.5.2.2.21.02 ,Belanja Jasa Konsultansi Perencanaan ,"140000000,00",Belanja Jasa Konsultansi Perencanaan 140000000,,,,
1.03.1.03.01.035.003.5.2.2.21.03 ,Belanja Jasa Konsultansi Pengawasan ,"50000000,00",Belanja Jasa Konsultansi Pengawasan 50000000,,,,
1.03.1.03.01.035.004 ,Peningkatan PJU  Panel Jaringan dan Lampu Hias ,"1678010000,00",,,,,
1.03.1.03.01.035.004.5.2.3 ,BELANJA MODAL ,"1678010000,00",,,,,
1.03.1.03.01.035.004.5.2.3.24 ,Belanja Modal Pengadaan Penerangan Jalan  Taman Dan Hutan Kota ,"1678010000,00",,,,,
1.03.1.03.01.035.004.5.2.3.24.01 ,Belanja Modal Pengadaan Lampu Hias Jalan ,"1678010000,00",Belanja Modal Pengadaan Lampu Hias Jalan 1678010000,,,,
1.03.1.03.01.036 ,Program Pengembangan Kinerja Pengelolaan SAL ,"15025002237,00",,,,,
1.03.1.03.01.036.001 ,Peningkatan dan Pembangunan Sarana Prasarana SAL ,"11006700000,00",,,,,
1.03.1.03.01.036.001.5.2.3 ,BELANJA MODAL ,"11006700000,00",,,,,
1.03.1.03.01.036.001.5.2.3.03 ,Belanja Modal Pengadaan Alat  Alat Angkutan Darat Bermotor ,"2100000000,00",,,,,
1.03.1.03.01.036.001.5.2.3.03.06 ,Belanja Modal Pengadaan Alat  Alat Angkutan Darat Bermotor Truck ,"900000000,00",Belanja Modal Pengadaan Alat  Alat Angkutan Darat Bermotor 900000000,,,,
1.03.1.03.01.036.001.5.2.3.03.07 ,Belanja Modal Pengadaan Alat  Alat Angkutan Darat Bermotor Tangki (Air  Minyak  Tinja) ,"1200000000,00",Belanja Modal Pengadaan Alat  Alat Angkutan Darat Bermotor Tangki (Air  Minyak  Tinja) 1200000000,,,,
1.03.1.03.01.036.001.5.2.3.23 ,Belanja Modal Pengadaan Konstruksi Jaringan Air ,"8856325000,00",,,,,
1.03.1.03.01.036.001.5.2.3.23.09 ,Belanja Modal Pengadaan Konstruksi Jaringan Air ,"8856325000,00",Belanja Modal Pengadaan Konstruksi Jaringan Air 8856325000,,,,
1.03.1.03.01.036.001.5.2.3.27 ,Belanja Modal Pengadaan Buku/kepustakaan ,"50375000,00",,,,,
1.03.1.03.01.036.001.5.2.3.27.25 ,Belanja Modal Pengadaan Peta/atlas/globe ,"50375000,00",Belanja Modal Pengadaan Peta/atlas/globe 50375000,,,,
1.03.1.03.01.036.002 ,Pemeliharaan Sarana Prasarana SAL ,"2515542237,00",,,,,
1.03.1.03.01.036.002.5.2.1 ,BELANJA PEGAWAI ,"174448000,00",,,,,
1.03.1.03.01.036.002.5.2.1.01 ,Honorarium PNS ,"66880000,00",,,,,
1.03.1.03.01.036.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"61705000,00",Honorarium Panitia Pelaksana Kegiatan 61705000,,,,
1.03.1.03.01.036.002.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"5175000,00",Honorarium Tim Pengadaan Barang dan Jasa 5175000,,,,
1.03.1.03.01.036.002.5.2.1.02 ,Honorarium Non PNS ,"86400000,00",,,,,
1.03.1.03.01.036.002.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"86400000,00",Honorarium Panitia Pelaksana Kegiatan 86400000,,,,
1.03.1.03.01.036.002.5.2.1.03 ,Uang Lembur ,"21168000,00",,,,,
1.03.1.03.01.036.002.5.2.1.03.01 ,Uang Lembur PNS ,"21168000,00",Uang Lembur PNS 21168000,,,,
1.03.1.03.01.036.002.5.2.2 ,BELANJA BARANG DAN JASA ,"2341094237,00",,,,,
1.03.1.03.01.036.002.5.2.2.02 ,Belanja Bahan/Material ,"121386000,00",,,,,
1.03.1.03.01.036.002.5.2.2.02.01 ,Belanja Bahan Baku Bangunan ,"66695000,00",Belanja Bahan Baku Bangunan 66695000,,,,
1.03.1.03.01.036.002.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"54691000,00",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 54691000,,,,
1.03.1.03.01.036.002.5.2.2.03 ,Belanja Jasa Kantor ,"295742237,00",,,,,
1.03.1.03.01.036.002.5.2.2.03.17 ,Belanja Iuran ,"10000000,00",Belanja Iuran 10000000,,,,
1.03.1.03.01.036.002.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"285742237,00",Belanja Jasa Penyedia /Tenaga Teknis 285742237,,,,
1.03.1.03.01.036.002.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"23700000,00",,,,,
1.03.1.03.01.036.002.5.2.2.06.01 ,Belanja Cetak ,"23700000,00",Belanja Cetak 23700000,,,,
1.03.1.03.01.036.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,"17000000,00",,,,,
1.03.1.03.01.036.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"17000000,00",Belanja Makanan Dan Minuman Rapat 17000000,,,,
1.03.1.03.01.036.002.5.2.2.13 ,Belanja Pakaian Kerja ,"7950000,00",,,,,
1.03.1.03.01.036.002.5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,"7950000,00",Belanja Pakaian Kerja Lapangan 7950000,,,,
1.03.1.03.01.036.002.5.2.2.15 ,Belanja Perjalanan Dinas ,"67462500,00",,,,,
1.03.1.03.01.036.002.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"67462500,00",Belanja Perjalanan Dinas Dalam Daerah 67462500,,,,
1.03.1.03.01.036.002.5.2.2.20 ,Belanja Pemeliharaan ,"1681853500,00",,,,,
1.03.1.03.01.036.002.5.2.2.20.10 ,Belanja Pemeliharaan Bangunan Air ,"1681853500,00",Belanja Pemeliharaan Bangunan Air 1681853500,,,,
1.03.1.03.01.036.002.5.2.2.21 ,Belanja Jasa Konsultansi ,"120000000,00",,,,,
1.03.1.03.01.036.002.5.2.2.21.01 ,Belanja Jasa Konsultansi Penelitian ,"50000000,00",Belanja Jasa Konsultansi Penelitian 50000000,,,,
1.03.1.03.01.036.002.5.2.2.21.02 ,Belanja Jasa Konsultansi Perencanaan ,"50000000,00",Belanja Jasa Konsultansi Perencanaan 50000000,,,,
1.03.1.03.01.036.002.5.2.2.21.03 ,Belanja Jasa Konsultansi Pengawasan ,"20000000,00",Belanja Jasa Konsultansi Pengawasan 20000000,,,,
1.03.1.03.01.036.002.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"6000000,00",,,,,
1.03.1.03.01.036.002.5.2.2.31.03 ,Belanja Jasa Narasumber ,"6000000,00",Belanja Jasa Narasumber 6000000,,,,
1.03.1.03.01.036.003 ,Peningkatan Sarana Prasarana Sanitasi ,"1502760000,00",,,,,
1.03.1.03.01.036.003.5.2.3 ,BELANJA MODAL ,"1502760000,00",,,,,
1.03.1.03.01.036.003.5.2.3.23 ,Belanja Modal Pengadaan Konstruksi Jaringan Air ,"1502760000,00",,,,,
1.03.1.03.01.036.003.5.2.3.23.09 ,Belanja Modal Pengadaan Konstruksi Jaringan Air ,"1502760000,00",Belanja Modal Pengadaan Konstruksi Jaringan Air 1502760000,,,,
1.04.1.03.01.040 ,Program Pengembangan Sarana dan Prasarana Dasar Permukiman ,"7544753444,00",,,,,
1.04.1.03.01.040.001 ,Pembangunan dan Peningkatan Sarana Prasarana Dasar Permukiman ,"1402988000,00",,,,,
1.04.1.03.01.040.001.5.2.3 ,BELANJA MODAL ,"1402988000,00",,,,,
1.04.1.03.01.040.001.5.2.3.23 ,Belanja Modal Pengadaan Konstruksi Jaringan Air ,"1402988000,00",,,,,
1.04.1.03.01.040.001.5.2.3.23.09 ,Belanja Modal Pengadaan Konstruksi Jaringan Air ,"1402988000,00",Belanja Modal Pengadaan Konstruksi Jaringan Air 1402988000,,,,
1.04.1.03.01.040.002 ,Pemeliharaan Sarana Prasarana Dasar Permukiman ,"1355172177,00",,,,,
1.04.1.03.01.040.002.5.2.1 ,BELANJA PEGAWAI ,"105495000,00",,,,,
1.04.1.03.01.040.002.5.2.1.01 ,Honorarium PNS ,"98620000,00",,,,,
1.04.1.03.01.040.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"94525000,00",Honorarium Panitia Pelaksana Kegiatan 94525000,,,,
1.04.1.03.01.040.002.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"4095000,00",Honorarium Tim Pengadaan Barang dan Jasa 4095000,,,,
1.04.1.03.01.040.002.5.2.1.02 ,Honorarium Non PNS ,"6875000,00",,,,,
1.04.1.03.01.040.002.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"6875000,00",Honorarium Panitia Pelaksana Kegiatan 6875000,,,,
1.04.1.03.01.040.002.5.2.2 ,BELANJA BARANG DAN JASA ,"1216677177,00",,,,,
1.04.1.03.01.040.002.5.2.2.02 ,Belanja Bahan/Material ,"36250500,00",,,,,
1.04.1.03.01.040.002.5.2.2.02.01 ,Belanja Bahan Baku Bangunan ,"36250500,00",Belanja Bahan Baku Bangunan 36250500,,,,
1.04.1.03.01.040.002.5.2.2.03 ,Belanja Jasa Kantor ,"177439261,00",,,,,
1.04.1.03.01.040.002.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"177439261,00",Belanja Jasa Penyedia /Tenaga Teknis 177439261,,,,
1.04.1.03.01.040.002.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"1056000,00",,,,,
1.04.1.03.01.040.002.5.2.2.06.01 ,Belanja Cetak ,"1056000,00",Belanja Cetak 1056000,,,,
1.04.1.03.01.040.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,"20200000,00",,,,,
1.04.1.03.01.040.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"20200000,00",Belanja Makanan Dan Minuman Rapat 20200000,,,,
1.04.1.03.01.040.002.5.2.2.15 ,Belanja Perjalanan Dinas ,"7690000,00",,,,,
1.04.1.03.01.040.002.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"7690000,00",Belanja Perjalanan Dinas Dalam Daerah 7690000,,,,
1.04.1.03.01.040.002.5.2.2.20 ,Belanja Pemeliharaan ,"847041416,00",,,,,
1.04.1.03.01.040.002.5.2.2.20.08 ,Belanja Pemeliharaan Sarana Prasarana Fasilitas Umum ,"578000000,00",Belanja Pemeliharaan Sarana Prasarana Fasilitas Umum 578000000,,,,
1.04.1.03.01.040.002.5.2.2.20.10 ,Belanja Pemeliharaan Bangunan Air ,"269041416,00",Belanja Pemeliharaan Bangunan Air 269041416,,,,
1.04.1.03.01.040.002.5.2.2.21 ,Belanja Jasa Konsultansi ,"112000000,00",,,,,
1.04.1.03.01.040.002.5.2.2.21.01 ,Belanja Jasa Konsultansi Penelitian ,"45000000,00",Belanja Jasa Konsultansi Penelitian 45000000,,,,
1.04.1.03.01.040.002.5.2.2.21.02 ,Belanja Jasa Konsultansi Perencanaan ,"40000000,00",Belanja Jasa Konsultansi Perencanaan 40000000,,,,
1.04.1.03.01.040.002.5.2.2.21.03 ,Belanja Jasa Konsultansi Pengawasan ,"27000000,00",Belanja Jasa Konsultansi Pengawasan 27000000,,,,
1.04.1.03.01.040.002.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"15000000,00",,,,,
1.04.1.03.01.040.002.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"10200000,00",Belanja Jasa Tenaga Ahli 10200000,,,,
1.04.1.03.01.040.002.5.2.2.31.03 ,Belanja Jasa Narasumber ,"4800000,00",Belanja Jasa Narasumber 4800000,,,,
1.04.1.03.01.040.002.5.2.3 ,BELANJA MODAL ,"33000000,00",,,,,
1.04.1.03.01.040.002.5.2.3.18 ,Belanja Modal Pengadaan Alat  Alat Ukur ,"33000000,00",,,,,
1.04.1.03.01.040.002.5.2.3.18.18 ,Belanja Modal Pengadaan Meteran Laser ,"33000000,00",Belanja Modal Pengadaan Meteran Laser 33000000,,,,
1.04.1.03.01.040.003 ,Pembangunan Sarana dan Prasarana Air Minum dan Penyehatan Lingkungan ,"1903448000,00",,,,,
1.04.1.03.01.040.003.5.2.3 ,BELANJA MODAL ,"1903448000,00",,,,,
1.04.1.03.01.040.003.5.2.3.23 ,Belanja Modal Pengadaan Konstruksi Jaringan Air ,"1903448000,00",,,,,
1.04.1.03.01.040.003.5.2.3.23.06 ,Belanja Modal Pengadaan Konstruksi Jaringan Air Bersih/air Minum ,"1903448000,00",Belanja Modal Pengadaan Konstruksi Jaringan Air Bersih/air Minum 1903448000,,,,
1.04.1.03.01.040.004 ,Pendampingan Penanganan Permukiman Kumuh ,"450164900,00",,,,,
