Judul,APBD Kab Bantul 2015,,
1.13 . 1.13.01 . 15 . 07 ,Sosialisasi^ pelaksanaan^ pengendalian dan pengawasan bantuan bagi keluarga miskin,"580,973,750","Sumber Dana : 
Lokasi Kegiatan : Kab. Bantul
Keluaran :  Terlaksananya sosialisasi, pelaksanaan,pengendalian dan pengawasan bantuan bagi Keluarga Miskin
Target:  102.275 KK/RTS"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 1 ,Belanja Pegawai ,"42,800,000",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"29,280,000",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"29,280,000","Honorarium Tim Koordinasi PKHSekretaris4 Tw x 140.000^00 = 560.000^00
Anggota Tim Kabupaten36 Tw x 125.000^00 = 4.500.000^00
Anggota Tim Kecamatan68 Tw x 120.000^00 = 8.160.000^00
Pembina4 Tw x 170.000^00 = 680.000^00
Pengarah4 Tw x 160.000^00 = 640.000^00
Ketua4 Tw x 150.000^00 = 600.000^00
Homorarium Tim Dalwas RS-RTLH
Anggota Tim Kecamatan3 Ob x 100.000^00 = 300.000^00
Ketua3 Ob x 130.000^00 = 390.000^00
Sekretaris3 Ob x 125.000^00 = 375.000^00
Anggota Tim Kabupaten9 Ob x 120.000^00 = 1.080.000^00
Honorarium Seleksi Pendamping KUBE
Sekretaris1 org x 225.000^00 = 225.000^00
Anggota5 org x 200.000^00 = 1.000.000^00
Pengarah1 org x 300.000^00 = 300.000^00
Ketua1 org x 250.000^00 = 250.000^00
Honorarium Panitia seleksi & motivasi WRSE peserta PKH
Honor panitia seleksi & motivasi WRSE peserta PKH5 kegiatan x 4 ok 20 ok x 70.000^00 = 1.400.000^00
Honorarium kegiatan pelatihan ketrampilan WRSE peserta PKH
Honor panitia pelatihan ketrampilan WRSE peserta PKH5 kegiatan x 2 hari x 4 org40 ok x 70.000^00 = 2.800.000^00
Honorarium panitia kegiatan sosialisasi Raskin
Honor panitia Sosialisasi Raskin1 kegiatan x 10 org10 ok x 70.000^00 = 700.000^00
Honorarium panitia kegiatan pelatihan pengembangan manajemen KUBE
Honor pelatihan pengembangan manajemen KUBE5 keg x 2 hari x 4 ok40 ok x 70.000^00 = 2.800.000^00
Honorarium panitia kegiatan sosialisasi PKH
Honor panitia sosialisasi PKH12 keg x 3 org36 ok x 70.000^00 = 2.520.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,"13,520,000",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 1 . 02 . 06 ,Honorarium Petugas Pendamping Kegiatan ,"13,520,000","Honorarium pendamping pelaksanaan kegiatan Seleksi & motivasi Wanita Rawan Sosial Ekonomi (WRSE) peserta PKH10 Ok x 70.000^00 = 700.000^00
Pelatihan keterampilan WRSE peserta PKH20 Ok x 70.000^00 = 1.400.000^00
Honorarium Tim Dalwas RS-RLTH
- Anggota Tim Tingkat Desa (3 org x 3 bulan)9 ob x 100.000^00 = 900.000^00
Pelatihan pengembangan manajemen KUBE20 Ok x 70.000^00 = 1.400.000^00
Honorarium pendamping KUBE PKH6 org x 11 bulan66 Ob x 100.000^00 = 6.600.000^00
Sosialisasi PKH12 keg x 3 org36 Ok x 70.000^00 = 2.520.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"538,173,750",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"14,450,000",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"14,450,000","Belanja Alat Tulis Kantor
Belanja ATK Dalwas pelaksanaan distribusi Raskin1 Ls x 3.000.000^00 = 3.000.000^00
Belanja ATK Dalwas pelaksanaan PKH1 Ls x 4.000.000^00 = 4.000.000^00
Belanja ATK Dalwas RS-RLTH1 Ls x 1.000.000^00 = 1.000.000^00
Belanja ATK sosialisasi kegiatan SKPD melalui media Massa1 Ls x 200.000^00 = 200.000^00
Belanja ATK peserta pelatihan keterampilan WRSE peserta PKH 150 Paket x 15.000^00 = 2.250.000^00
Belanja ATK peserta pelatihan pengembangan manajemen KUBE200 Paket x 15.000^00 = 3.000.000^00
Belanja ATK Dalwas pelaksanaan KUBE1 Ls x 1.000.000^00 = 1.000.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"1,500,000",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 02 . 18 ,Belanja Bahan Percontohan ,"1,500,000","Belanja bahan percontohan
Belanja bahan praktek pelatihan keterampilan WRSE peserta PKH5 Paket x 300.000^00 = 1.500.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"3,200,000",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 03 . 15 ,Belanja Publikasi ,"3,200,000","Belanja Publikasi
Sosialisasi kegiatan SKPD melalui media massa8 kali x 400.000^00 = 3.200.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"15,009,750",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,"6,660,000","Belanja Cetak
Cetak pedum Raskin120 eks x 24.000^00 = 2.880.000^00
Cetak leaflet PKH1 rim x 900.000^00 = 900.000^00
Cetak juklak Raskin120 eks x 24.000^00 = 2.880.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"8,349,750","Belanja Penggandaan
Belanja penggandaan Dalwas pelaks. distribusi Raskin16^666 Lbr x 150^00 = 2.499.900^00
Belanja penggandaan dalwas pelaksanaan PKH26^666 Lbr x 150^00 = 3.999.900^00
Belanja penggandaan dalwas pelaksanaan KUBE5^000 Lbr x 150^00 = 750.000^00
Belanja penggandaan RS-RTLH3^333 Lbr x 150^00 = 499.950^00
Belanja penggandaan soal seleksi pendamping KUBE4^000 lbr x 150^00 = 600.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"3,000,000",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 07 . 02 ,Belanja Sewa Gedung/Kantor/Tempat ,"3,000,000","Belanja Sewa gedung/kantor/tempat
Belanja sewa gedung dan perlengkapannya dalam rangka pelatihan pengembangan manajemen KUBE (5 lokasi x 2hari)10 hari x 300.000^00 = 3.000.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"48,624,000",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"12,554,000","Belanja Makan dan Minuman Rapat
Belanja minuman dan snack rapat dalwas pelaksanaan distribusi Raskin385 dos x 8.500^00 = 3.272.500^00
Belanja minum dan snack rapat dalwas pelaksanaan PKH714 dos x 8.500^00 = 6.069.000^00
Belanja minum dan snack rapat dalwas KUBE150 dos x 8.500^00 = 1.275.000^00
Belanja minum dan snack rapat dalwas RS-RTLH75 dos x 8.500^00 = 637.500^00
Belanja makan minum rapat seleksi pendamping KUBE50 dos x 26.000^00 = 1.300.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"36,070,000","Belanja makan dan minum pelaksanaan kegiatan
Belanja minum dan snack sosialisasi Raskin150 Dos x 8.500^00 = 1.275.000^00
Belanja minum dan makan sosialisasi raskin150 Dos x 20.000^00 = 3.000.000^00
Belanja minum dan snack sosialisasi PKH (50 org x 12 lokasi)600 Dos x 8.500^00 = 5.100.000^00
Belanja minum dan snack pelatihan pengembangan manajemen KUBE490 Dos x 8.500^00 = 4.165.000^00
Belanja minum dan makan pelatihan pengembangan manajemen KUBE490 Dos x 20.000^00 = 9.800.000^00
Belanja minum dan snack seleksi dan motivasi WRSE peserta PKH190 Dos x 8.500^00 = 1.615.000^00
Belanja minum dan snack pelatihan keterampilan WRSE peserta PKH390 Dos x 8.500^00 = 3.315.000^00
Belanja minum dan makan pelatihan keterampilan WRSE peserta PKH390 Dos x 20.000^00 = 7.800.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"38,610,000",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,"26,860,000","Kabupaten ke Kecamatan/Desa:Pengendalian dan Pengawasan Pelaksanaan Raskin
Gol IV 7 Ok x 50.000^00 = 350.000^00
Gol III 210 Ok x 40.000^00 = 8.400.000^00
Gol II 7 Ok x 30.000^00 = 210.000^00
Dalwas pelaksanaan PKH
Gol III 100 Ok x 40.000^00 = 4.000.000^00
Gol II 200 Ok x 30.000^00 = 6.000.000^00
Gol IV 10 Ok x 50.000^00 = 500.000^00
Dalwas pelaksanaan WRSE peserta PKH
Gol III 30 Ok x 40.000^00 = 1.200.000^00
Gol II 25 Ok x 30.000^00 = 750.000^00
Gol IV 7 Ok x 50.000^00 = 350.000^00
Dalwas pelaksanaan KUBE
Gol III 22 Ok x 40.000^00 = 880.000^00
Gol II 4 Ok x 30.000^00 = 120.000^00
Gol IV 4 Ok x 50.000^00 = 200.000^00
Dalwas pelaksanaan RS-RTLH
Gol III 50 Ok x 40.000^00 = 2.000.000^00
Gol II 5 Ok x 30.000^00 = 150.000^00
Gol IV 5 Ok x 50.000^00 = 250.000^00
Kabupaten ke Provinsi/Kabupaten/Kota Dalam Provinsi
Gol III 15 Ok x 60.000^00 = 900.000^00
Gol II 5 Ok x 50.000^00 = 250.000^00
Gol IV 5 Ok x 70.000^00 = 350.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,"11,750,000","Belanja perjalanan dinas luar daerah
Lumpsum Gol III 5 oh x 1.550.000^00 = 7.750.000^00
Transport pp Gol. III 2 kali x 2.000.000^00 = 4.000.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"413,780,000",
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,"38,000,000","Honorarium Narasumber/Moderator
Seleksi & motivasi WRSE peserta PKH10 Jpl x 200.000^00 = 2.000.000^00
Pelatihan keterampilan WRSE peserta PKH60 Jpl x 200.000^00 = 12.000.000^00
Sosialisasi keg SKPD melalui media massa16 Ok x 75.000^00 = 1.200.000^00
Sosialisasi raskin6 Jpl x 200.000^00 = 1.200.000^00
Pelatihan pengembangan manajemen KUBE60 Jpl x 200.000^00 = 12.000.000^00
Sosialisasi PKH48 Jpl x 200.000^00 = 9.600.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,"39,900,000","Honorarium Harian
Biaya transport seleksi & motivasi WRSE peserta PKH150 Oh x 30.000^00 = 4.500.000^00
Biaya transport pelatihan WRSE peserta PKH300 Oh x 30.000^00 = 9.000.000^00
Biaya transport peserta pelatihan pengembangan manajemen KUBE400 Oh x 30.000^00 = 12.000.000^00
Biaya transport peserta sosialisasi PKH480 Oh x 30.000^00 = 14.400.000^00"
1.13 . 1.13.01 . 15 . 07 . 5 . 2 . 2 . 35 . 06 ,Jasa Tenaga Harian Lepas ,"335,880,000","Honorarium tenaga harian lepas
Upah tenaga angkut raskin11^196 Ob x 30.000^00 = 335.880.000^00"
1.13 . 1.13.01 . 16 ,Program Pelayanan dan Rehabilitasi Kesejahteraan Sosial ,"1,039,359,950",
1.13 . 1.13.01 . 16 . 07 ,Peningkatan kualitas pelayanan^ sarana^ dan prasarana rehabilitasi kesejahteraan sosial bagi PMKS,"91,400,000","Sumber Dana : APBD
Lokasi Kegiatan : kabupaten Bantul
Keluaran :  Meningkatnya pelayanan rehabilitasi bagi PMKS
Target:  70 orang"
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 1 ,Belanja Pegawai ,"7,590,000",
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"7,590,000",
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"7,590,000","APBD
Honorarium pelaksana kegiatan pelayanan rehabilitasi PMKS
Anggota 3 orang30 ob x 100.000^00 = 3.000.000^00
Pengarah/penasehat10 ob x 120.000^00 = 1.200.000^00
Ketua Tim10 ob x 115.000^00 = 1.150.000^00
Sekretaris Tim10 ob x 110.000^00 = 1.100.000^00
Honorarium Panitia Pelaksana Kegiatan Sosial PMKS^ Peningkatan SDM
Koordinator3 ok x 90.000^00 = 270.000^00
Sekretaris3 ok x 80.000^00 = 240.000^00
Anggota9 ok x 70.000^00 = 630.000^00"
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"83,810,000",
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"4,530,000",
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"4,530,000","Belanja Alat Tulis Kantor
Alat tulis kegiatan1 ls x 3.210.000^00 = 3.210.000^00
ATK kegiatan peningkatan SDM Pengurus Panti50 paket x 12.000^00 = 600.000^00
ATK kegiatan sosialisasi PMKS60 paket x 12.000^00 = 720.000^00"
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"1,500,000",
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"1,500,000","Belanja Penggandaan
Belanja Penggandaan Kegiatan10^000 lbr x 150^00 = 1.500.000^00"
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"1,500,000",
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,"1,500,000","Belanja sewa ruang rapat/pertemuan
Belanja sewa ruang rapat/pertemuan kegiatan sosialisasi PMKS2 hari x 500.000^00 = 1.000.000^00
Belanja sewa ruang rapat/pertemuan kegiatan peningkatan SDM Pengurus Panti1 hari x 500.000^00 = 500.000^00"
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 08 ,Belanja Sewa Sarana Mobilitas ,"14,000,000",
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 08 . 01 ,Belanja Sewa Sarana Mobilitas Darat ,"14,000,000","Belanja sewa sarana mobilitas darat
Belanja sewa kendaraan untuk mengantar klien35 kali x 400.000^00 = 14.000.000^00"
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"47,375,000",
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,"3,000,000",Belanja makanan dan minuman rapat400 dos x 7.500^00 = 3.000.000^00
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"44,375,000","Belanja makanan dan minuman pelaksanaan kegiatan
Belanja snack^ makan dan minum kegiatan peningkatan SDM pengurus panti55 dos x 25.000^00 = 1.375.000^00
Belanja sack^ makan dan minum kegiatan sosialisasi PMKS70 dos x 25.000^00 = 1.750.000^00
Fasilitasi permakanan panti1^650 dos x 25.000^00 = 41.250.000^00"
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"9,580,000",
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,"3,080,000","Belanja perjalanan dinas dalam daerah Kab. Bantul
Gol. IV 5 ok x 50.000^00 = 250.000^00
Gol. III 10 ok x 40.000^00 = 400.000^00
Belanja perjalanan dinas dalam daerah Prop. DIY
Gol. IV 15 ok x 70.000^00 = 1.050.000^00
Gol. III 23 ok x 60.000^00 = 1.380.000^00"
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,"6,500,000","Belanja perjalanan dinas luar daerah
Transpot pp Gol. IV 2 kali x 1.650.000^00 = 3.300.000^00
Lumpsum Gol IV 2 oh x 1.600.000^00 = 3.200.000^00"
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"5,325,000",
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,"2,025,000","Honorarium Nara Sumber
Honorarium Nara Sumber Sosialisasi PMKS6 ok x 225.000^00 = 1.350.000^00
Honorarium Nara Sumber Peningkatan SDM Pengurus Panti3 ok x 225.000^00 = 675.000^00"
1.13 . 1.13.01 . 16 . 07 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,"3,300,000","Honor peserta
Honor peserta sosialisasi PMKS60 oh x 30.000^00 = 1.800.000^00
Honor peserta peningkatan SDM Pengurus Panti50 oh x 30.000^00 = 1.500.000^00"
1.13 . 1.13.01 . 16 . 15 ,Fasilitasi anak yatim piatu ,"738,280,000","Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Kegiatan fasilitasi anak yatim piatu di Kab. Bantul
Target:  3.200 anak"
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 1 ,Belanja Pegawai ,"24,780,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"21,330,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"21,330,000","Honorarium Panitia Pelaksana
Ketua11 orang x 160.000^00 = 1.760.000^00
Sekretaris11 Orang x 140.000^00 = 1.540.000^00
Anggota121 orang x 130.000^00 = 15.730.000^00
Honor petugas MC23 100000 x 100.000^00 = 2.300.000^00"
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,"3,450,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 1 . 02 . 06 ,Honorarium Petugas Pendamping Kegiatan ,"3,450,000","Honor Petugas Pendamping Pelaksanaan kegiatan
Hr. Petugas PDAM23 Ok x 150.000^00 = 3.450.000^00"
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"713,500,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"3,000,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"3,000,000",ATK Kegiatan Fasilitasi Anak Yatim/Piatukertas^ stopmap^ amplop^ tinta^ dll1 ls x 3.000.000^00 = 3.000.000^00
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"266,000,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 02 . 12 ,Belanja alat-alat/perlengkapan ,"266,000,000","Pengadaan Tas untuk anak yatim/piatu
Pengadaan tas sekolah utk anak yatim/piatu3^800 orang x 50.000^00 = 190.000.000^00
Pengadaan Perlengkapan Sekolah utk anak yatim/piatu3^800 orang x 20.000^00 = 76.000.000^00"
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,"5,950,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,"5,950,000",Belanja Dekorasi17 Kegiatan x 350.000^00 = 5.950.000^00
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"1,500,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"1,500,000",Belanja Penggandaan10^000 Lbr x 150^00 = 1.500.000^00
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 08 ,Belanja Sewa Sarana Mobilitas ,"50,000,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 08 . 01 ,Belanja Sewa Sarana Mobilitas Darat ,"50,000,000",Sewa bis kegiatan100 buah x 500.000^00 = 50.000.000^00
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"11,500,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 10 . 07 ,Belanja Sewa Sound System ,"11,500,000",Sewa Sound1 paket x 17 Kegiatan23 Kegiatan x 500.000^00 = 11.500.000^00
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"168,850,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,850,Makan minum rapatMinum snack rapat100 ok x 8.500^00 = 850.000^00
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"168,000,000",Makan minum pelaksanaan kegiatanMakan Minum4^800 orang x 35.000^00 = 168.000.000^00
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,"5,200,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,"5,200,000","Belanja Perjalanan Dinas dalam Kabupaten
Gol III80 orang x 40.000^00 = 3.200.000^00
Gol  IV40 orang x 50.000^00 = 2.000.000^00"
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"201,500,000",
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,"11,500,000","Honor Narasumber
Honor nara sumber46 Jpl x 250.000^00 = 11.500.000^00"
1.13 . 1.13.01 . 16 . 15 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,"190,000,000",Honor peserta kegiatan fasilitasi anak yatim/piatu3^800 orang x 50.000^00 = 190.000.000^00
1.13 . 1.13.01 . 16 . 16 ,Pemberdayaan lanjut usia potensial ,"41,230,000","Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Meningkatnya peran aktif lansia dalam usaha kesejahteraan sosial
Target:  60 orang"
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 1 ,Belanja Pegawai ,760,
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 1 . 01 ,Honorarium PNS ,760,
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,760,"Honorarium Panitia pelaksana kegiatan
Ketua2 ok x 90.000^00 = 180.000^00
Sekretaris2 ok x 80.000^00 = 160.000^00
Anggota6 ok x 70.000^00 = 420.000^00"
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,"40,470,000",
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,"2,195,000",
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,"2,195,000",Belanja Alat Tulis Kantor1 ls x 2.195.000^00 = 2.195.000^00
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,"30,500,000",
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 02 . 12 ,Belanja alat-alat/perlengkapan ,"30,500,000","Belanja alat
-alat/perlengkapanBelanja bahan praktek1 ls x 500.000^00 = 500.000^00
Belanja alat-alat/perlengkapan usaha peserta pelatihan60 paket x 500.000^00 = 30.000.000^00"
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,"1,125,000",
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,"1,125,000",Belanja penggandaan7^500 lbr x 150^00 = 1.125.000^00
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,"1,000,000",
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,"1,000,000",Belanja sewa ruang rapat/pertemuan2 hari x 500.000^00 = 1.000.000^00
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,"2,050,000",
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,300,Belanja makanan dan minuman rapat40 dos x 7.500^00 = 300.000^00
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,"1,750,000","Belanja makanan dan minuman pelaksanaan kegiatan
Belanja snack minum kegiatan70 dos x 7.500^00 = 525.000^00
Belanja makan dan minum kegiatan70 dos x 17.500^00 = 1.225.000^00"
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 35 ,Jasa Narasumber^ Tenaga Ahli^ Yuri^ Entry Data^ Petugas Fogging dan Petugas Lapangan,"3,600,000",
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,"1,800,000",Honor Nara sumber8 jpl x 225.000^00 = 1.800.000^00
1.13 . 1.13.01 . 16 . 16 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,"1,800,000",Honor peserta60 oh x 30.000^00 = 1.800.000^00
1.13 . 1.13.01 . 16 . 22 ,Penanganan jenasah terlantar ,"27,900,000","Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul
Keluaran :  Terlaksananya perawatan dan pemakaman jenazah terlantar
Target:  25 orang"
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 1 ,Belanja Pegawai ,"1,020,000",
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 1 . 01 ,Honorarium PNS ,"1,020,000",
1.13 . 1.13.01 . 16 . 22 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,"1,020,000","Honorarium pelaksana kegiatan
Ketua tim1 ok x 200.000^00 = 200.000^00
Sekretaris tim1 ok x 180.000^00 = 180.000^00
Anggota 4 orang4 ok x 160.000^00 = 640.000^00"
