Judul,Penjabaran APBD,,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,26550000,
1.12 . 1.22.01 . 15 . 12 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,26550000,
1.12 . 1.22.01 . 15 . 14 ,Advokasi dan KIE kepesertaan KB dan KRR ,88465000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 1 ,Belanja Pegawai ,20770000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 1 . 01 ,Honorarium PNS ,3310000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,3310000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,17460000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,17460000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,67695000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,3527500,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1527500,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 01 . 12 ,Belanja Peralatan Pendukung Pengobatan ,2000000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,6267000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,200000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,2460000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 03 . 15 ,Belanja Publikasi ,3607000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,563000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,300000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,263000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 08 ,Belanja Sewa Sarana Mobilitas ,1860000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 08 . 01 ,Belanja Sewa Sarana Mobilitas Darat ,1860000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,5512500,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 10 . 01 ,Belanja Sewa Meja Kursi ,262500,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 10 . 05 ,Belanja Sewa Tenda ,3000000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 10 . 07 ,Belanja Sewa Sound System ,2250000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,30015000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,25015000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 11 . 07 ,Belanja Makanan dan Minuman Harian Umum ,5000000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 14 ,Belanja Pakaian khusus dan hari-hari tertentu ,3000000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 14 . 04 ,Belanja Pakaian Olahraga ,3000000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,1200000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,290000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,910000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,15750000,
1.12 . 1.22.01 . 15 . 14 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,15750000,
1.12 . 1.22.01 . 15 . 15 ,Pembinaan Kelompok Masyarakat Peduli KB ,34280000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 1 ,Belanja Pegawai ,2948000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 1 . 01 ,Honorarium PNS ,2660000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,2660000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 1 . 03 ,Uang Lembur ,288000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,288000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,31332000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1206300,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1206300,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,170000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,170000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,281700,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,281700,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,24964000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 11 . 01 ,Belanja Makanan Dan Minuman Harian Pegawai ,324000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,24640000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,4710000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,4360000,
1.12 . 1.22.01 . 15 . 15 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,350000,
1.11 . 1.22.01 . 18 ,Program Peningkatan Peran Serta dan Kesetaraan Gender Dalam Pembangunan,269179950,
1.11 . 1.22.01 . 18 . 07 ,Pemberdayaan lembaga berbasis gender ,189959950,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 1 ,Belanja Pegawai ,23610000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,23610000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,16010000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 1 . 02 . 04 ,Honorarium Tim ,7600000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,166349950,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,3814000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,3814000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,450000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,300000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,150000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,10622150,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,10622150,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,108989000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,100260000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,8009000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 11 . 07 ,Belanja Makanan dan Minuman Harian Umum ,720000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,30674800,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,30674800,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,6600000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,6600000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 28 ,Belanja Hadiah atas Prestasi dan Penghargaan ,5200000,
1.11 . 1.22.01 . 18 . 07 . 5 . 2 . 2 . 28 . 01 ,Belanja Hadiah Atas Prestasi ,5200000,
1.11 . 1.22.01 . 18 . 10 ,Peningkatan implementasi PPRG dan ARG ,22395000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 1 ,Belanja Pegawai ,1750000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 1 . 01 ,Honorarium PNS ,1750000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 1 . 01 . 05 ,Honorarium Penyelenggaraan Kegiatan ,1750000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,20645000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,3899900,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,3899900,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,150000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,150000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1115100,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1115100,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,10375000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,2875000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,7500000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,3230000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,3230000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,1875000,
1.11 . 1.22.01 . 18 . 10 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,1875000,
1.11 . 1.22.01 . 18 . 11 ,Pemutakhiran data pilah gender dan anak ,22280000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 1 ,Belanja Pegawai ,10920000,
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 1 . 01 ,Honorarium PNS ,10920000,
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,10920000,
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,11360000,
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,605450,
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,605450,
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1819550,
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1819550,
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,5875000,
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,5875000,
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,3060000,
1.11 . 1.22.01 . 18 . 11 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,3060000,
1.11 . 1.22.01 . 18 . 13 ,Pembinaan Gerakan Sayang Ibu (GSI) ,34545000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 1 ,Belanja Pegawai ,10920000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 1 . 01 ,Honorarium PNS ,10420000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,10420000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,500000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 1 . 02 . 04 ,Honorarium Tim ,500000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,23625000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,337450,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,337450,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,300000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,150000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,150000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,322550,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,322550,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,9240000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1800000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,7440000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,1975000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,1050000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,925000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,450000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,450000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 28 ,Belanja Hadiah atas Prestasi dan Penghargaan ,11000000,
1.11 . 1.22.01 . 18 . 13 . 5 . 2 . 2 . 28 . 01 ,Belanja Hadiah Atas Prestasi ,11000000,
1.11 . 1.22.01 . 20 ,Program Peningkatan Kualitas Hidup dan Perlindungan Perempuan dan Anak,696253450,
1.11 . 1.22.01 . 20 . 06 ,Pendampingan dan perlindungan perempuan dan anak ,131589500,Sumber Dana :  Lokasi Kegiatan : Lingkup Kabupaten Kulon Progo 
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 1 ,Belanja Pegawai ,66110000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 1 . 01 ,Honorarium PNS ,40640000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,40640000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,25470000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,18270000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 1 . 02 . 04 ,Honorarium Tim ,7200000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,65479500,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,2468700,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1336700,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 01 . 05 ,Belanja Peralatan Kebersihan Dan Bahan Pembersih ,1132000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,344000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 02 . 04 ,Belanja Bahan Obat-Obatan ,344000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,6050000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 03 . 15 ,Belanja Publikasi ,1050000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 03 . 25 ,Belanja Jasa Penyelesaian Perkara ,5000000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,2154800,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,770000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1384800,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,12507000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,9915000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 11 . 07 ,Belanja Makanan dan Minuman Harian Umum ,2592000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,17955000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,4400000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,13555000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,24000000,
1.11 . 1.22.01 . 20 . 06 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,24000000,
1.11 . 1.22.01 . 20 . 07 ,Peningkatan kualitas hidup anak ,539493950,Sumber Dana :  Lokasi Kegiatan : Lingkup Kabupaten Kulon Progo 
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 1 ,Belanja Pegawai ,34680000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 1 . 01 ,Honorarium PNS ,24930000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,24930000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,9750000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,7350000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 1 . 02 . 04 ,Honorarium Tim ,2400000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,504813950,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,2264250,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,2264250,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,13637300,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,13637300,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,468795000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,12145000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,1250000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 11 . 06 ,Belanja Makanan dan Minuman Tambahan bagi Balita  Anak Sekolah dan Lansia,455400000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,19592400,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,7680000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,11912400,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,525000,
1.11 . 1.22.01 . 20 . 07 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,525000,
1.11 . 1.22.01 . 20 . 08 ,Peningkatan peranan wanita ,25170000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,25170000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,512500,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,512500,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,800000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 02 . 06 ,Belanja Bahan Percontohan ,800000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,125000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,50000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,75000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,927500,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,927500,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,11170000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,6270000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ,4900000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,3785000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,2130000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,1655000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,2850000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,2850000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 28 ,Belanja Hadiah atas Prestasi dan Penghargaan ,5000000,
1.11 . 1.22.01 . 20 . 08 . 5 . 2 . 2 . 28 . 01 ,Belanja Hadiah Atas Prestasi ,5000000,
1.22 . 1.22.01 . 21 ,Program Pengembangan Kapasitas Otonomi Desa ,3256030900,
1.22 . 1.22.01 . 21 . 04 ,Pendampingan Pemilihan Kepala Desa dan Pengisian Perangkat Desa ,1597180375,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo 
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 1 ,Belanja Pegawai ,638150000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 1 . 01 ,Honorarium PNS ,38185000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,36360000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 1 . 01 . 02 ,Honorarium Tim Pengadaan Barang Dan Jasa ,1275000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 1 . 01 . 05 ,Honorarium Penyelenggaraan Kegiatan ,550000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,585885000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 1 . 02 . 04 ,Honorarium Tim ,585885000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 1 . 03 ,Uang Lembur ,14080000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 1 . 03 . 01 ,Uang Lembur PNS ,14080000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,959030375,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,77267075,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,77267075,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,20000000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 03 . 36 ,Belanja Jasa Penyusunan Naskah Akademik ,20000000,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,193859200,
1.22 . 1.22.01 . 21 . 04 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,153696700,
