Judul,Penjabaran Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,,,,,,,,,,,
Daerah,Kabupaten Bantul,,,,,,,,,,,,,,,
Tahun,2014,,,,,,,,,,,,,,,
Kode Organisasi,1.11.01,,,,,,,,,,,,,,,
Organisasi,Badan Kesejahteraan Keluarga Pemberdayaan Perempuan dan Keluarga Berencana,,,,,,,,,,,,,,,
Kolom,7,,,,,,,,,,,,,,,
No. Rekening,Uraian,Sebelum,Sesudah,Angka,Prosentase,Keterangan,,,,,,,,,,
1.12 . 1.11.01 . 15.07 . 5.2.2.15 ,Belanja Perjalanan Dinas ,28675000.00,28675000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.07 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,575000.00,575000.00,0.00,0,"Belanja perjalanan dinas dalam daerah
Gol IV5 op x 45.000,00 = 225.000,00
Gol III10 op x 35.000,00 = 350.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.07 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,28100000.00,28100000.00,0.00,0,"Gol IVTiket2 org x 3.000.000,00 = 6.000.000,00
penginapan (2 x 2 mlm)4 org x 900.000,00 = 3.600.000,00
Uang Makan (2 x 3 hari)6 org x 150.000,00 = 900.000,00
Uang Saku (2 x 3 hari)6 org x 400.000,00 = 2.400.000,00
Transport Lokal (2 x 3 hari)6 org x 250.000,00 = 1.500.000,00
Gol IIITiket2 org x 3.000.000,00 = 6.000.000,00
Pengeinapan (2 x 2 malam)4 org x 800.000,00 = 3.200.000,00
Uang Saku ( 2 x 3 hari)6 org x 350.000,00 = 2.100.000,00
Uang Makan (2 x 3 hari)6 org x 150.000,00 = 900.000,00
Transport Lokal ( 2 x 3 hari)6 org x 250.000,00 = 1.500.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.07 . 5.2.2.17 ,"Belanja Kursus, Pelatihan, Sosialisasi Dan Bimbingan Teknis PNS",187500000.00,187500000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.07 . 5.2.2.17.03 ,Belanja Bimbingan Teknis ,187500000.00,187500000.00,0.00,0,"Belanja Bimbingan Tekhnis
Jambore PLKB75 oh x 750.000,00 = 56.250.000,00
Jambore IMP175 oh x 750.000,00 = 131.250.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.07 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,30000000.00,30000000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.07 . 5.2.2.34.05 ,Honor Peserta Seminar/Simposium /Workshop/Sosialisasi,30000000.00,30000000.00,0.00,0,"Honorarium Harian Bimbingan Teknis1,000 oh x 30.000,00 = 30.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.09 ,Operasional Mobil Unit Penerangan KB ,5325000.00,5325000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 15.09 . 5.2.1 ,Belanja Pegawai ,2550000.00,2550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.09 . 5.2.1.01 ,Honorarium PNS ,2550000.00,2550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.09 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,2550000.00,2550000.00,0.00,0,"Honor Panitia pelaksana
Ketua Tim pelaksana1 org x 150.000,00 = 150.000,00
Anggota Tim pelaksana4 or x 100.000,00 = 400.000,00
honor petugas mupen KB
Honor petugas mupen KB (4 org x 10 keg)40 or x 50.000,00 = 2.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.09 . 5.2.2 ,Belanja Barang dan Jasa ,2775000.00,2775000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.09 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,350000.00,350000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.09 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,350000.00,350000.00,0.00,0,"Belanja ATK1 pkt x 350.000,00 = 350.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.09 . 5.2.2.05 ,Belanja Perawatan Kendaraan Bermotor ,1425000.00,1425000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.09 . 5.2.2.05.03 ,Belanja Bahan Bakar Minyak/Gas Dan Pelumas ,1425000.00,1425000.00,0.00,0,"Belanja Bahan Bakar Minyak
Operasional mobil unit penerangan ( 10 keg x 10 ltr)100 ltr x 11.000,00 = 1.100.000,00
Operasional genset (10 keg x 5 keg)50 ltr x 6.500,00 = 325.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.09 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,1000000.00,1000000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.09 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,1000000.00,1000000.00,0.00,0,"Belanja makan minum petugas mupenpembelian konsumsi petugas (4 org x 10 keg )40 or x 25.000,00 = 1.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.10 ,Lomba Kader IMP Tingkat Kabupaten ,12902500.00,12902500.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.1 ,Belanja Pegawai ,610000.00,610000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.1.01 ,Honorarium PNS ,610000.00,610000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,610000.00,610000.00,0.00,0,"honorarium panitia pelaksana kegiatan
ketua1 or x 150.000,00 = 150.000,00
sekretaris1 or x 100.000,00 = 100.000,00
anggota4 or x 90.000,00 = 360.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.2 ,Belanja Barang dan Jasa ,12292500.00,12292500.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,242500.00,242500.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,242500.00,242500.00,0.00,0,"fotocopy1 pkt x 242.500,00 = 242.500,00",,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,2100000.00,2100000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,225000.00,225000.00,0.00,0,"Belanja makan dan minum
Belanja makan dan minuman30 org x 7.500,00 = 225.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,1875000.00,1875000.00,0.00,0,"belanja makan dan minum pelaksanaan kegiatan
makan dan minum kegiatan75 or x 25.000,00 = 1.875.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.2.23 ,Belanja Barang yang akan diserahkan kepada Masyarakat/ Pihak ketiga,9000000.00,9000000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.2.23.01 ,Belanja Barang yang akan diserahkan kepada Masyarakat,9000000.00,9000000.00,0.00,0,"Pembelian hadiahPembelian Hadiah Juara I0 org x 750.000,00 = 0,00
Pembelian Hadiah Juara II0 org x 600.000,00 = 0,00
Pembelian Hadiah Juara III0 org x 450.000,00 = 0,00
Pemberian Hadiah Juara I5 org x 750.000,00 = 3.750.000,00
Pemberian Hadiah Juara II5 org x 600.000,00 = 3.000.000,00
Pemberian Hadiah Juara III5 org x 450.000,00 = 2.250.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,950000.00,950000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.10 . 5.2.2.34.02 ,Honorarium Yuri Perlombaan ,950000.00,950000.00,0.00,0,"Honorarium Tim Yuri
ketua1 or x 200.000,00 = 200.000,00
Anggota5 org x 150.000,00 = 750.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.11 ,Orientasi Program KB-KR Bagi Sub PPKBD ,10000000.00,10000000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.1 ,Belanja Pegawai ,750000.00,750000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.1.01 ,Honorarium PNS ,750000.00,750000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,750000.00,750000.00,0.00,0,"honorarium pelaksana kegiatan
ketua tim1 or x 200.000,00 = 200.000,00
sekretaris1 or x 150.000,00 = 150.000,00
anggota4 or x 100.000,00 = 400.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.2 ,Belanja Barang dan Jasa ,9250000.00,9250000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,1100000.00,1100000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,1100000.00,1100000.00,0.00,0,"ATK110 pkt x 10.000,00 = 1.100.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,400000.00,400000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,400000.00,400000.00,0.00,0,"fotocopy1 pkt x 400.000,00 = 400.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,3250000.00,3250000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,3250000.00,3250000.00,0.00,0,"belanja makan dan minum snack
makan minum snack130 or x 25.000,00 = 3.250.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,4500000.00,4500000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,1200000.00,1200000.00,0.00,0,"Honorarium Narasumber
Honor Narasumber6 org x 200.000,00 = 1.200.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.11 . 5.2.2.34.05 ,Honor Peserta Seminar/Simposium /Workshop/Sosialisasi,3300000.00,3300000.00,0.00,0,"Honorarium Peserta
Honor Peserta110 org x 30.000,00 = 3.300.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.12 ,Refreshing Kader IMP Tingkat kabupaten ,6000000.00,6000000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.1 ,Belanja Pegawai ,550000.00,550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.1.01 ,Honorarium PNS ,550000.00,550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,550000.00,550000.00,0.00,0,"honorarium panitia palaksana kegiatan
ketua1 or x 150.000,00 = 150.000,00
anggota4 or x 100.000,00 = 400.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.2 ,Belanja Barang dan Jasa ,5450000.00,5450000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,500000.00,500000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,500000.00,500000.00,0.00,0,"Belanja ATK1 pkt x 500.000,00 = 500.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,225000.00,225000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,225000.00,225000.00,0.00,0,"fotocopy
fotocopy penggandaan materi75 pkt x 3.000,00 = 225.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,1875000.00,1875000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,1875000.00,1875000.00,0.00,0,"belanja makan dan minum
makan minum dan snack75 or x 25.000,00 = 1.875.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,2850000.00,2850000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,600000.00,600000.00,0.00,0,"Honorarium NarasumberPenyaji Pemateri3 org x 200.000,00 = 600.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.12 . 5.2.2.34.05 ,Honor Peserta Seminar/Simposium /Workshop/Sosialisasi,2250000.00,2250000.00,0.00,0,"Honorarium Peserta
Honor Peserta75 or x 30.000,00 = 2.250.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.13 ,Sosialisasi KB Pria Tingkat Kabupaten ,6650000.00,6650000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.1 ,Belanja Pegawai ,550000.00,550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.1.01 ,Honorarium PNS ,550000.00,550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,550000.00,550000.00,0.00,0,"honorarium panitia pelaksana keg
ketua1 or x 150.000,00 = 150.000,00
anggota4 or x 100.000,00 = 400.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.2 ,Belanja Barang dan Jasa ,6100000.00,6100000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,700000.00,700000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,700000.00,700000.00,0.00,0,"belanja atk70 or x 10.000,00 = 700.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,400000.00,400000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,400000.00,400000.00,0.00,0,"belanja penggandaan
fotocopy penggandaan materi1 pkt x 400.000,00 = 400.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,2000000.00,2000000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,2000000.00,2000000.00,0.00,0,"belanja makan dan minum pelaksanaan kegiatan
makan minum dan snack80 or x 25.000,00 = 2.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,3000000.00,3000000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,900000.00,900000.00,0.00,0,"Honorarium Narasumber
Penyaji materi (pakar)1 org x 500.000,00 = 500.000,00
Penyaji Materi2 org x 200.000,00 = 400.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.13 . 5.2.2.34.05 ,Honor Peserta Seminar/Simposium /Workshop/Sosialisasi,2100000.00,2100000.00,0.00,0,"Honorarium Harian
Transport Peserta70 org x 30.000,00 = 2.100.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.14 ,Operasional Mobil Unit Pelayanan KB ,52212500.00,0.00,-52212500.00,-100,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.1 ,Belanja Pegawai ,850000.00,0.00,-850.00,-100,,,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.1.01 ,Honorarium PNS ,850000.00,0.00,-850.00,-100,,,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,850000.00,0.00,-850.00,-100,"honorarium panitia pelaksana kegiatan
ketua1 or x 0,00 = 0,00
sekretaris1 or x 0,00 = 0,00
anggota5 or x 0,00 = 0,00",,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.2 ,Belanja Barang dan Jasa ,51362500.00,0.00,-51362500.00,-100,,,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,500000.00,0.00,-500.00,-100,,,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,500000.00,0.00,-500.00,-100,"Belanja ATK1 pkt x 0,00 = 0,00",,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,212500.00,0.00,-2125.00,-100,,,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,212500.00,0.00,-2125.00,-100,"Belanja PenggandanFotocopy Materi1 pkt x 0,00 = 0,00",,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,3900000.00,0.00,-3900000.00,-100,,,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,3900000.00,0.00,-3900000.00,-100,"makan dan minum pelaksanaan kegiatan
Belanja makan minum petugas50 or x 0,00 = 0,00
peserta mop ( 20 org x 5 keg)40 or x 0,00 = 0,00
Belanja snack dan minum220 or x 0,00 = 0,00",,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,46750000.00,0.00,-46750000.00,-100,,,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,40750000.00,0.00,-40750000.00,-100,"Honorarium Tenaga Ahli
Honorarium Yenaga Ahli Pasang IUD dn Implant190 org x 0,00 = 0,00
Honorarium Tenaga Ahli Cabut IUD125 org x 0,00 = 0,00
Biaya Tindak Medis MOP/MOW50 or x 0,00 = 0,00",,,,,,,,,,
1.12 . 1.11.01 . 15.14 . 5.2.2.34.05 ,Honor Peserta Seminar/Simposium /Workshop/Sosialisasi,6000000.00,0.00,-6000000.00,-100,"Honorarium Peserta
Honorarium Peserta MOP40 org x 0,00 = 0,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 ,Monev Yandu KB Kesehatan & Kespro dalam Rangka TNI Manunggal Kesehatan ,48665000.00,48665000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.1 ,Belanja Pegawai ,850000.00,850000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.1.01 ,Honorarium PNS ,850000.00,850000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,850000.00,850000.00,0.00,0,"Honorarium Panitia Pelaksana Kegiatan
Ketua1 org x 200.000,00 = 200.000,00
Sekretaris1 Org x 150.000,00 = 150.000,00
Anggota5 Org x 100.000,00 = 500.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2 ,Belanja Barang dan Jasa ,47815000.00,47815000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,615000.00,615000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,615000.00,615000.00,0.00,0,"Belanja ATK1 Paket x 615.000,00 = 615.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.03 ,Belanja Jasa Kantor ,1250000.00,1250000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.03.13 ,Belanja Dokumentasi ,500000.00,500000.00,0.00,0,"Dokumentasi
Belanja Dokumentasi1 Paket x 500.000,00 = 500.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.03.14 ,Belanja Dekorasi ,750000.00,750000.00,0.00,0,"Dekorasi Puncak Acara Monev
Belanja Dekorasi Puncak Acara Monev1 Paket x 750.000,00 = 750.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,500000.00,500000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,500000.00,500000.00,0.00,0,"Fotocopy1 Paket x 500.000,00 = 500.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.10 ,Belanja Sewa Perlengkapan Dan Peralatan Kantor ,9950000.00,9950000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.10.01 ,Belanja Sewa Meja Kursi ,3200000.00,3200000.00,0.00,0,"Sewa meja kursi
Sewa Kursi600 Bh x 2.500,00 = 1.500.000,00
Sewa Kursi VVIP20 bh x 60.000,00 = 1.200.000,00
Sewa Meja dan Taplak100 bh x 4.000,00 = 400.000,00Sewa Meja VVIP5 bh x 20.000,00 = 100.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.10.04 ,Belanja Sewa Generator ,750000.00,750000.00,0.00,0,"Belanja Sewa Genset
Sewa Genset1 bh x 750.000,00 = 750.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.10.05 ,Belanja Sewa Tenda/panggung/tikar/taman ,5000000.00,5000000.00,0.00,0,"Belanja sewa tenda
sewa tenda20 unit x 250.000,00 = 5.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.10.07 ,Belanja Sewa Sound System ,1000000.00,1000000.00,0.00,0,"Belanja sewa sound system
sewa sound system1 set x 1.000.000,00 = 1.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,26625000.00,26625000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,3000000.00,3000000.00,0.00,0,"Makanan dan Minuman Rapat Koordinasi
Belanja Snack dan Minum120 Org x 25.000,00 = 3.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,23625000.00,23625000.00,0.00,0,"KIE Narkoba dan KRR
Belanja Makan, Minum, Snack75 Org x 25.000,00 = 1.875.000,00
KIE Kesehatan Ibu dan AnakBelanja Makan, Minum, Snack75 Org x 25.000,00 = 1.875.000,00
KIE Kontrasepsi MantapBelanja Makan, Minum, Snack75 Org x 25.000,00 = 1.875.000,00
Puncak Acara MonevBelanja Makan, Minum, Snack600 Org x 25.000,00 = 15.000.000,00
minum snack400 org x 7.500,00 = 3.000.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.15 ,Belanja Perjalanan Dinas ,825000.00,825000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,825000.00,825000.00,0.00,0,"Belanja perjalanan dinas dalam daerah
Golongan IV5 OH x 45.000,00 = 225.000,00
Gol III10 org x 35.000,00 = 350.000,00
Gol II10 org x 25.000,00 = 250.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,8050000.00,8050000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,1300000.00,1300000.00,0.00,0,"Honorarium Narasumber / Tenaga Ahli
Honor Narasumber KIE Narkoba1 org x 200.000,00 = 200.000,00
Honor Narasumber KIE KRR1 org x 200.000,00 = 200.000,00
Honor Narasumber KIE Kesehatan Ibu dan Anak1 org x 200.000,00 = 200.000,00
Honor Narasumber KIE Kontrasepsi Mantap1 org x 200.000,00 = 200.000,00
Honor Tenaga Elektone1 org x 500.000,00 = 500.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.15 . 5.2.2.34.05 ,Honor Peserta Seminar/Simposium /Workshop/Sosialisasi,6750000.00,6750000.00,0.00,0,"Transport Peserta
Belanja Transport Peserta225 org x 30.000,00 = 6.750.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.18 ,Fasilitasi Forum Kelompok KB ,26300000.00,26300000.00,0.00,0,"Sumber Dana : Dana Alokasi Umum (D A U)
Lokasi Kegiatan : Kabupaten Bantul",,,,,,,,,,
1.12 . 1.11.01 . 15.18 . 5.2.1 ,Belanja Pegawai ,550000.00,550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.18 . 5.2.1.01 ,Honorarium PNS ,550000.00,550000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.18 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,550000.00,550000.00,0.00,0,"Honorarium Panitia Pelaksana Kegiatan
Ketua1 org x 150.000,00 = 150.000,00
Anggota ( 4 org x 1 keg)4 org x 100.000,00 = 400.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.18 . 5.2.2 ,Belanja Barang dan Jasa ,25750000.00,25750000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.18 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,3850000.00,3850000.00,0.00,0,,,,,,,,,,,
1.12 . 1.11.01 . 15.18 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,3850000.00,3850000.00,0.00,0,"Belanja ATK1 pkt x 3.850.000,00 = 3.850.000,00",,,,,,,,,,
1.12 . 1.11.01 . 15.18 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,1500000.00,1500000.00,0.00,0,,,,,,,,,,,
