Judul,"Ringkasan Anggaran Pendapatan dan Belanja Daerah Berdasarkan Rincian Obyek Pendapatan, Belanja, dan Pembiayaan",,
5 . 2 . 2 . 03 . 22,"Belanja Pemasangan  Instalasi Telepon, Instalasi Listrik dan Instalasi Air",48500000.00,
5 . 2 . 2 . 03 . 23,Belanja Uji Kesehatan,5000000.00,
5 . 2 . 2 . 03 . 24,Belanja Jasa Penghitungan/Penilai,137700000.00,
5 . 2 . 2 . 03 . 25,Belanja Jasa Pengelolaan Sampah,2100000.00,
5 . 2 . 2 . 03 . 26,Belanja Pajak Bumi dan Bangunan,120000000.00,
5 . 2 . 2 . 03 . 27,Belanja Jasa Prossesing Benih,96955000.00,
5 . 2 . 2 . 03 . 29,Belanja Iuran,84000000.00,
5 . 2 . 2 . 03 . 30,Belanja Jasa Tambah Daya Listrik,31800000.00,
5 . 2 . 2 . 03 . 31,Belanja Pendaftaran Akreditasi,16000000.00,
5 . 2 . 2 . 04,Belanja Premi Asuransi,7052500.00,
5 . 2 . 2 . 04 . 01,Belanja Premi Asuransi Kesehatan,4892500.00,
5 . 2 . 2 . 04 . 02,Belanja Premi Asuransi Barang Milik Daerah,2160000.00,
5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,10013772750.00,
5 . 2 . 2 . 05 . 01,Belanja Jasa Service,549893000.00,
5 . 2 . 2 . 05 . 02,Belanja Penggantian Suku Cadang,1542070000.00,
5 . 2 . 2 . 05 . 03,Belanja Bahan Bakar Minyak/Gas Dan Pelumas,7339697750.00,
5 . 2 . 2 . 05 . 04,Belanja Jasa KIR,3864000.00,
5 . 2 . 2 . 05 . 05,Belanja Pajak Kendaraan Bermotor,209290000.00,
5 . 2 . 2 . 05 . 07,Belanja Surat Tanda Nomor Kendaraan,244610000.00,
5 . 2 . 2 . 05 . 08,Belanja Perpanjangan Surat Ijin Mengemudi,600000.00,
5 . 2 . 2 . 05 . 09,Belanja Rehab Mobil Dinas,4500000.00,
5 . 2 . 2 . 05 . 10,Belanja Pengecatan kendaraan,89968000.00,
5 . 2 . 2 . 05 . 11,Belanja pengisian freon,14280000.00,
5 . 2 . 2 . 05 . 12,Belanja accessories kendaraan,15000000.00,
5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,7011246092.00,
5 . 2 . 2 . 06 . 01,Belanja Cetak,3380380360.00,
5 . 2 . 2 . 06 . 02,Belanja Penggandaan,3630865732.00,
5 . 2 . 2 . 07,Belanja Sewa Rumah/Gedung/Gudang/Parkir,2739157600.00,
5 . 2 . 2 . 07 . 01,Belanja Sewa Rumah Jabatan/Rumah Dinas,2400000.00,
5 . 2 . 2 . 07 . 02,Belanja Sewa Gedung/Kantor/Tempat,1157850000.00,
5 . 2 . 2 . 07 . 03,Belanja Sewa Ruang Rapat/Pertemuan,542395000.00,
5 . 2 . 2 . 07 . 04,Belanja Sewa Tempat Parkir/Uang Tambat/Hanggar Sarana Mobilitas,1200000.00,
5 . 2 . 2 . 07 . 05,Belanja Sewa Kamar Hotel/Penginapan,518120000.00,
5 . 2 . 2 . 07 . 06,Belanja Sewa Tempat/Lahan Pertanian,504110000.00,
5 . 2 . 2 . 07 . 07,Belanja Sewa Tanah/Lahan untuk Pasar,13082600.00,
5 . 2 . 2 . 08,Belanja Sewa Sarana Mobilitas,1068348000.00,
5 . 2 . 2 . 08 . 01,Belanja Sewa Sarana Mobilitas Darat,1025748000.00,
5 . 2 . 2 . 08 . 02,Belanja Sewa Sarana Mobilitas Air,42600000.00,
5 . 2 . 2 . 09,Belanja Sewa Alat Berat,55000000.00,
5 . 2 . 2 . 09 . 04,Belanja sewa backhoe/ tractor,55000000.00,
5 . 2 . 2 . 10,Belanja Sewa Perlengkapan dan Peralatan Kantor,1734506000.00,
5 . 2 . 2 . 10 . 01,Belanja Sewa Meja Kursi,223932000.00,
5 . 2 . 2 . 10 . 02,Belanja Sewa Komputer Dan Printer,0,
5 . 2 . 2 . 10 . 03,Belanja Sewa Proyektor,25500000.00,
5 . 2 . 2 . 10 . 04,Belanja Sewa Generator,69000000.00,
5 . 2 . 2 . 10 . 05,Belanja Sewa Tenda,433020000.00,
5 . 2 . 2 . 10 . 06,Belanja Sewa Pakaian Adat/Tradisional,74000000.00,
5 . 2 . 2 . 10 . 07,Belanja Sewa Sound System,341975000.00,
5 . 2 . 2 . 10 . 11,Belanja sewa peralatan display,363250000.00,
5 . 2 . 2 . 10 . 12,Belanja sewa peralatan dan perlengkapan kesenian/lomba,30000000.00,
5 . 2 . 2 . 10 . 13,Belanja sewa peralatan dan perlengkapan kegiatan,172829000.00,
5 . 2 . 2 . 10 . 14,Belanja Sewa Deposit Box,1000000.00,
5 . 2 . 2 . 11,Belanja Makanan dan  Minuman,24941442500.00,
5 . 2 . 2 . 11 . 01,Belanja Makanan Dan Minuman Harian Pegawai,1521507500.00,
5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,6272680500.00,
5 . 2 . 2 . 11 . 03,Belanja Makanan Dan Minuman Tamu,1354387500.00,
5 . 2 . 2 . 11 . 04,Belanja makanan dan minuman Lembur,631873500.00,
5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,15160993500.00,
5 . 2 . 2 . 12,Belanja Pakaian Dinas dan Atributnya,253400000.00,
5 . 2 . 2 . 12 . 01,Belanja Pakaian Dinas KDH Dan WKDH,35000000.00,
5 . 2 . 2 . 12 . 02,Belanja Pakaian Sipil Harian (PSH),42750000.00,
5 . 2 . 2 . 12 . 03,Belanja Pakaian Sipil Lengkap (PSL),3900000.00,
5 . 2 . 2 . 12 . 04,Belanja Pakaian Dinas Harian (PDH),42750000.00,
5 . 2 . 2 . 12 . 05,Belanja Pakaian Dinas Upacara (PDU),75750000.00,
5 . 2 . 2 . 12 . 06,Belanja Pakaian Sipil Resmi  (PSR),53250000.00,
5 . 2 . 2 . 13,Belanja Pakaian Kerja,499897000.00,
5 . 2 . 2 . 13 . 01,Belanja Pakaian Kerja Lapangan,453595000.00,
5 . 2 . 2 . 13 . 02,Belanja Pakaian Kerja Pelayanan,46302000.00,
5 . 2 . 2 . 14,Belanja Pakaian khusus dan hari-hari tertentu,707825000.00,
5 . 2 . 2 . 14 . 02,Belanja Pakaian Adat Daerah,13000000.00,
5 . 2 . 2 . 14 . 03,Belanja Pakaian Batik Tradisional,218600000.00,
5 . 2 . 2 . 14 . 04,Belanja Pakaian Olahraga,330650000.00,
5 . 2 . 2 . 14 . 05,Belanja pakaian kejuaraan/ lomba,55600000.00,
5 . 2 . 2 . 14 . 06,Belanja pakaian dinas protokol,12600000.00,
5 . 2 . 2 . 14 . 11,Belanja Pakaian Kaos/Training,69875000.00,
5 . 2 . 2 . 14 . 12,Belanja Pakaian Kesenian,7500000.00,
5 . 2 . 2 . 15,Belanja Perjalanan Dinas,20806397200.00,
5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,3728486500.00,
5 . 2 . 2 . 15 . 02,Belanja Perjalanan Dinas Luar Daerah,16909410700.00,
5 . 2 . 2 . 15 . 03,Belanja perjalanan dinas luar negeri,168500000.00,
5 . 2 . 2 . 17,"Belanja kursus, pelatihan, sosialisasi dan bimbingan teknis PNS",2384130000.00,
5 . 2 . 2 . 17 . 01,Belanja Kursus-Kursus Singkat/Pelatihan,411680000.00,
5 . 2 . 2 . 17 . 02,Belanja Sosialisasi,11400000.00,
5 . 2 . 2 . 17 . 03,Belanja Bimbingan Teknis,259350000.00,
5 . 2 . 2 . 17 . 04,Belanja Diklat Prajabatan,19800000.00,
5 . 2 . 2 . 17 . 05,Belanja Diklat Penjenjangan Struktural,1193000000.00,
5 . 2 . 2 . 17 . 06,Belanja Pengiriman Ujian Dinas,54000000.00,
5 . 2 . 2 . 17 . 07,Belanja Pengiriman Peserta Seleksi Akademik,60000000.00,
5 . 2 . 2 . 17 . 08,Belanja Pengiriman Peserta Diklat,374900000.00,
5 . 2 . 2 . 20,Belanja Pemeliharaan,5625929550.00,
5 . 2 . 2 . 20 . 03,Belanja Pemeliharan Tanah,87995000.00,
5 . 2 . 2 . 20 . 04,Belanja Pemeliharan Peralatan dan Mesin,1615870550.00,
5 . 2 . 2 . 20 . 05,Belanja Pemeliharan Gedung dan Bangunan,1531420000.00,
5 . 2 . 2 . 20 . 06,Belanja Pemeliharan perlengkapan kantor,17000000.00,
5 . 2 . 2 . 20 . 07,Belanja Pemeliharaan Jaringan dan Instalasi,2254144000.00,
5 . 2 . 2 . 20 . 08,Belanja Pemeliharaan Aplikasi dan Database,119500000.00,
5 . 2 . 2 . 21,Belanja Jasa Konsultansi,5549245000.00,
5 . 2 . 2 . 21 . 01,Belanja Jasa Konsultansi Penelitian,844700000.00,
5 . 2 . 2 . 21 . 02,Belanja Jasa Konsultansi Perencanaan,3344400000.00,
5 . 2 . 2 . 21 . 03,Belanja Jasa Konsultansi Pengawasan,306000000.00,
5 . 2 . 2 . 21 . 04,Belanja Jasa Konsultasi Sistem Manajeman Mutu,65850000.00,
5 . 2 . 2 . 21 . 06,Belanja Jasa Konsultasi Penyusunan Dokumen Lingkungan,197845000.00,
5 . 2 . 2 . 21 . 07,Belanja Jasa Konsultasi Psikologi,89650000.00,
5 . 2 . 2 . 21 . 08,Belanja Jasa Pendataan PBB,455000000.00,
5 . 2 . 2 . 21 . 09,Belanja Jasa Konsultasi Penelusuran Naskah Sumber,49000000.00,
5 . 2 . 2 . 21 . 10,Belanja Jasa Pembuatan Database Aset Tetap,196800000.00,
5 . 2 . 2 . 23,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga,8328438000.00,
5 . 2 . 2 . 23 . 01,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat,8328438000.00,
5 . 2 . 2 . 27,Belanja Sharing,2151428000.00,
5 . 2 . 2 . 27 . 01,Belanja sharing pengelolaan,2151428000.00,
5 . 2 . 2 . 29,Belanja Barang dan Jasa Operasional Puskesmas,43678403200.00,
5 . 2 . 2 . 29 . 01,Belanja Barang dan Jasa Operasional puskesmas,41082388200.00,
5 . 2 . 2 . 29 . 02,Belanja barang dan jasa pelayanan pendidikan di Puskesmas,108000000.00,
5 . 2 . 2 . 29 . 03,Belanja barang dan jasa pelayanan Klaim BPJS (Non Kapitasi JKN),2488015000.00,
5 . 2 . 2 . 30,Belanja Barang dan Jasa Operasional BLUD,108641345000.00,
5 . 2 . 2 . 30 . 01,Belanja Barang Operasional BLUD,108641345000.00,
5 . 2 . 2 . 31,Belanja Operasional Pendidikan,30009135000.00,
5 . 2 . 2 . 31 . 01,Belanja Operasional Pendidikan PAUD,882000000.00,
5 . 2 . 2 . 31 . 03,Belanja Operasional Pendidikan SD/MI,9365560000.00,
5 . 2 . 2 . 31 . 04,Belanja Operasional Pendidikan SMP,7778250000.00,
5 . 2 . 2 . 31 . 05,Belanja Operasional Pendidikan SMA/SMK,11983325000.00,
5 . 2 . 2 . 32,Belanja Jaminan Pemeliharaan Kesehatan,15219000000.00,
5 . 2 . 2 . 32 . 01,Belanja Jaminan Pemeliharaan Kesehatan,15219000000.00,
5 . 2 . 2 . 33,"Belanja Kursus, Sosialisasi dan Bintek",396200000.00,
5 . 2 . 2 . 33 . 01,Belanja Kursus-kursus singkat/pelatihan/Bintek DPRD,180000000.00,
5 . 2 . 2 . 33 . 02,Belanja Kursus-kursus/Pelatihan/Bintek,216200000.00,
5 . 2 . 2 . 34,Belanja Perlengkapan Penyelamatan,70000000.00,
5 . 2 . 2 . 34 . 01,Belanja Perlengkapan TRC,20000000.00,
5 . 2 . 2 . 34 . 02,Belanja Perlengkapan SAR,20000000.00,
5 . 2 . 2 . 34 . 03,Belanja Perlengkapan PBK,30000000.00,
5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",25613368600.00,
5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,7038060000.00,
5 . 2 . 2 . 35 . 02,Jasa Yuri Perlombaan/Pelatih,434825000.00,
5 . 2 . 2 . 35 . 03,Jasa Petugas Entry Data dan Digital SIG,53090000.00,
5 . 2 . 2 . 35 . 04,Jasa TIM Intensifikasi PBB,1007920000.00,
5 . 2 . 2 . 35 . 05,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi,3386483500.00,
5 . 2 . 2 . 35 . 06,Jasa Tenaga Harian Lepas,8708155100.00,
5 . 2 . 2 . 35 . 08,Jasa Petugas Pengumpul/Validasi Data,704769000.00,
5 . 2 . 2 . 35 . 09,Jasa Petugas Lapangan,4280066000.00,
5 . 2 . 2 . 35 . 10,Jasa Penyelenggaraan Kegiatan,0,
5 . 2 . 2 . 37,Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat,3087842500.00,
5 . 2 . 2 . 37 . 01,Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat,3087842500.00,
5 . 2 . 2 . 38,Belanja Jasa Pentas/Pertunjukan,1346670000.00,
5 . 2 . 2 . 38 . 01,Belanja Jasa Pentas/Pertunjukan,1346670000.00,
5 . 2 . 2 . 39,Uang Saku Pengiriman Perlombaan,53400000.00,
5 . 2 . 2 . 39 . 01,Uang Saku Pengiriman Atlit / Pelajar Berprestasi,53400000.00,
5 . 2 . 2 . 40,Belanja Jasa Upgrade,210700000.00,
5 . 2 . 2 . 40 . 01,Belanja Jasa Upgrade Software,210700000.00,
5 . 2 . 2 . 41,Belanja Jasa Penyusunan SPT,65000000.00,
5 . 2 . 2 . 41 . 01,Belanja Jasa Penyusunan SPT,65000000.00,
5 . 2 . 2 . 42,Belanja Jasa Ujian Seleksi,63000000.00,
5 . 2 . 2 . 42 . 02,Belanja Jasa Assesment,15000000.00,
5 . 2 . 2 . 42 . 03,Belanja Jasa Seleksi CPNS,48000000.00,
5 . 2 . 2 . 43,Belanja Jasa Perekrutan Pegawai Outsourcing,24576000.00,
5 . 2 . 2 . 43 . 01,Belanja Jasa Perekrutan Pegawai Outsourcing,24576000.00,
5 . 2 . 2 . 44,Belanja Jasa Bongkar,20800000.00,
5 . 2 . 2 . 44 . 01,Belanja Jasa Bongkar,20800000.00,
5 . 2 . 2 . 45,Belanja Jasa Pengadaan Aplikasi,439425000.00,
5 . 2 . 2 . 45 . 01,Belanja Jasa Pengadaan Aplikasi,439425000.00,
5 . 2 . 3,Belanja Modal,293496091675.00,
5 . 2 . 3 . 11,Belanja Modal Tanah - Pengadaan Tanah Untuk Bangunan Gedung,5286405400.00,
5 . 2 . 3 . 11 . 02,Belanja Modal Tanah - Pengadaan Tanah Untuk Bangunan Gedung Perdagangan/Perusahaan,4233800000.00,
5 . 2 . 3 . 11 . 04,Belanja Modal Tanah - Pengadaan Tanah Untuk Bangunan Tempat Kerja/Jasa,1052605400.00,
5 . 2 . 3 . 13,Belanja Modal Tanah - Pengadaan Tanah Untuk Bangunan Bukan Gedung,1894370000.00,
5 . 2 . 3 . 13 . 01,Belanja Modal Tanah - Pengadaan Tanah Lapangan Olah Raga,1526200000.00,
5 . 2 . 3 . 13 . 02,Belanja Modal Tanah - Pengadaan Tanah Lapangan Parkir,20000000.00,
5 . 2 . 3 . 13 . 07,Belanja Modal Tanah - Pengadaan Tanah Untuk Bangunan Jalan,0,
5 . 2 . 3 . 13 . 13,Belanja Modal Tanah - Pengadaan Tanah Untuk Bangunan Tempat Ibadah,348170000.00,
5 . 2 . 3 . 16,Belanja Modal Peralatan dan Mesin - Pengadaan Alat-alat Bantu,333335000.00,
5 . 2 . 3 . 16 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Penarik,70840000.00,
5 . 2 . 3 . 16 . 03,Belanja Modal Peralatan dan Mesin - Pengadaan Compressor,3750000.00,
5 . 2 . 3 . 16 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Electric Generating Set,133800000.00,
5 . 2 . 3 . 16 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Pompa,72750000.00,
5 . 2 . 3 . 16 . 08,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pengolahan Air Kotor,52195000.00,
5 . 2 . 3 . 17,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Angkutan Darat Bermotor,5545012800.00,
5 . 2 . 3 . 17 . 03,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Angkutan Barang,834838000.00,
5 . 2 . 3 . 17 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Khusus,3594934800.00,
5 . 2 . 3 . 17 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Beroda Dua,857190000.00,
5 . 2 . 3 . 17 . 06,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Beroda Tiga,258050000.00,
5 . 2 . 3 . 18,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Angkutan Darat Tak Bermotor,112300000.00,
5 . 2 . 3 . 18 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Bermotor Angkutan Barang,75000000.00,
5 . 2 . 3 . 18 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Kendaraan Tak Bermotor Berpenumpang,37300000.00,
5 . 2 . 3 . 22,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Bengkel Bermesin,78800000.00,
5 . 2 . 3 . 22 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Perkakas Konstruksi Logam yang Berpindah,60800000.00,
5 . 2 . 3 . 22 . 04,Belanja Modal Peralatan dan Mesin - Perkakas Bengkel Service,4000000.00,
5 . 2 . 3 . 22 . 06,Belanja Modal Peralatan dan Mesin - Pengadaan Perkakas Bengkel Kayu,10000000.00,
5 . 2 . 3 . 22 . 08,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Las,4000000.00,
5 . 2 . 3 . 23,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Bengkel Tak Bermesin,9500000.00,
5 . 2 . 3 . 23 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Perkakas Bengkel Listrik,7000000.00,
5 . 2 . 3 . 23 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Perkakas Pengangkat,2500000.00,
5 . 2 . 3 . 24,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Ukur,265895000.00,
5 . 2 . 3 . 24 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Ukur Universal,26000000.00,
5 . 2 . 3 . 24 . 08,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Ukur/Pembanding,175870000.00,
5 . 2 . 3 . 24 . 09,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Ukur,61525000.00,
5 . 2 . 3 . 24 . 10,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Timbangan/Blora,2000000.00,
5 . 2 . 3 . 24 . 11,Belanja Modal Peralatan dan Mesin - Pengadaan Anak Timbangan/Biasa,500000.00,
5 . 2 . 3 . 25,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pengolahan,2559750000.00,
5 . 2 . 3 . 25 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pengolahan Tanah dan Tanaman,606775000.00,
5 . 2 . 3 . 25 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Panen/Pengolahan,4000000.00,
5 . 2 . 3 . 25 . 06,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Procesing,137675000.00,
5 . 2 . 3 . 25 . 07,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pasca Panen,1339450000.00,
5 . 2 . 3 . 25 . 08,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pengolahan Produksi Perikanan,471850000.00,
5 . 2 . 3 . 26,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pemeliharaan Tanaman/Alat Penyimpan,662117600.00,
5 . 2 . 3 . 26 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pemeliharaan Tanaman,39000000.00,
5 . 2 . 3 . 26 . 03,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Penyimpanan,6460000.00,
5 . 2 . 3 . 26 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium,616657600.00,
5 . 2 . 3 . 27,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor,1165726000.00,
5 . 2 . 3 . 27 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Mesin Ketik,69460000.00,
5 . 2 . 3 . 27 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Mesin Hitung/Jumlah,16600000.00,
5 . 2 . 3 . 27 . 03,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Reproduksi (Pengganda),7800000.00,
5 . 2 . 3 . 27 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Penyimpanan Perlengkapan Kantor,209681000.00,
5 . 2 . 3 . 27 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor,862185000.00,
5 . 2 . 3 . 28,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga,3641026525.00,
5 . 2 . 3 . 28 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Meubelair,2453575225.00,
5 . 2 . 3 . 28 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pengukur Waktu,2100000.00,
5 . 2 . 3 . 28 . 03,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pembersih,48400000.00,
5 . 2 . 3 . 28 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pendingin,625553800.00,
5 . 2 . 3 . 28 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Dapur,44730000.00,
5 . 2 . 3 . 28 . 06,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga  (Home Use),379717500.00,
5 . 2 . 3 . 28 . 07,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Pemadam Kebakaran,86950000.00,
5 . 2 . 3 . 29,Belanja Modal Peralatan dan Mesin - Pengadaan  Komputer,4989224310.00,
5 . 2 . 3 . 29 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Komputer Unit Jaringan,66500000.00,
5 . 2 . 3 . 29 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer,2877114610.00,
5 . 2 . 3 . 29 . 03,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Komputer Mainframe,327713000.00,
5 . 2 . 3 . 29 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Mini Komputer,142840000.00,
5 . 2 . 3 . 29 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer,1116156700.00,
5 . 2 . 3 . 29 . 06,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan,458900000.00,
5 . 2 . 3 . 30,Belanja Modal Peralatan dan Mesin - Pengadaan Meja Dan Kursi Kerja/Rapat Pejabat,1151785000.00,
5 . 2 . 3 . 30 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Meja Kerja Pejabat,68000000.00,
5 . 2 . 3 . 30 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Meja Rapat Pejabat,225550000.00,
5 . 2 . 3 . 30 . 03,Belanja Modal Peralatan dan Mesin - Pengadaan Kursi Kerja Pejabat,185550000.00,
5 . 2 . 3 . 30 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Kursi Rapat Pejabat,349960000.00,
5 . 2 . 3 . 30 . 06,Belanja Modal Peralatan dan Mesin - Pengadaan Kursi Tamu di Ruangan Pejabat,101950000.00,
5 . 2 . 3 . 30 . 07,Belanja Modal Peralatan dan Mesin - Pengadaan Lemari dan Arsip Pejabat,220775000.00,
5 . 2 . 3 . 31,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio,1395486100.00,
5 . 2 . 3 . 31 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Visual,1212997600.00,
5 . 2 . 3 . 31 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Video dan Film,140247500.00,
5 . 2 . 3 . 31 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Cetak,12400000.00,
5 . 2 . 3 . 31 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Computing,19841000.00,
5 . 2 . 3 . 31 . 06,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Pemetaan Ukur,10000000.00,
5 . 2 . 3 . 32,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi,796965000.00,
5 . 2 . 3 . 32 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi Telephone,560950000.00,
5 . 2 . 3 . 32 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi Radio VHF,15500000.00,
5 . 2 . 3 . 32 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi Radio UHF,8000000.00,
5 . 2 . 3 . 32 . 06,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi Sosial,212515000.00,
5 . 2 . 3 . 33,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Pemancar,37850000.00,
5 . 2 . 3 . 33 . 03,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Pemancar VHF/FM,36000000.00,
5 . 2 . 3 . 33 . 10,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Antena SHF/Parabola,1850000.00,
5 . 2 . 3 . 34,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kedokteran,1163658000.00,
5 . 2 . 3 . 34 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kedokteran Umum,905728000.00,
5 . 2 . 3 . 34 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kedokteran Gigi,102780000.00,
5 . 2 . 3 . 34 . 04,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kedokteran Mata,3000000.00,
5 . 2 . 3 . 34 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kedokteran T.H.T,10500000.00,
5 . 2 . 3 . 34 . 07,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Farmasi,7000000.00,
5 . 2 . 3 . 34 . 09,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kesehatan Kebidanan dan Penyakit Kandungan,65950000.00,
5 . 2 . 3 . 34 . 12,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kesehatan Anak,5750000.00,
5 . 2 . 3 . 34 . 13,Belanja Modal Peralatan dan Mesin - Pengadaan Poliklinik Set,29000000.00,
5 . 2 . 3 . 34 . 16,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kedokteran Jantung,24000000.00,
5 . 2 . 3 . 34 . 20,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kedokteran Gawat Darurat,9950000.00,
5 . 2 . 3 . 35,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kesehatan,7460898330.00,
5 . 2 . 3 . 35 . 01,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kesehatan Perawatan,7358298330.00,
5 . 2 . 3 . 35 . 02,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kesehatan Rehabilitasi Medis,28600000.00,
5 . 2 . 3 . 35 . 05,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kesehatan Kedokteran Kepolisian,74000000.00,
5 . 2 . 3 . 36,Belanja Modal Peralatan dan Mesin - Pengadaan Unit-Unit Laboratorium,2618400000.00,
5 . 2 . 3 . 36 . 03,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Laboratorium Hidro Kimia,50900000.00,
5 . 2 . 3 . 36 . 08,Belanja Modal Peralatan dan Mesin - Pengadaan Alat laboratorium Mekanik Tanah dan Batuan,41000000.00,
