JUDUL,ANGGARAN PENDAPATAN DAN BELANJA DAERAH,,
DAERAH,KOTA YOGYAKARTA,,
TAHUN,2016,,
KODE ORGANISASI,1.13.01,,
NAMA ORGANISASI,DINAS SOSIAL, TENAGA KERJA DAN TRANSMIGRASI,,
KOLOM,4,,
,,,
KODE REKENING , URAIAN  ,ANGGARAN,KETERANGAN
,,,
1.13.1.13.01.000.000.4 ,PENDAPATAN DAERAH ,,
"1.13.1.13.01.000.000.5 ,BELANJA DAERAH ,"" 23,308,998,703 "","
"1.13.1.13.01.000.000.5.1 ,BELANJA TIDAK LANGSUNG ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1 ,BELANJA PEGAWAI ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1.01 ,Belanja Gaji Dan Tunjangan ,"" 6,971,558,475 "","
"1.13.1.13.01.000.000.5.1.1.01.01 ,Gaji Pokok PNS/Uang Representasi (DAU) ,"" 5,079,904,126 "",Gaji Pokok PNS/Uang Representasi (DAU) 5079904126"
"1.13.1.13.01.000.000.5.1.1.01.02 ,Tunjangan Keluarga (DAU) ,"" 457,114,629 "",Tunjangan Keluarga (DAU) 457114629"
"1.13.1.13.01.062.003.5.2.1.07.01 ,Uang Kelayan Panti ,"" 36,000,000 "",Uang Kelayan Panti 36000000"
,,,
"1.13.1.13.01.062.003.5.2.2 ,BELANJA BARANG DAN JASA ,"" 1,137,756,027 "","
"1.13.1.13.01.062.003.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 18,012,000 "","
"1.13.1.13.01.062.003.5.2.2.01.08 ,Belanja Pengisian Tabung Gas ,"" 18,012,000 "",Belanja Pengisian Tabung Gas 18012000"
,,,
"1.13.1.13.01.062.003.5.2.2.02 ,Belanja Bahan/Material ,"" 16,010,972 "","
"1.13.1.13.01.062.003.5.2.2.02.04 ,Belanja Bahan Obat-Obatan ,"" 6,435,972 "",Belanja Bahan Obat-Obatan 6435972"
,,,
"1.13.1.13.01.062.003.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"" 8,695,000 "",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 8695000"
,,,
"1.13.1.13.01.062.003.5.2.2.02.09 ,Belanja Bahan Percontohan ,"" 880,000 "",Belanja Bahan Percontohan 880000"
,,,
"1.13.1.13.01.062.003.5.2.2.03 ,Belanja Jasa Kantor ,"" 198,508,200 "","
"1.13.1.13.01.062.003.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"" 198,508,200 "",Belanja Jasa Penyedia /Tenaga Teknis 198508200"
,,,
"1.13.1.13.01.062.003.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 2,620,000 "","
"1.13.1.13.01.062.003.5.2.2.06.01 ,Belanja Cetak ,"" 2,620,000 "",Belanja Cetak 2620000"
,,,
"1.13.1.13.01.062.003.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 663,960,000 "","
"1.13.1.13.01.062.003.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 3,360,000 "",Belanja Makanan Dan Minuman Rapat 3360000"
,,,
"1.13.1.13.01.062.003.5.2.2.11.04 ,Belanja Makanan Dan Minuman Panti ,"" 660,600,000 "",Belanja Makanan Dan Minuman Panti 660600000"
,,,
"1.13.1.13.01.062.003.5.2.2.20 ,Belanja Pemeliharaan ,"" 140,988,055 "","
"1.13.1.13.01.062.003.5.2.2.20.09 ,Belanja Pemeliharaan Kebersihan ,"" 140,988,055 "",Belanja Pemeliharaan Kebersihan 140988055"
,,,
"1.13.1.13.01.062.003.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 68,000,000 "","
"1.13.1.13.01.062.003.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"" 42,000,000 "",Belanja Jasa Tenaga Ahli 42000000"
,,,
"1.13.1.13.01.062.003.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 26,000,000 "",Belanja Jasa Instruktur 26000000"
,,,
"1.13.1.13.01.062.003.5.2.2.33 ,Belanja Barang Kelayan Panti ,"" 29,656,800 "","
"1.13.1.13.01.062.003.5.2.2.33.01 ,Belanja Barang Kelayan Panti ,"" 29,656,800 "",Belanja Barang Kelayan Panti 29656800"
,,,
"1.13.1.13.01.062.004 ,Pelayanan Gelandangan dan Pengemis di Panti Karya Karanganyar ,"" 2,372,292,250 "","
"1.13.1.13.01.062.004.5.2.1 ,BELANJA PEGAWAI ,"" 131,500,000 "","
"1.13.1.13.01.062.004.5.2.1.01 ,Honorarium PNS ,"" 57,850,000 "","
"1.13.1.13.01.062.004.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 56,725,000 "",Honorarium Panitia Pelaksana Kegiatan 56725000"
,,,
"1.13.1.13.01.062.004.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 1,125,000 "",Honorarium Tim Pengadaan Barang dan Jasa 1125000"
,,,
"1.13.1.13.01.062.004.5.2.1.02 ,Honorarium Non PNS ,"" 48,450,000 "","
"1.13.1.13.01.062.004.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 48,450,000 "",Honorarium Panitia Pelaksana Kegiatan 48450000"
,,,
"1.13.1.13.01.062.004.5.2.1.07 ,Uang Kelayan Panti ,"" 25,200,000 "","
"1.13.1.13.01.062.004.5.2.1.07.01 ,Uang Kelayan Panti ,"" 25,200,000 "",Uang Kelayan Panti 25200000"
,,,
"1.13.1.13.01.062.004.5.2.2 ,BELANJA BARANG DAN JASA ,"" 2,234,642,250 "","
"1.13.1.13.01.062.004.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 35,094,000 "","
"1.13.1.13.01.062.004.5.2.2.01.08 ,Belanja Pengisian Tabung Gas ,"" 30,144,000 "",Belanja Pengisian Tabung Gas 30144000"
,,,
"1.13.1.13.01.062.004.5.2.2.01.09 ,Belanja Linen Pasien ,"" 4,950,000 "",Belanja Linen Pasien 4950000"
,,,
"1.13.1.13.01.062.004.5.2.2.02 ,Belanja Bahan/Material ,"" 79,431,200 "","
"1.13.1.13.01.062.004.5.2.2.02.04 ,Belanja Bahan Obat-Obatan ,"" 28,219,200 "",Belanja Bahan Obat-Obatan 28219200"
,,,
"1.13.1.13.01.062.004.5.2.2.02.09 ,Belanja Bahan Percontohan ,"" 51,212,000 "",Belanja Bahan Percontohan 51212000"
",,,""Pembuatan Asesoris Gelang, Kalung, Bunga 39618000"""
,,,Pembuatan Bros 2600000
,,,Pembuatan Telur Asin 8994000
"1.13.1.13.01.062.004.5.2.2.03 ,Belanja Jasa Kantor ,"" 378,970,200 "","
"1.13.1.13.01.062.004.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"" 378,970,200 "",Belanja Jasa Penyedia /Tenaga Teknis 378970200"
,,,
"1.13.1.13.01.062.004.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 7,000,000 "","
"1.13.1.13.01.062.004.5.2.2.06.01 ,Belanja Cetak ,"" 2,500,000 "",Belanja Cetak 2500000"
,,,
"1.13.1.13.01.062.004.5.2.2.06.02 ,Belanja Penggandaan ,"" 4,500,000 "",Belanja Penggandaan 4500000"
,,,
"1.13.1.13.01.062.004.5.2.2.08 ,Belanja Sewa Sarana Mobilitas ,"" 4,000,000 "","
"1.13.1.13.01.062.004.5.2.2.08.01 ,Belanja Sewa Sarana Mobilitas Darat ,"" 4,000,000 "",Belanja Sewa Sarana Mobilitas Darat 4000000"
,,,
"1.13.1.13.01.062.004.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 966,940,000 "","
"1.13.1.13.01.062.004.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 33,640,000 "",Belanja Makanan Dan Minuman Rapat 33640000"
,,,
"1.13.1.13.01.062.004.5.2.2.11.04 ,Belanja Makanan Dan Minuman Panti ,"" 933,300,000 "",Belanja Makanan Dan Minuman Panti 933300000"
,,,
"1.13.1.13.01.062.004.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 173,452,000 "","
"1.13.1.13.01.062.004.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 2,000,000 "",Belanja Perjalanan Dinas Dalam Daerah 2000000"
,,,
"1.13.1.13.01.062.004.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 171,452,000 "",Belanja Perjalanan Dinas Luar Daerah 171452000"
,,,
"1.13.1.13.01.062.004.5.2.2.20 ,Belanja Pemeliharaan ,"" 191,337,550 "","
"1.13.1.13.01.062.004.5.2.2.20.09 ,Belanja Pemeliharaan Kebersihan ,"" 191,337,550 "",Belanja Pemeliharaan Kebersihan 191337550"
,,,
"1.13.1.13.01.062.004.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 182,200,000 "","
"1.13.1.13.01.062.004.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"" 143,000,000 "",Belanja Jasa Tenaga Ahli 143000000"
,,,
"1.13.1.13.01.062.004.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 35,200,000 "",Belanja Jasa Instruktur 35200000"
,,,
"1.13.1.13.01.062.004.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 4,000,000 "",Belanja Jasa Narasumber 4000000"
,,,
"1.13.1.13.01.062.004.5.2.2.33 ,Belanja Barang Kelayan Panti ,"" 216,217,300 "","
"1.13.1.13.01.062.004.5.2.2.33.01 ,Belanja Barang Kelayan Panti ,"" 216,217,300 "",Belanja Barang Kelayan Panti 216217300"
,,,
"1.13.1.13.01.062.004.5.2.3 ,BELANJA MODAL ,"" 6,150,000 "","
"1.13.1.13.01.062.004.5.2.3.19 ,Belanja Modal Pengadaan Alat ?혀 Alat Kedokteran ,"" 6,150,000 "","
"1.13.1.13.01.062.004.5.2.3.19.11 ,Belanja Modal Pengadaan Alat ?혀 Alat Kedokteran Orthopedi ,"" 450,000 "",Belanja Modal Pengadaan Alat ?혀 Alat Kedokteran Orthopedi 450000"
,,,
"1.13.1.13.01.062.004.5.2.3.19.15 ,Belanja Modal Pengadaan Alat ?혀 Alat Kesehatan ,"" 5,700,000 "",Belanja Modal Pengadaan Alat ?혀 Alat Kesehatan 5700000"
,,,
"1.13.1.13.01.062.005 ,Pendataan Penyandang Masalah Kesejahteraan Sosial (PMKS) dan Potensi ,"" 1,052,082,700 "","
,Sumber Kesejahteraan Sosial (PSKS),,
"1.13.1.13.01.062.005.5.2.1 ,BELANJA PEGAWAI ,"" 153,250,000 "","
"1.13.1.13.01.062.005.5.2.1.01 ,Honorarium PNS ,"" 124,800,000 "","
"1.13.1.13.01.062.005.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 124,150,000 "",Honorarium Panitia Pelaksana Kegiatan 124150000"
,,,
"1.13.1.13.01.062.005.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 650,000 "",Honorarium Tim Pengadaan Barang dan Jasa 650000"
,,,
"1.13.1.13.01.062.005.5.2.1.02 ,Honorarium Non PNS ,"" 28,450,000 "","
"1.13.1.13.01.062.005.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 26,200,000 "",Honorarium Panitia Pelaksana Kegiatan 26200000"
,,,
"1.13.1.13.01.062.005.5.2.1.02.03 ,Honorarium P laksana Kegiatan ,"" 2,250,000 "",Honorarium Pelaksana Kegiatan 2250000"
,,,
"1.13.1.13.01.062.005.5.2.2 ,BELANJA BARANG DAN JASA ,"" 898,832,700 "","
"1.13.1.13.01.062.005.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 2,390,000 "","
"1.13.1.13.01.062.005.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 2,390,000 "",Belanja  Alat Tulis Kantor 2390000"
,,,
"1.13.1.13.01.062.005.5.2.2.03 ,Belanja Jasa Kantor ,"" 435,584,700 "","
"1.13.1.13.01.062.005.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"" 435,584,700 "",Belanja Jasa Penyedia /Tenaga Teknis 435584700"
,,,
"1.13.1.13.01.062.005.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 92,025,000 "","
"1.13.1.13.01.062.005.5.2.2.06.01 ,Belanja Cetak ,"" 80,025,000 "",Belanja Cetak 80025000"
,,,
"1.13.1.13.01.062.005.5.2.2.06.02 ,Belanja Penggandaan ,"" 12,000,000 "",Belanja Penggandaan 12000000"
,,,
"1.13.1.13.01.062.005.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 84,758,000 "","
"1.13.1.13.01.062.005.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 84,758,000 "",Belanja Makanan Dan Minuman Rapat 84758000"
,,,
"1.13.1.13.01.062.005.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 170,075,000 "","
"1.13.1.13.01.062.005.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 170,075,000 "",Belanja Perjalanan Dinas Dalam Daerah 170075000"
,,,
"1.13.1.13.01.062.005.5.2.2.21 ,Belanja Jasa Konsultansi ,"" 49,200,000 "","
"1.13.1.13.01.062.005.5.2.2.21.01 ,Belanja Jasa Konsultansi Penelitian ,"" 49,200,000 "",Belanja Jasa Konsultansi Penelitian 49200000"
,,,
"1.13.1.13.01.062.005.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 64,800,000 "","
"1.13.1.13.01.062.005.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 64,800,000 "",Belanja Jasa Narasumber 64800000"
,,,
"1.13.1.13.01.062.006 ,Pemberdayaan Fakir Miskin ,"" 287,464,000 "","
"1.13.1.13.01.062.006.5.2.1 ,BELANJA PEGAWAI ,"" 48,590,000 "","
"1.13.1.13.01.062.006.5.2.1.01 ,Honorarium PNS ,"" 10,210,000 "","
"1.13.1.13.01.062.006.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 9,960,000 "",Honorarium Panitia Pelaksana Kegiatan 9960000"
,,,
"1.13.1.13.01.062.006.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 250,000 "",Honorarium Tim Pengadaan Barang dan Jasa 250000"
,,,
"1.13.1.13.01.062.006.5.2.1.02 ,Honorarium Non PNS ,"" 38,380,000 "","
"1.13.1.13.01.062.006.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 38,380,000 "",Honorarium Panitia Pelaksana Kegiatan 38380000"
,,,
"1.13.1.13.01.062.006.5.2.2 ,BELANJA BARANG DAN JASA ,"" 238,874,000 "","
"1.13.1.13.01.062.006.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 4,374,000 "","
"1.13.1.13.01.062.006.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 4,374,000 "",Belanja  Alat Tulis Kantor 4374000"
,,,
"1.13.1.13.01.062.006.5.2.2.02 ,Belanja Bahan/Material ,"" 2,500,000 "","
"1.13.1.13.01.062.006.5.2.2.02.09 ,Belanja Bahan Percontohan ,"" 2,500,000 "",Belanja Bahan Percontohan 2500000"
,,,Pembinaan Lanjut KUBE FM 2500000
"1.13.1.13.01.062.006.5.2.2.03 ,Belanja Jasa Kantor ,"" 151,735,000 "","
"1.13.1.13.01.062.006.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "","" 1,350,000 "",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 1350000"""
,,,
"1.13.1.13.01.062.006.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"" 150,385,000 "",Belanja Jasa Penyedia /Tenaga Teknis 150385000"
,,,
"1.13.1.13.01.062.006.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 1,563,000 "","
"1.13.1.13.01.062.006.5.2.2.06.02 ,Belanja Penggandaan ,"" 1,428,000 "",Belanja Penggandaan 1428000"
,,,
"1.13.1.13.01.062.006.5.2.2.06.03 ,Belanja Cetak Foto ,"" 135,000 "",Belanja Cetak Foto 135000"
,,,
"1.13.1.13.01.062.006.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 37,152,000 "","
"1.13.1.13.01.062.006.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 37,152,000 "",Belanja Makanan Dan Minuman Rapat 37152000"
,,,
"1.13.1.13.01.062.006.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 19,550,000 "","
"1.13.1.13.01.062.006.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 19,550,000 "",Belanja Perjalanan Dinas Dalam Daerah 19550000"
,,,
"1.13.1.13.01.062.006.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 22,000,000 "","
"1.13.1.13.01.062.006.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 22,000,000 "",Belanja Jasa Narasumber 22000000"
,,,
"1.13.1.13.01.062.007 ,Rehabilitasi Penyandang Masalah Kesejahteraan Sosial (PMKS) ,"" 409,676,800 "","
"1.13.1.13.01.062.007.5.2.1 ,BELANJA PEGAWAI ,"" 141,790,000 "","
"1.13.1.13.01.062.007.5.2.1.01 ,Honorarium PNS ,"" 52,260,000 "","
"1.13.1.13.01.062.007.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 52,010,000 "",Honorarium Panitia Pelaksana Kegiatan 52010000"
,,,
"1.13.1.13.01.062.007.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 250,000 "",Honorarium Tim Pengadaan Barang dan Jasa 250000"
,,,
"1.13.1.13.01.062.007.5.2.1.02 ,Honorarium Non PNS ,"" 89,530,000 "","
"1.13.1.13.01.062.007.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 89,530,000 "",Honorarium Panitia Pelaksana Kegiatan 89530000"
,,,
"1.13.1.13.01.062.007.5.2.2 ,BELANJA BARANG DAN JASA ,"" 267,886,800 "","
"1.13.1.13.01.062.007.5.2.2.01 ,Belanja Bahan Pakai Habis ,"" 1,955,000 "","
"1.13.1.13.01.062.007.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,"" 1,955,000 "",Belanja  Alat Tulis Kantor 1955000"
,,,
"1.13.1.13.01.062.007.5.2.2.02 ,Belanja Bahan/Material ,"" 30,050,000 "","
"1.13.1.13.01.062.007.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,"" 18,500,000 "",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 18500000"
,,,
"1.13.1.13.01.062.007.5.2.2.02.08 ,Belanja Hadiah/Trophy ,"" 1,750,000 "",Belanja Hadiah/Trophy 1750000"
,,,Lokasi Kegiatan Se Kota Yogyakarta
,,,Hadiah lomba disain papan himbauan 1750000
"1.13.1.13.01.062.007.5.2.2.02.09 ,Belanja Bahan Percontohan ,"" 9,800,000 "",Belanja Bahan Percontohan 9800000"
,,,Pembinaan Difabel Melalui Kursus Kerajinan 4500000
,,,Pembinaan Keluarga Difabel 500000
,,,Pemibinaan Keluarga Penyandang Sakit Jiwa 500000
,,,Bimbingan Klien Pemasyarakatan 1000000
,,,Pembinaan Korban KDRT 800000
,,,Pembinaan Anak Jalanan 2000000
,,,Pembinaan Keluarga Anak Jalanan 500000
"1.13.1.13.01.062.007.5.2.2.03 ,Belanja Jasa Kantor ,"" 17,892,350 "","
"1.13.1.13.01.062.007.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "","" 1,350,000 "",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 1350000"""
,,,
"1.13.1.13.01.062.007.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,"" 16,542,350 "",Belanja Jasa Penyedia /Tenaga Teknis 16542350"
,,,
"1.13.1.13.01.062.007.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,"" 6,450,450 "","
"1.13.1.13.01.062.007.5.2.2.06.01 ,Belanja Cetak ,"" 3,168,000 "",Belanja Cetak 3168000"
,,,
"1.13.1.13.01.062.007.5.2.2.06.02 ,Belanja Penggandaan ,"" 3,132,450 "",Belanja Penggandaan 3132450"
,,,
"1.13.1.13.01.062.007.5.2.2.06.03 ,Belanja Cetak Foto ,"" 150,000 "",Belanja Cetak Foto 150000"
,,,
"1.13.1.13.01.062.007.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,""1,800,000"","
"1.13.1.13.01.062.007.5.2.2.10.01 ,Belanja Sewa Meja Kursi ,"" 1,800,000 "",Belanja Sewa Meja Kursi 1800000"
,,,
"1.13.1.13.01.062.007.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 87,384,000 "","
"1.13.1.13.01.062.007.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 87,384,000 "",Belanja Makanan Dan Minuman Rapat 87384000"
,,,
"1.13.1.13.01.062.007.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 69,055,000 "","
"1.13.1.13.01.062.007.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 57,575,000 "",Belanja Perjalanan Dinas Dalam Daerah 57575000"
,,,
"1.13.1.13.01.062.007.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,"" 11,480,000 "",Belanja Perjalanan Dinas Luar Daerah 11480000"
,,,
"1.13.1.13.01.062.007.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,"" 47,400,000 "","
"1.13.1.13.01.062.007.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,"" 1,350,000 "",Belanja Jasa Tenaga Ahli 1350000"
,,,
"1.13.1.13.01.062.007.5.2.2.31.02 ,Belanja Jasa Instruktur ,"" 44,400,000 "",Belanja Jasa Instruktur 44400000"
,,,
"1.13.1.13.01.062.007.5.2.2.31.03 ,Belanja Jasa Narasumber ,"" 1,650,000 "",Belanja Jasa Narasumber 1650000"
,,,
"1.13.1.13.01.062.007.5.2.2.32 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,"" 5,900,000 "","
"1.13.1.13.01.062.007.5.2.2.32.02 ,Belanja Uang Untuk Diberikan Kepada Masyarakat ,"" 5,900,000 "",Belanja Uang Untuk Diberikan Kepada Masyarakat 5900000"
,,,Lokasi Kegiatan Se Kota Yogyakarta
,,,Lomba desain papan himbauan PMKS
,,,Juara I 2000000
,,,Juara II 1500000
,,,Juara III 1000000
,,,Harapan I 800000
,,,Harapan II 600000
"1.13.1.13.01.062.008 ,Pelayanan Penyandang Masalah Kesejahteraan Sosial (PMKS) ,"" 525,051,100 "","
"1.13.1.13.01.062.008.5.2.1 ,BELANJA PEGAWAI ,"" 56,125,000 "","
"1.13.1.13.01.062.008.5.2.1.01 ,Honorarium PNS ,"" 18,185,000 "","
"1.13.1.13.01.062.008.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 17,860,000 "",Honorarium Panitia Pelaksana Kegiatan 17860000"
",,"" 19,107,365,228 "","
"1.13.1.13.01.062.008.5.2.1.01.02 ,Honorarium Tim Pengadaan Barang dan Jasa ,"" 325,000 "",Honorarium Tim Pengadaan Barang dan Jasa 325000"
,,,
"1.13.1.13.01.062.008.5.2.1.02 ,Honorarium Non PNS ,"" 37,940,000 "","
"1.13.1.13.01.062.008.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,"" 37,940,000 "",Honorarium Panitia Pelaksana Kegiatan 37940000"
,,,
"1.13.1.13.01.062.008.5.2.2 ,BELANJA BARANG DAN JASA ,""468,926,100"","
"1.13.1.13.01.062.008.5.2.2.01 ,Belanja Bahan Pakai Habis ,""2,350,000"","
"1.13.1.13.01.062.008.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,""2,350,000"",Belanja  Alat Tulis Kantor 2350000"
,,,
"1.13.1.13.01.062.008.5.2.2.02 ,Belanja Bahan/Material ,""60,300,000"","
"1.13.1.13.01.062.008.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,""40,000,000"",Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 40000000"
,,,
"1.13.1.13.01.062.008.5.2.2.02.08 ,Belanja Hadiah/Trophy ,""20,300,000"",Belanja Hadiah/Trophy 20300000"
,,,Lokasi kegiatan se Kota Yogyakarta
,,,Hadiah Gebyar HUT Lansia 20300000
"1.13.1.13.01.062.008.5.2.2.03 ,Belanja Jasa Kantor ,""265,177,000"","
"1.13.1.13.01.062.008.5.2.2.03.13 ,""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film "",""500,000"",""Belanja Dekorasi, Dokumentasi, Publikasi, Pembuatan Film 500000"""
,,,
"1.13.1.13.01.062.008.5.2.2.03.27 ,Belanja Jasa Penyedia /Tenaga Teknis ,""264,677,000"",Belanja Jasa Penyedia /Tenaga Teknis 264677600"
,,,
"1.13.1.13.01.062.008.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,""1,056,000"","
"1.13.1.13.01.062.008.5.2.2.06.01 ,Belanja Cetak ,""1,056,000"",Belanja Cetak 1056000"
,,,
"1.13.1.13.01.062.008.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,""1,500,000"","
"1.13.1.13.01.062.008.5.2.2.07.03 ,Belanja Sewa Ruang Rapat/Pertemuan ,"" 1,500,000 "",Belanja Sewa Ruang Rapat/Pertemuan 1500000"
,,,
"1.13.1.13.01.062.008.5.2.2.08 ,Belanja Sewa Sarana Mobilitas ,"" 6,000,000 "","
"1.13.1.13.01.062.008.5.2.2.08.01 ,Belanja Sewa Sarana Mobilitas Darat ,"" 6,000,000 "",Belanja Sewa Sarana Mobilitas Darat 6000000"
,,,
"1.13.1.13.01.062.008.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,"" 8,687,500 "","
"1.13.1.13.01.062.008.5.2.2.10.01 ,Belanja Sewa Meja Kursi ,"" 587,500 "",Belanja Sewa Meja Kursi 587500"
,,,
"1.13.1.13.01.062.008.5.2.2.10.05 ,Belanja Sewa Tenda ,"" 800,000 "",Belanja Sewa Tenda 800000"
,,,
"1.13.1.13.01.062.008.5.2.2.10.06 ,Belanja Sewa Pakaian Adat/Tradisional ,"" 1,400,000 "",Belanja Sewa Pakaian Adat/Tradisional 1400000"
,,,
"1.13.1.13.01.062.008.5.2.2.10.09 ,Belanja Sewa Perlengkapan/Peralatan ,"" 5,900,000 "",Belanja Sewa Perlengkapan/Peralatan 5900000"
,,,
"1.13.1.13.01.062.008.5.2.2.11 ,Belanja Makanan Dan Minuman ,"" 36,030,000 "","
"1.13.1.13.01.062.008.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,"" 36,030,000 "",Belanja Makanan Dan Minuman Rapat 36030000"
,,,
"1.13.1.13.01.062.008.5.2.2.13 ,Belanja Pakaian Kerja ,"" 7,500,000 "","
"1.13.1.13.01.062.008.5.2.2.13.01 ,Belanja Pakaian Kerja Lapangan ,"" 7,500,000 "",Belanja Pakaian Kerja Lapangan 7500000"
,,,
"1.13.1.13.01.062.008.5.2.2.15 ,Belanja Perjalanan Dinas ,"" 58,125,000 "","
"1.13.1.13.01.062.008.5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,"" 22,875,000 "",Belanja Perjalanan Dinas Dalam Daerah 22875000"
,,,
