Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,
2.05 . 2.05.02 . 13 . 05 . 5 . 2 . 2 . 12 . 04 ,Belanja Pakaian Dinas Harian (PDH) ,19250000,,
2.05 . 2.05.02 . 20 ,Program Pengembangan Budidaya Perikanan ,2101904800,,
2.05 . 2.05.02 . 20 . 01 ,Pengembangan Bibit Ikan Unggul ,33000000,Sumber Dana :  Lokasi Kegiatan : Kabupaten Kulon Progo,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,13900000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 1 . 01 ,Honorarium PNS ,7900000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,7900000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,6000000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,6000000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,19100000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,679500,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,679500,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,13047000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 02 . 04 ,Belanja Bahan Obat-Obatan ,880000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 02 . 05 ,Belanja Bahan Kimia dan Pupuk ,1500000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 02 . 06 ,Belanja Bahan Percontohan ,9785000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 02 . 07 ,Belanja Bibit/Benih Ikan ,882000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,283500,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,283500,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,2500000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,2500000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,2590000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,1690000,,
2.05 . 2.05.02 . 20 . 01 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,900000,,
2.05 . 2.05.02 . 20 . 03 ,Pembinaan dan Pengembangan Perikanan ,301387500,Sumber Dana :  Lokasi Kegiatan : Kab. Kulon Progo,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 1 ,Belanja Pegawai ,19175000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 1 . 01 ,Honorarium PNS ,13175000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,13175000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,6000000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,6000000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,282212500,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1694650,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1694650,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,637500,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,37500,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,600000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,665000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,665000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,9625000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,3375000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 11 . 04 ,"Belanja makanan dan minuman pelatihan  sosialisasi  penyuluhan ",6250000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,6180000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,6180000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 23 ,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga ,259510350,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 23 . 01 ,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat ,259510350,"1. Ulam Banyu  Banjaran  Hargomulyo  Kokap (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "2. Sungut  Nganti  Hargotirto  Kokap (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benil lele "7 500 ekor x 250 00 = 1.875.000 00" "3. Argomino Arum  Semaken  Banjarasri  Kalibawang (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "4. Mina Taruna  Salam  Banjarharjo  Kalibawang (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "5. Mina Makmur  Sindutan B  Sindutan  Temon (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "6. Mina Makmur  Menggungan  Tawangsari  Pengasih (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "7. Josari  Josutan  Karangsari  Pengasih (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "8. Surya Mina Abadi  Seworan  Triharjo  Wates  (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "9. Mina Jaya  Tambak  Triharjo  Wates (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "10. Argomino Wates  Dipan  Wates  Wates (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "11. Mina Prospek  Serangrejo  Kulwaru  Wates (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "12. Barokah  Giling  Tuksono  Sentolo (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "13. At-Tahmid  Worawari  Sukoreno  Sentolo (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "14. Minangun Maju  Kedungtawang  Purwosari  Girimulyo (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "15. Mina Sembada  Dusun VI  Bugel  Panjatan (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "16. Margomulyo  Sungapan XIII  Tirtorahayu  Galur (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "17. Sedyo Makmur  Lendah  Jatirejo  Lendah (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "18. Guyup Maju Ngipik  Bumirejo  Lendah (Pengembangan budidaya lele)" Pakan/Pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "19. Mina Tumangkar  Gerbang  Kebonharjo  Samigaluh (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "20. Mina Mulyo  Gowok  Kebonharjo  Samigaluh (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "21. Sumber Iwak  Kijan  Demangrejo  Sentolo (Pengembangan budidaya lele)" Pakan/pellet ikan "270 kg x 11.000 00 = 2.970.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih lele "7 500 ekor x 250 00 = 1.875.000 00" "1. Makaryo Mino  Tangkisan  Hargomulyo  Kokap (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "2. Mina Mukti  Klepu  Hargowilis  Kokap (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "3. Mina Sejahtera  Kemesu  Banjararum  Kalibawang (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "4. Mina Lestari  Degan  Banjarasri  Kalibawang (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "5. Mina Sejahtera  Kalidengen II  Kalidengen  Temon (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "6. Sari Makmur  Kaligintung kidul  Kaligintung  Temon (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "7. Baruna Jaya  Jangkang  Demen  Temon (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "8. Mina Langgeng Kamulyan  Dukuh  Karangsari  Pengasih (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "9. Karamba  Blumbang  Karangsari  Pengasih (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "10. Gurami Makmur  Dusun IV  Garongan  Panjatan (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "11. Mino Mulyo  Karang  Jatisarono  Nanggulan (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "12. Mina Sari  Tegalsari  Wijimulyo  Nanggulan (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "13. Mina Taruna  Ngroto  Pendoworejo  Girimulyo (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "14. Mina Barokah  Nglotak  Kaliagung  Sentolo (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "15. Mina Aji  Brangkal  Banyuroto  Nanggulan (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "16. Mina Sentosa  Modinan  Brosot  Galur (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "17. Mina Ngremboko  Dusun V  Kranggan  Galur (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "18. Mbangun Miturut  Gegulu  Gulurejo  Lendah (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "19. Mina Sari  Trayu  Ngargosari  Samigaluh (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" "20. Mina Rukun Tani  Gorolangu  Sidoharjo  Samigaluh (Pengembangan budidaya gurami)" Pakan/pellet ikan "180 kg x 10.500 00 = 1.890.000 00" Terpal "3 lembar x 450.000 00 = 1.350.000 00" Benih gurami "900 ekor x 3.500 00 = 3.150.000 00" Honorarium panitia penerima/pemeriksa barang dan jasa Ketua "1 OB x 350.000 00 = 350.000 00" Sekretaris "1 OB x 300.000 00 = 300.000 00" Anggota "3 OB x 250.000 00 = 750.000 00" Administrasi Kertas HVS 70 gram folio "1 rim x 45.000 00 = 45.000 00" Refill tinta komputer "1 dos x 36.500 00 = 36.500 00" Stopmap plastik "5 buah x 6.500 00 = 32.500 00" Refill tinta tinta printer "1 dos x 36.500 00 = 36.500 00" Fotocopy "222 lembar x 175 00 = 38.850 00" Jilid "4 buku x 6.500 00 = 26.000 00",
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,3900000,,
2.05 . 2.05.02 . 20 . 03 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,3900000,,
2.05 . 2.05.02 . 20 . 09 ,Pengembangan Sarana dan Prasarana Perikanan Budidaya ,1740497300,Sumber Dana :  Lokasi Kegiatan : Kab. Kulon Progo,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 1 ,Belanja Pegawai ,13050000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 1 . 01 ,Honorarium PNS ,13050000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,13050000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,1727447300,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,743000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,743000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,45000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,45000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,314550,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,314550,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,3750000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,3750000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,6235000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,1735000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,4500000,,
2.05 . 2.05.02 . 20 . 09 . 5 . 2 . 2 . 23 ,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga ,1716359750,,
