Judul,Penjabaran APBD,,,
"1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 23 . 01 ,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat ,66125500,""Ponijan (PronosutanKembang Nanggulan / mebel)""Pasah mesin""1 buah x 3.500.00000 = 3.500.00000""""Yuni Indriyati (K.Karya Sukses	 Blumbang	 Karangsari	 Pengasih / konveksi)""Mesin jahit""2 unit x 3.500.00000 = 7.000.00000""""Mei Kurnia (Klebakan	 salamrejo	 sentolo / Budidaya Jamur)""Deep frying""1 unit x 3.000.00000 = 3.000.00000""""Een Nuraeni (Kedungrong	 Purwoharjo	 Samigaluh / Makanan olahan)""Tenda""1 unit x 3.000.00000 = 3.000.00000""""Mujirah (Kedungrong	 Purwoharjo	 Samigaluh / Makanan olahan)""Frezer""1 buah x 3.000.00000 = 3.000.00000""Suparno (Jangkang Lor Sentolo / kelontong)Gondola""2 buah x 2.000.00000 = 4.000.00000""""Sumarlia (Dukuh	 Purwoharjo	 Samigaluh / Angkringan)""Tenda""1 unit x 3.000.00000 = 3.000.00000""""Yuli Samsiyah (Soronatan	 Banjararum	 Kalibawang / Angkringan mie rebus)""Tenda""1 unit x 3.000.00000 = 3.000.00000""Subandi (Sidowayah  Sukoreno Sentolo / Makanan olahan)Oven gas""1 set x 3.000.00000 = 3.000.00000""""Nurudin Tri Zuono (Sentolo Lor	 Sentolo / Bengkel)""Inverter""1 unit x 3.000.00000 = 3.000.00000""Rifki Ali Hamidi  ( K. Busana Mandiri Siwalan Sentolo / konveksi)Mesin jahit""2 unit x 3.500.00000 = 7.000.00000""""Utami  (Salon Syifa Kenteng	 Kembang	 Nanggulan / salon)""Etalase""1 buah x 2.000.00000 = 2.000.00000""Steamer""1 buah x 2.000.00000 = 2.000.00000""""Kasilah  ( K. Sederhana Sigran	 Tirtorahayu	 Galur / Konveksi)""Mesin jahit""2 buah x 3.500.00000 = 7.000.00000""""M. Arifin  ( K. D'Barokah Balak	 Pendoworejo	 Girimulyo / makanan olahan)""Pop Corn marker""1 unit x 5.000.00000 = 5.000.00000""""Kemiran  ( K. Mekar Tani Tegiri	 Hargowilis	 Kokap / Tahu)""Penggilingan kedelai""1 unit x 7.000.00000 = 7.000.00000""Honorarium Tim pengadaan barang dan jasa	Pejabat pengadaan""1 org/bln x 250.00000 = 250.00000""Pejabat penerima.pemeriksaan barang""1 org/bln x 250.00000 = 250.00000""BelanjaATKStopmapkertas""15 buah x 80000 = 12.00000""Snelhekter plastik""5 buah x 6.95000 = 34.75000""Kertas HVS 70 gr folio""1 rim x 45.00000 = 45.00000""Lem kertas glukol""2 botol x 3.75000 = 7.50000""Belanja penggadaanfoto copy""150 lembar x 17500 = 26.25000"","
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,8400000,,
1.15 . 1.15.01 . 16 . 14 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,8400000,,
1.15 . 1.15.01 . 16 . 15 ,Pemantauan pengelolaan penggunaan dana Pemerintah bagi KUMKM ,9999875,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 1 ,Belanja Pegawai ,4740000,,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 1 . 01 ,Honorarium PNS ,4740000,,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,4740000,,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,5259875,,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,818300,,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,818300,,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,771575,,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,771575,,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1500000,,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1500000,,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,2170000,,
1.15 . 1.15.01 . 16 . 15 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,2170000,,
1.15 . 1.15.01 . 16 . 16 ,Pelatihan Kewirausahaan ,18195300,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 1 ,Belanja Pegawai ,5955000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 1 . 01 ,Honorarium PNS ,1455000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,1455000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,4500000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,4500000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,12240300,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,770300,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,770300,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,125000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,125000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,705000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,180000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,525000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,1250000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 07 . 02 ,Belanja Sewa Gedung/Kantor/Tempat ,1250000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,5300000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,500000,,
"1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 11 . 04 ,""Belanja makanan dan minuman pelatihan sosialisasi penyuluhan "",4800000,,"
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,1390000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,1200000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,190000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,2700000,,
1.15 . 1.15.01 . 16 . 16 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,2700000,,
1.15 . 1.15.01 . 18 ,Program Peningkatan Kualitas Kelembagaan Koperasi ,138100600,,
1.15 . 1.15.01 . 18 . 10 ,Revitalisasi/pendataan KUMKM ,12905100,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 1 ,Belanja Pegawai ,3765000,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 1 . 01 ,Honorarium PNS ,3765000,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,3765000,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,9140100,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,674200,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,674200,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,760900,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,760900,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1125000,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1125000,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,6580000,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,5680000,,
1.15 . 1.15.01 . 18 . 10 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,900000,,
1.15 . 1.15.01 . 18 . 12 ,Penilaian Kesehatan KSP/USP ,29225000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 1 ,Belanja Pegawai ,9320000,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 1 . 01 ,Honorarium PNS ,9320000,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,9320000,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,19905000,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,1975500,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,1975500,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,2807500,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,1320000,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1487500,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1652000,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1652000,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,13470000,,
1.15 . 1.15.01 . 18 . 12 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,13470000,,
1.15 . 1.15.01 . 18 . 16 ,Peningkatan Pemasyarakatan Perkoperasian ,39642400,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 1 ,Belanja Pegawai ,7980000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 1 . 01 ,Honorarium PNS ,4215000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,4215000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,3765000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,3600000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 1 . 02 . 04 ,Honorarium Tim ,165000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,31662400,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,2506400,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,2506400,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,775000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 03 . 13 ,Belanja Dokumentasi ,150000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,375000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 03 . 15 ,Belanja Publikasi ,250000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,2296000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,2296000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,1500000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 07 . 02 ,Belanja Sewa Gedung/Kantor/Tempat ,1500000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,1500000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 10 . 07 ,Belanja Sewa Sound System ,1200000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 10 . 09 ,Belanja Sewa Perlengkapan dan Peralatan Kantor Lain ,300000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,11250000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,2000000,,
"1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 11 . 04 ,""Belanja makanan dan minuman pelatihan sosialisasi penyuluhan "",9250000,,"
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,1360000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,720000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,640000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,5975000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,5975000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 28 ,Belanja Hadiah atas Prestasi dan Penghargaan ,4500000,,
1.15 . 1.15.01 . 18 . 16 . 5 . 2 . 2 . 28 . 01 ,Belanja Hadiah Atas Prestasi ,4500000,,
1.15 . 1.15.01 . 18 . 18 ,Pelayanan Legalitas dan Kualitas Kelembagaan Koperasi ,28174100,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 1 ,Belanja Pegawai ,11240000,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 1 . 01 ,Honorarium PNS ,11240000,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,11240000,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,16934100,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,629100,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,629100,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,700000,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,700000,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,5350000,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,5350000,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,10255000,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,6795000,,
1.15 . 1.15.01 . 18 . 18 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,3460000,,
"1.15 . 1.15.01 . 18 . 19 ,""Pelatihan Organisasi Manajemen Usaha dan Keuangan Koperasi "",28154000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,"
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 1 ,Belanja Pegawai ,8955000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 1 . 01 ,Honorarium PNS ,1455000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,1455000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,7500000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,7500000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,19199000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,959900,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,959900,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,719100,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,360000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,359100,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,2500000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 07 . 02 ,Belanja Sewa Gedung/Kantor/Tempat ,2500000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,9960000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,360000,,
"1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 11 . 04 ,""Belanja makanan dan minuman pelatihan sosialisasi penyuluhan "",9600000,,"
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,560000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,560000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,4500000,,
1.15 . 1.15.01 . 18 . 19 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,4500000,,
,SURPLUS / (DEFISIT) ,-2276440229,,
