Judul,Penjabaran Anggaran Pendapatan Belanja Daerah
Daerah,Kabupaten Bantul
Tahun,2015
Kode Organisasi,1.19
Kolom,4


No. Rekening,Uraian,Jumlah,Keterangan
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 29 . 02 ,Belanja Modal Peralatan dan Mesin - Pengadaan Personal Komputer ,1600000000.00,Belanja Modal Pengadaan Notebook/Laptop
,,,Belanja Modal Pengadaan Laptop
,,,"2 Unit x 8.000.000,00 = 16.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 29 . 05 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Personal Komputer,1000000000.00,Belanja Modal Pengadaan Peralatan Komputer
,,,HDD Eksternal
,,,"1 Ls x 5.000.000,00 = 5.000.000,00"
,,,HDD Internal
,,,"1 Ls x 5.000.000,00 = 5.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 31 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Studio ,1500000000.00
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 31 . 02 ,Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Video dan Film,1500000000.00,Belanja Modal Pengadaan Kamera
,,,"1 unit x 15.000.000,00 = 15.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 32 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi ,500000000.00
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 32 . 06 ,Belanja Modal Peralatan dan Mesin - Pengadaan Alat Komunikasi Sosial ,500000000.00,Belanja Modal Pengadaan Sound System
,,,"1 set x 5.000.000,00 = 5.000.000,00"
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 48 ,Belanja Modal Peralatan dan Mesin -Pengadaan Alat Keamanan dan Perlindungan,850000000.00
1.19 . 1.19.03 . 02 . 34 . 5 . 2 . 3 . 48 . 01 ,Belanja Modal Peralatan dan Mesin -Pengadaan Alat Bantu Kemanan ,850000000.00,Belanja Modal Pengadaan Alat Bantu Keamanan
,,,Belanja Modal Pengadaan Anhang
,,,"1 Unit x 8.500.000,00 = 8.500.000,00"
1.19 . 1.19.03 . 03 ,Program peningkatan disiplin aparatur ,9607500000.00
1.19 . 1.19.03 . 03 . 03 ,Pengadaan pakaian kerja lapangan ,9607500000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Uniform petugas terpenuhi
,,,Target:  1 Tahun
1.19 . 1.19.03 . 03 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,9607500000.00
1.19 . 1.19.03 . 03 . 03 . 5 . 2 . 2 . 13 ,Belanja Pakaian Kerja ,9607500000.00
1.19 . 1.19.03 . 03 . 03 . 5 . 2 . 2 . 13 . 01 ,Belanja Pakaian Kerja Lapangan ,9607500000.00
,,,Belanja Pakaian Kerja Lapangan
,,,Belanja pakaian kerja lapangan SAR
,,,"79 Bh x 360.000,00 = 28.440.000,00"
,,,Belanja pakaian kerja lapangan TRC
,,,"22 Bh x 360.000,00 = 7.920.000,00"
,,,Belanja pakaian kerja lapangan PBK
,,,"27 Bh x 385.000,00 = 10.395.000,00"
,,,Belanja pakaian kerja lapangan Pusdalops
,,,"12 Bh x 360.000,00 = 4.320.000,00"
,,,Belanja Pakaian Khusus
,,,Belanja Pakaian Khusus Tahan Panas
,,,"3 set x 15.000.000,00 = 45.000.000,00"
1.19 . 1.19.03 . 05 ,Program Peningkatan Kapasitas Sumber Daya Aparatur ,4212000000.00
1.19 . 1.19.03 . 05 . 01 ,Pendidikan dan pelatihan formal ,4212000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Pelatihan berbasis perempuan
,,,Target:  150 Peserta
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,87000000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 1 . 01 ,Honorarium PNS ,87000000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,87000000.00,Honorarium Panitia Pelaksana Kegiatan
,,,Ketua
,,,"1 ok x 90.000,00 = 90.000,00"
,,,Sekretaris
,,,"1 ok x 80.000,00 = 80.000,00"
,,,Anggota
,,,"10 ok x 70.000,00 = 700.000,00"
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,4125000000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,200000000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,200000000.00,Belanja Alat Tulis Kantor
,,,Belanja ATK
,,,"1 Ls x 500.000,00 = 500.000,00"
,,,Belanja Pelatihan Kits
,,,"100 O/p x 15.000,00 = 1.500.000,00"
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,400000000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 02 . 18 ,Belanja Bahan Percontohan ,400000000.00,Belanja Bahan Percontohan / Bahan Praktek
,,,"1 Ls x 4.000.000,00 = 4.000.000,00"
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,15000000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,15000000.00,Belanja Dekorasi
,,,"1 Keg x 150.000,00 = 150.000,00"
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,112500000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,112500000.00,Belanja Penggandaan
,,,"7,500 Lbr x 150,00 = 1.125.000,00"
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,200000000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,200000000.00,Belanja Sewa Ruang Rapat/Pertemuan
,,,"2 Ok x 1.000.000,00 = 2.000.000,00"
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,100000000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 10 . 01 ,Belanja Sewa Meja Kursi ,100000000.00,Belanja Sewa Meja Kursi
,,,"2 Keg x 500.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,1067500000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,142500000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja Makan, Snack dan Minum Rapat"
,,,"50 Ok x 28.500,00 = 1.425.000,00"
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,925000000.00,Belanja Makanan dan Minuman Pelaksanaan Kegiatan
,,,Belanja Snack dan Minum 125 x 2 x 2 hari
,,,"500 Ok x 8.500,00 = 4.250.000,00"
,,,Belanja Makan dan Minum 125 x 2 hari
,,,"250 Ok x 20.000,00 = 5.000.000,00"
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 13 ,Belanja Pakaian Kerja ,750000000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 13 . 01 ,Belanja Pakaian Kerja Lapangan ,750000000.00,Belanja Pakaian Kera Lapangan
,,,Belanja pengadaan kaos
,,,"125 Bh x 60.000,00 = 7.500.000,00"
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 35 ,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",1280000000.00
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,680000000.00,Honorarium Nara Smber/ Moderator/ Tenaga Ahli
,,,Honorarium Nara Sumber 4 org @ 2 jpl
,,,"4 O/2jpl x 500.000,00 = 2.000.000,00"
,,,Honorarium Tenaga Ahli (Pelatih) 2 org @ 4 jpl x 2 hari
,,,"4 Oh x 1.000.000,00 = 4.000.000,00"
,,,Honorarium Moderator 2 org @ 2 jpl x 2 hari
,,,"4 Oh x 200.000,00 = 800.000,00"
1.19 . 1.19.03 . 05 . 01 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,600000000.00,Honorarium Peserta Pelatihan
,,,Honorarium Peserta Pelatihan 100 org x  2 hari
,,,"200 Oh x 30.000,00 = 6.000.000,00"

1.06 . 1.19.03 . 21 ,Program perencanaan pembangunan daerah ,1000000000.00
1.06 . 1.19.03 . 21 . 32 ,Penyusunan Rencana Strategis (Renstra) SKPD ,500000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Tersusunnya Dokumen Rencana Strategis SKPD
,,,Target:  1 Tahun
1.06 . 1.19.03 . 21 . 32 . 5 . 2 . 1 ,Belanja Pegawai ,232000000.00
1.06 . 1.19.03 . 21 . 32 . 5 . 2 . 1 . 01 ,Honorarium PNS ,232000000.00
1.06 . 1.19.03 . 21 . 32 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,232000000.00,Honorarium Panitia Pelaksana Kegiatan
,,,Pembina 1 org
,,,"2 ob x 200.000,00 = 400.000,00"
,,,Pengarah 1 org
,,,"2 ob x 180.000,00 = 360.000,00"
,,,Ketua 1 org
,,,"2 ob x 170.000,00 = 340.000,00"
,,,Sekretaris 1 org
,,,"2 ob x 160.000,00 = 320.000,00"
,,,Anggota 3 org
,,,"6 ob x 150.000,00 = 900.000,00"
1.06 . 1.19.03 . 21 . 32 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,268000000.00
1.06 . 1.19.03 . 21 . 32 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,23100000.00
1.06 . 1.19.03 . 21 . 32 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,23100000.00,Belanja Alat Tulis Kantor
,,,"1 Ls x 231.000,00 = 231.000,00"
1.06 . 1.19.03 . 21 . 32 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,105000000.00
1.06 . 1.19.03 . 21 . 32 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,105000000.00,Belanja Penggandaan
,,,"7,000 Lbr x 150,00 = 1.050.000,00"
1.06 . 1.19.03 . 21 . 32 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,139900000.00
1.06 . 1.19.03 . 21 . 32 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,39900000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja makan, snack dan minum rapat"
,,,"14 ok x 28.500,00 = 399.000,00"
1.06 . 1.19.03 . 21 . 32 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman Lembur ,100000000.00,Belanja Makanan dan Minuman Lembur
,,,Belanja Makan dan Minum Lembur
,,,"50 Ok x 20.000,00 = 1.000.000,00"
1.06 . 1.19.03 . 21 . 33 ,Penyusunan Rencana Kerja (Renja) SKPD ,500000000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Tersusunnya Dokumen Rencana Kerja 
,,,SKPD
,,,Target:  1 Tahun
1.06 . 1.19.03 . 21 . 33 . 5 . 2 . 1 ,Belanja Pegawai ,232000000.00
1.06 . 1.19.03 . 21 . 33 . 5 . 2 . 1 . 01 ,Honorarium PNS ,232000000.00
1.06 . 1.19.03 . 21 . 33 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,232000000.00,Honorarium Panitia Pelaksana Kegiatan
,,,Sekretaris 1 org
,,,"2 ob x 160.000,00 = 320.000,00"
,,,Anggota 3 org
,,,"6 ob x 150.000,00 = 900.000,00"
,,,Pengarah 1 org
,,,"2 ob x 180.000,00 = 360.000,00"
,,,Pembina 1 org
,,,"2 ob x 200.000,00 = 400.000,00"
,,,Ketua 1 org
,,,"2 ob x 170.000,00 = 340.000,00"
1.06 . 1.19.03 . 21 . 33 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,268000000.00
1.06 . 1.19.03 . 21 . 33 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,23100000.00
1.06 . 1.19.03 . 21 . 33 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,23100000.00,Belanja Alat Tulis Kantor
,,,"1 Ls x 231.000,00 = 231.000,00"
1.06 . 1.19.03 . 21 . 33 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,105000000.00
1.06 . 1.19.03 . 21 . 33 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,105000000.00,Belanja Penggandaan
,,,"7,000 Lbr x 150,00 = 1.050.000,00"
1.06 . 1.19.03 . 21 . 33 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,139900000.00
1.06 . 1.19.03 . 21 . 33 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,39900000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja Makan, Snack dan Minm Rapat"
,,,"14 Ok x 28.500,00 = 399.000,00"
1.06 . 1.19.03 . 21 . 33 . 5 . 2 . 2 . 11 . 04 ,Belanja makanan dan minuman Lembur ,100000000.00,Belanja Makanan dan Minuman Lembur
,,,Belanja Makan dan Minum Lembur
,,,"50 Ok x 20.000,00 = 1.000.000,00"
1.19 . 1.19.03 . 22 ,Program pencegahan dini dan penanggulangan korban bencana alam ,114077850000.00
1.19 . 1.19.03 . 22 . 01 ,Pemantauan dan penyebarluasan informasi potensi bencana alam ,10368750000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Pemantauan dan penyebarluasan 
,,,informasi bencana
,,,Target:  1 Tahun
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,10368750000.00
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,35000000.00
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,35000000.00,Belanja Alat Tulis Kantor
,,,"1 Ls x 350.000,00 = 350.000,00"
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,2600000000.00
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 03 . 15 ,Belanja Publikasi ,2600000000.00,Belanja Publikasi
,,,Publikasi Bantul Radio
,,,"1 Ls x 6.000.000,00 = 6.000.000,00"
,,,Bantul Expo
,,,"Sewa Stand, Dokumentasi,Dekorasi, Sewa Peralatan, Makan Minum Petugas Piket, dll"
,,,"1 Ls x 10.000.000,00 = 10.000.000,00"
,,,Karnaval
,,,"Dokumentasi,Dekorasi,Sewa Peralatan, Makan Minum Operasional, dll"
,,,"1 Ls x 5.000.000,00 = 5.000.000,00"
,,,"Spanduk, leaflet, dll"
,,,"1 Ls x 5.000.000,00 = 5.000.000,00"
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,275000000.00
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,200000000.00,Belanja Cetak Kegiatan Pengadaan Tenaga Kontrak
,,,"Belanja cetak LJK, Co card, dll"
,,,"1 Ls x 2.000.000,00 = 2.000.000,00"
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,75000000.00,Belanja Penggandaan/Foto copy Kegiatan Pengadaan Tenaga Kontrak
,,,"5,000 Lbr x 150,00 = 750.000,00"
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,4169750000.00
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,213750000.00,Belanja Makanan dan Minuman Rapat Kegiatan Pengadaan Tenaga kontrak
,,,"Belanja Makan, Snack dan Minum pelaksanaan Kegiatan"
,,,"75 Ok x 28.500,00 = 2.137.500,00"
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,3956000000.00,Belanja Makanan dan Minuman Pelaksanaan Kegiatan
,,,Belanja Makan dan Minum Evakuasi
,,,"1,000 Ok x 20.000,00 = 20.000.000,00"
,,,"Belanja Makan dan Minum Operasional (PAM, Kerja Bakti, dll)"
,,,"750 Ok x 20.000,00 = 15.000.000,00"
,,,"Belanja Makan, Snack dan Minum Kegiatan Pengadaan Tenaga Kontrak"
,,,"160 Ok x 28.500,00 = 4.560.000,00"
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 35 ,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",3289000000.00
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,289000000.00,Honorarium Narasumber/Tenaga Ahli Pengadaan Tenaga Kontrak
,,,Assesor
,,,"3 Ok x 150.000,00 = 450.000,00"
,,,Pewawancara
,,,"4 Ok x 200.000,00 = 800.000,00"
,,,Petugas Pengesahan Kartu Ujian 4 org x 1 hari
,,,"4 oh x 80.000,00 = 320.000,00"
,,,Petugas Pengawas Ujian 5 org x 1 hari
,,,"5 oh x 80.000,00 = 400.000,00"
,,,Petugas Penyusun Naskah Ujian 3 org x 2 materi
,,,"6 ok x 100.000,00 = 600.000,00"
,,,Petugas LJK Hasil Ujian 4 org x 1 hari
,,,"4 oh x 80.000,00 = 320.000,00"
1.19 . 1.19.03 . 22 . 01 . 5 . 2 . 2 . 35 . 09 ,Jasa Petugas Lapangan ,3000000000.00,Honorarium Petugas Lapangan TRC
,,,Honor petugas TRC 10 0rg x 12 bln
,,,"120 Ob x 250.000,00 = 30.000.000,00"
1.19 . 1.19.03 . 22 . 05 ,Peningkatan ketrampilan dan kualitas penanggulangan bencana alam ,14821750000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Ketrampilan dan kualitas penanggulangan bencana lebih meningkat
,,,Target:  1 Keg
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 1 ,Belanja Pegawai ,52000000.00
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 1 . 01 ,Honorarium PNS ,52000000.00
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,52000000.00,Honorarium Panitia Pelaksana Kegiatan
,,,Ketua
,,,"1 Ok x 90.000,00 = 90.000,00"
,,,Sekretaris
,,,"1 Ok x 80.000,00 = 80.000,00"
,,,Anggota
,,,"5 Ok x 70.000,00 = 350.000,00"
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,14769750000.00
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,855000000.00
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,855000000.00,Belanja Alat Tulis Kantor
,,,"1 Ls x 300.000,00 = 300.000,00"
,,,Belanja Seminar kit 50 peserta x 11 desa
,,,"550 o/p x 15.000,00 = 8.250.000,00"
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 03 ,Belanja Jasa Kantor ,165000000.00
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 03 . 14 ,Belanja Dekorasi ,165000000.00,Belanja Dekorasi
,,,Belanja Dekorasi 11 desa
,,,"11 Ls x 150.000,00 = 1.650.000,00"
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,550000000.00
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 07 . 03 ,Belanja Sewa Ruang Rapat/Pertemuan ,550000000.00,Belanja sewa ruang rapat/pertemuan
,,,Belanja sewa ruang rapat/ pertemuan 11 pertemuan
,,,"11 Ok x 500.000,00 = 5.500.000,00"
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,2944750000.00
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,57000000.00,Belanja Makanan dan Minuman Rapat
,,,"Belanja Makan, Snack dan Minum Rapat"
,,,"20 Ok x 28.500,00 = 570.000,00"
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,2887750000.00,Belanja Makanan dan Minuman Pelaksanaan Kegiatan
,,,Belanja Snack dan Minum Pelaksanaan Kegiatan Binjas
,,,"1,000 Ok x 8.500,00 = 8.500.000,00"
,,,"Belanja Makan, Snack dan Minum Pelaksanaan Kegiatan "
,,,Peningkatan Ketrampilan dan Kualitas PB 65 org x 11 desa
,,,"715 Ok x 28.500,00 = 20.377.500,00"
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 13 ,Belanja Pakaian Kerja ,4290000000.00
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 13 . 01 ,Belanja Pakaian Kerja Lapangan ,4290000000.00,Belanja Pakaian Kerja Lapangan (kaos)
,,,Belanja pakaian kaos 65 org x 11 desa
,,,"715 buah x 60.000,00 = 42.900.000,00"
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 35 ,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",5965000000.00
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 35 . 01 ,Jasa Nara Sumber/Moderator/Tenaga Ahli ,4150000000.00,Honorarium Nara Sumber/Moderator/Tenaga Ahli
,,,Honorarium Instruktur Binjas
,,,"12 Bln x 250.000,00 = 3.000.000,00"
,,,Honorarium Narasumber Tingkat Lokal 2 org x 11 desa
,,,"22 ok x 1.500.000,00 = 33.000.000,00"
,,,Honorarium Narasumber Lainnya 1 org x 11 desa
,,,"11 ok x 500.000,00 = 5.500.000,00"
1.19 . 1.19.03 . 22 . 05 . 5 . 2 . 2 . 35 . 05 ,Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,1815000000.00,Honorarium peserta pelatihan
,,,Honorarium peserta pelatihan 50 org x 11 desa
,,,"605 ok x 30.000,00 = 18.150.000,00"
1.19 . 1.19.03 . 22 . 13 ,Fasilitasi pemantauan dan penyaluran bantuan bencana alam ,31972500000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Penyaluran Bantuan Terfasilitasi
,,,Target:  100 %
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 1 ,Belanja Pegawai ,147500000.00
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 1 . 01 ,Honorarium PNS ,147500000.00
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 1 . 01 . 02 ,Honorarium Tim Pengadaan Barang Dan Jasa ,147500000.00,Honorarium Tim Pengadaan Barang dan Jasa Pengadaan 
,,,Bahan Bangunan
,,,Pejabat Pembuat Komitmen
,,,"1 o/p x 350.000,00 = 350.000,00"
,,,Pejabat Pengadaan Barang dan Jasa
,,,"1 o/p x 300.000,00 = 300.000,00"
,,,Pejabat Penerima Hasil Pekerjaan
,,,"1 o/p x 225.000,00 = 225.000,00"
,,,Honorarium Tim Pengadaan Barang dan Jasa Pengadaan 
,,,Bahan Makanan
,,,Pejabat Pembuat Komitmen
,,,"1 o/p x 250.000,00 = 250.000,00"
,,,Pejabat Pengadaan
,,,"1 o/p x 200.000,00 = 200.000,00"
,,,Pejabat Penerima Hasil Pekerjaan
,,,"1 o/p x 150.000,00 = 150.000,00"
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,31825000000.00
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,50000000.00
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,50000000.00,Belanja Alat Tulis Kantor
,,,"1 Ls x 500.000,00 = 500.000,00"
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,29700000000.00
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 2 . 02 . 01 ,Belanja Bahan Baku Bangunan ,21000000000.00,Belanja Bahan Baku Bangunan
,,,"Pasir, Semen, Kayu, Batu bata, Seng, dll"
,,,"10 Paket x 5.000.000,00 = 50.000.000,00"
,,,Bronjong
,,,"1 Ls x 160.000.000,00 = 160.000.000,00"
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 2 . 02 . 08 ,Belanja Bahan Makanan ,3700000000.00,Belanja Bahan Makanan
,,,"Beras, Mie Instan, Gula pasir, Telur, Minyak Goreng, Kecap, Sarden, dll"

,,,"200 Paket x 185.000,00 = 37.000.000,00"
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 2 . 02 . 14 ,Belanja Air Bersih ,5000000000.00,Belanja Air Bersih
,,,Belanja Bantuan Air Bersih
,,,"1 Ls x 50.000.000,00 = 50.000.000,00"
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,75000000.00
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,75000000.00,Belanja Penggandaan
,,,"5,000 Lbr x 150,00 = 750.000,00"
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,2000000000.00
1.19 . 1.19.03 . 22 . 13 . 5 . 2 . 2 . 11 . 05 ,Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,2000000000.00,Belanja Makanan dan Minuman Pelaksanaan Kegiatan
,,,"Belanja Makan dan Minum operasional (Pendistribusian bantuan, Pengambilan  logistik, Droping air, dll)"
,,,"1,000 Ok x 20.000,00 = 20.000.000,00"
1.19 . 1.19.03 . 22 . 15 ,Pengembangan desa siaga bencana ,4648500000.00,Sumber Dana : 
,,,Lokasi Kegiatan : Kabupaten Bantul
,,,Keluaran :  Desa Wukirsari dan Jatimulyo
,,,Target:  1 Keg
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,4648500000.00
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,275000000.00
1.19 . 1.19.03 . 22 . 15 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,275000000.00,Belanja Alat Tulis Kantor
,,,Belanja ATK
,,,"1 Ls x 500.000,00 = 500.000,00"
,,,Belanja Seminar Kits
,,,"150 O/p x 15.000,00 = 2.250.000,00"
