Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 07  , Belanja Sewa Rumah/Gedung/Gudang/Parkir  ,0,,
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 07 . 02  , Belanja Sewa Gedung/Kantor/Tempat  ,0," Belanja Sewa gedung0 hari x 0,00 = 0,00",
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,14055000,,
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,375000,"  Belanja Makan Minum Rapat
 Blj Makan Minum Rakor25 ok x 15.000,00 = 375.000,00",
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,13680000," Belanja Makan minum kegiatan
Belanja snack minum 3 x pelatihan480 oh x 8.500,00 = 4.080.000,00
Belanja Makan, 3x pelatihan480 oh x 20.000,00 = 9.600.000,00",
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",10000000,,
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 35 . 01  , Jasa Nara Sumber/Moderator/Tenaga Ahli  ,5500000," Honor Tenaga Ahli / Instruktur / Nara Sumber
Honor Narasumber Pelatihan16 jpl x 250.000,00 = 4.000.000,00
Honor Moderator6 jpl x 250.000,00 = 1.500.000,00",
1.22 . 1.22.01 . 15 . 02 . 5 . 2 . 2 . 35 . 05  , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi  ,4500000," Honor pesertaTransport Peserta Pelatihan150 oh x 30.000,00 = 4.500.000,00",
1.22 . 1.22.01 . 15 . 03  , Penyelenggaraan Diseminasi Informasi bagi Masyarakat Desa  ,86975000," Sumber Dana : 
Lokasi Kegiatan : kab. Bantul",
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 1  , Belanja Pegawai  ,72665000,,
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 1 . 01  , Honorarium PNS  ,72665000,,
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,72665000," Honor Pelaksana kegiatan
Honor Tim Desimilasi Informasi bagi Masyarakat1 BJJ x 64.165.000,00 = 64.165.000,00
Honor Asistensi Desimilasi Informasi bagi Masyarakat1 bjj x 8.500.000,00 = 8.500.000,00",
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,14310000,,
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,740000,,
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,740000," Belanja Alat Tulis Penunjang Kegiatan
Belanja Alat tulis Penunjang kegiatan1 ls x 740.000,00 = 740.000,00",
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,500000,,
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 03 . 14  , Belanja Dekorasi  ,500000," Belanja Spanduk/Dekorasi2 paket x 250.000,00 = 500.000,00",
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,750000,,
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,750000," Belanja Penggandaan Kegiatan5,000 lbr x 150,00 = 750.000,00",
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,5820000,,
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,2400000," Belanja Makan Minum Rakor160 org x 15.000,00 = 2.400.000,00",
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,3420000," Belanja Makanan dan Minuman
Belanja Makan Sneck Minum Evaluasi190 org x 18.000,00 = 3.420.000,00",
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",6500000,,
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 35 . 01  , Jasa Nara Sumber/Moderator/Tenaga Ahli  ,1500000," Honorarium Tenaga Ahli/Instruktur /Nara Sumber
Honor Narasumber Evaluasi Profil Desa4 jpl x 250.000,00 = 1.000.000,00
Honor Moderator Evaluasi Profil Desa2 ok x 250.000,00 = 500.000,00",
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 35 . 05  , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi  ,3800000," Honorarium Peserta Evaluasi Profil Desa
Honor Harian Peserta Profil Desa190 ok x 20.000,00 = 3.800.000,00",
1.22 . 1.22.01 . 15 . 03 . 5 . 2 . 2 . 35 . 06  , Jasa Tenaga Harian Lepas  ,1200000," Honor Tenaga Harian Lepas
Honor Bersih bersih Evaluasi Profel Desa6 ok x 200.000,00 = 1.200.000,00",
1.22 . 1.22.01 . 15 . 04  , Penyiapan masyarakat pengelola air bersih (PAB) Pedesaan  ,40300000," Sumber Dana :
Lokasi Kegiatan : kab. Bantul",
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 1  , Belanja Pegawai  ,7850000,,
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 1 . 01  , Honorarium PNS  ,7850000,,
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,7850000," Honorarium Pelaksana Kegiatan
Honorarium Tim Koordinasi PAB1 BJJ x 6.500.000,00 = 6.500.000,00
Honorarium Bintek Manajemen SPAM18 org x 75.000,00 = 1.350.000,00",
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,32450000,,
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,1200000,,
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,1200000," Belanja Alat Tulis Kantor Penunjang kegiatan1 tahun x 1.200.000,00 = 1.200.000,00",
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,12750000,,
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,12000000," Belanja cetak
Belanja cetak Modul Bimtek Manajemen SPAMDes1 LS x 12.000.000,00 = 12.000.000,00",
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,750000," Belanja penggandaan
Fotocopy Penunjang kegiatan5,000 lbr x 150,00 = 750.000,00",
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,10850000,,
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,5300000," Belanja Makanan dan Minuman rapat
Makan Minum Rakor PAB100 ok x 15.000,00 = 1.500.000,00
Makan Minum Evaluasi Triwulanan120 otw x 15.000,00 = 1.800.000,00
Jamuan Monitoring ke Lokasi100 ok x 20.000,00 = 2.000.000,00",
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,5550000," Belanja makan minum kegiatan
Jamuan Pembentukan GAPOKPAM12 lokasi x 200.000,00 = 2.400.000,00
Jamuan Bimtek Manajemen SPAMDes180 OA x 17.500,00 = 3.150.000,00",
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",7650000,,
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2 . 35 . 01  , Jasa Nara Sumber/Moderator/Tenaga Ahli  ,3600000," Honor narasumber
Hr Narasumber Bimtek Mnjm SPAMDes24 jpl x 150.000,00 = 3.600.000,00",
1.22 . 1.22.01 . 15 . 04 . 5 . 2 . 2 . 35 . 05  , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi  ,4050000," Honor Peserta
Honor Harian Peserta Bimtek SPAMDes150 OA x 15.000,00 = 2.250.000,00
Honor Harian Peserta Rakor Triwulanan120 OA x 15.000,00 = 1.800.000,00",
1.22 . 1.22.01 . 16  , Program pengembangan lembaga ekonomi pedesaan  ,128051500,,
1.22 . 1.22.01 . 16 . 02  , Pelatihan ketrampilan manajemen badan usaha milik desa  ,78171500," Sumber Dana : Pendapatan Asli Daerah (P A D)
 Lokasi Kegiatan : kab. Bantul",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 1  , Belanja Pegawai  ,11920000,,
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 1 . 01  , Honorarium PNS  ,11920000,,
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,11920000,"  Pendapatan Asli Daerah (P A D)
Honorarium Panitia Pelaksana Kegiatan
Honor Panitia Pelatihan Pengelolaan UP2K-PKK1 bjj x 520.000,00 = 520.000,00
Honor Tim Panitian Lomba UP2K PKK1 bjj x 1.040.000,00 = 1.040.000,00
Honor Tim Penilai Lomba UP2K PKK7 org x 400.000,00 = 2.800.000,00
Honor Panitia Bintek Pengelola UED SP1 bjj x 520.000,00 = 520.000,00
Honor Panitia Pelatihan Manajemen BUM Desa1 bjj x 520.000,00 = 520.000,00
Honor Panitia Bintek Pengelola Pedagang Pasar Desa1 bjj x 520.000,00 = 520.000,00
Honor Tim pembina1 bjj x 6.000.000,00 = 6.000.000,00",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,66251500,,
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,7195000,,
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,7195000," Belanja Bahan Habis Pakai
Belanja alat tulis peserta bintek pengelola pedagang pasar desa108 set x 15.000,00 = 1.620.000,00
Belanja alat tulis peserta bintek Pengelolaan UP2K PKK75 set x 15.000,00 = 1.125.000,00
Belanja alat tulis peserta sosialisasi pengembangan hutan mangrove berbasis masyarakat0 set x 15.000,00 = 0,00
Belanja alat tulis kegiatan1 ls x 2.200.000,00 = 2.200.000,00
Belanja alat tulis peserta bintek pengelola UED SP75 set x 15.000,00 = 1.125.000,00
Belanja alat tulis peserta bintek Pelatihan Manajemen BUM Desa75 set x 15.000,00 = 1.125.000,00",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,1500000,,
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 03 . 14  , Belanja Dekorasi  ,300000," Belanja Dekorasi
Belanja dekorasi bintek UED SP, Pelatihan manajemen BUM desa, bintek pengelola pasar desa, pelatihan pengelolaan UP2K PKK3 paket x 100.000,00 = 300.000,00",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 03 . 15  , Belanja Publikasi  ,1200000," Belanja publikasi3 kali x 400.000,00 = 1.200.000,00",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,10180000,,
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,790000," Belanja Cetak
Belanja Cetak SPPD4 buku x 80.000,00 = 320.000,00
Belanja Cetak Kop PMD4 buku x 80.000,00 = 320.000,00
Belanja Cetak blangko Bend 2610 buku x 15.000,00 = 150.000,00",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,9390000," Belanja penggandaanBelanja penggandaan materi peserta bintek UED SP75 set x 15.000,00 = 1.125.000,00
Belanja penggandaan materi peserta Pelatihan Manajemen BUMdesa75 set x 15.000,00 = 1.125.000,00
Belanja penggandaan materi peserta bintek pengelola pedagang pasar desa108 set x 15.000,00 = 1.620.000,00
Belanja penggandaan materi peserta pelatihan pengelolaan UP2K PKK75 set x 15.000,00 = 1.125.000,00
Belanja fotocopy penilaian lomba UP2K PKK3,000 lbr x 150,00 = 450.000,00
Belanja foto copy kegiatan21,300 lbr x 150,00 = 3.195.000,00
Belanja penggandaan laporan pengelola bintek UED SP, Pelat manajemen BUM desa, pengelola pasar desa, pelat Pngelolaan UP2K PKK hutan mangrove0 buku x 50.000,00 = 0,00
Belanja penggandaan materi peserta sosialisasi pengembangan hutan mangrove75 set x 10.000,00 = 750.000,00",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,20886500,,
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,2000000," Belanja makan minum rapat
Belanja makan dan minum rapat koordinasi100 org x 20.000,00 = 2.000.000,00",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 11 . 05  , Belanja Makanan dan Minuman Pelaksanaan Kegiatan  ,18886500," Belanja Makanan dan minuman
Belanja snack dan minum bintek pengelola UP2K-PKK180 org x 8.500,00 = 1.530.000,00
Belanja makan dan minum bintek pengelola UP2K PKK90 org x 20.000,00 = 1.800.000,00
Belanja snack dan minum bintek Lomba lomba UP2K PKK113 org x 8.500,00 = 960.500,00
Belanja makan dan minum bintek pengelolaan BUM desa90 org x 20.000,00 = 1.800.000,00
Belanja snack dan minum bintek pengelola pedagang pasar desa246 oa x 8.500,00 = 2.091.000,00
Belanja makan dan minum bintek pengelola pedagang pasar desa123 oa x 20.000,00 = 2.460.000,00
Belanja snack dan minum bintek pengelolaan UED SP180 org x 8.500,00 = 1.530.000,00
Belanja makan dan minum bintek pengelolaan UED SP90 org x 20.000,00 = 1.800.000,00
Belanja snack dan minum bintek pengelolaan BUM desa180 org x 8.500,00 = 1.530.000,00
Belanja makan dan minum bintek Lomba lomba UP2K PKK113 org x 20.000,00 = 2.260.000,00
Belanja snack makan dan minum bintek uji petik Lomba UP2K PKK45 org x 25.000,00 = 1.125.000,00",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",18990000,,
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 35 . 01  , Jasa Nara Sumber/Moderator/Tenaga Ahli  ,8300000," Honorarium Nara sumber
Honorarium Penc.Pengelola UED-SP8 jpl x 250.000,00 = 2.000.000,00
Hr Penceramah Pelatihan Manajemen BUMDes8 jpl x 250.000,00 = 2.000.000,00
Hr Penceramah Bintek Pengelola,Pedagang Pasar Desa8 jpl x 250.000,00 = 2.000.000,00
Hr Penceramah Pelatihan Pengelolaan UP2K-PKK8 250000 x 250.000,00 = 2.000.000,00
Hr Tenaga ahli/Instruktur3 oh x 100.000,00 = 300.000,00",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 35 . 05  , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi  ,9990000," Honorarium Harian
Honor peserta Bintek Pengelola UED-SP menuju BUMDes75 oh x 30.000,00 = 2.250.000,00
Hr Peserta Pelatihan Manajemen BUMDes75 oh x 30.000,00 = 2.250.000,00
Hr Peserta Bintek Pengelola,Pedagang Pasar Desa108 oh x 30.000,00 = 3.240.000,00
Hr Peserta Pelatihan Pengelolaan UP2K-PKK75 oh x 30.000,00 = 2.250.000,00
Hr peserta Sosialisasi Pengembangan Hutan0 oh x 30.000,00 = 0,00",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 35 . 06  , Jasa Tenaga Harian Lepas  ,700000," Honor Tenaga Harian Lepas
Hr peserta Sosialisasi Pengembangan Hutan28 oh x 25.000,00 = 700.000,00",
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 37  , Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat  ,7500000,,
1.22 . 1.22.01 . 16 . 02 . 5 . 2 . 2 . 37 . 01  , Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat  ,7500000," Belanja Uang untuk diberikan kepada masyarakat
Hadiah Lomba UP2K PKK1 LS x 7.500.000,00 = 7.500.000,00",
1.22 . 1.22.01 . 16 . 04  , Pelatihan ketrampilan usaha pertanian dan peternakan  ,28800000,"Sumber Dana : 
 Lokasi Kegiatan : kab. Bantul",
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 1  , Belanja Pegawai  ,2300000,,
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 1 . 01  , Honorarium PNS  ,2300000,,
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,2300000," Honorarium Panitia Pelaksana Kegiatan
Hr.Ketua Panitia5 oa x 90.000,00 = 450.000,00
Hr Sekretaris Panitia5 oa x 90.000,00 = 450.000,00
Hr Anggota Panitia20 oa x 70.000,00 = 1.400.000,00",
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,26500000,,
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,2622500,,
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,2622500," Belanja Alat Tulis Kantor
Belanja ATK Kegiatan Kantor1 paket x 372.500,00 = 372.500,00
Belanja Alat Tulis Peserta Pelatihan150 oa x 15.000,00 = 2.250.000,00",
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 02  , Belanja Bahan/Material  ,2500000,,
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 02 . 12  , Belanja alat-alat/perlengkapan  ,2500000," Belanja alat alat perlengkapan
Belanja Bahan dan Peralatan Pelatihan5 akt x 500.000,00 = 2.500.000,00",
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,300000,,
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 03 . 14  , Belanja Dekorasi  ,300000," Belanja dekorasi
Dekorasi Pelatihan Ketrampilan3 paket x 100.000,00 = 300.000,00",
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,1650000,,
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,150000," Belanja Cetak
Belanja Cetak Pelaporan pelatihan3 buku x 50.000,00 = 150.000,00",
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,1500000," Belanja penggandaan
Belanja Penggandaan/foto copy4,000 lbr x 150,00 = 600.000,00
Belanja Fotocopy Materi Peserta150 set x 6.000,00 = 900.000,00",
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,7615000,,
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,7615000," Belanja Makanan dan Minuman
Belanja Mknan & minum rapat20 oh x 20.000,00 = 400.000,00
Belanja Snack, Mkn & minum pelatihan195 oa x 37.000,00 = 7.215.000,00",
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",11812500,,
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 35 . 01  , Jasa Nara Sumber/Moderator/Tenaga Ahli  ,8000000," Honorarium Nara sumber/tenaga ahlir. Tenag Ahli/Instruktur/Nara Sumber40 jpl x 200.000,00 = 8.000.000,00",
1.22 . 1.22.01 . 16 . 04 . 5 . 2 . 2 . 35 . 05  , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi  ,3812500," Honor Harian
Hr. Harian Peserta Pelatihan150 oa x 25.000,00 = 3.750.000,00
Hr. Harian Peserta Rapat Koordinasi Persiapan Pelatihan TTG kepada desa5 oh x 12.500,00 = 62.500,00",
1.22 . 1.22.01 . 16 . 09  , Pendayagunaan teknologi tepat guna  ,7200000,"Sumber Dana : 
 Lokasi Kegiatan : kab. Bantul",
1.22 . 1.22.01 . 16 . 09 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,7200000,,
1.22 . 1.22.01 . 16 . 09 . 5 . 2 . 2 . 07  , Belanja Sewa Rumah/Gedung/Gudang/Parkir  ,7000000,,
1.22 . 1.22.01 . 16 . 09 . 5 . 2 . 2 . 07 . 02  , Belanja Sewa Gedung/Kantor/Tempat  ,7000000," Belanja Sewa Tempat
Sewa Tempat Gelar TTG Nasional1 unit x 7.000.000,00 = 7.000.000,00",
1.22 . 1.22.01 . 16 . 09 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,200000,,
1.22 . 1.22.01 . 16 . 09 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,200000," Belanja Makanan dan Minuman
Belanja snek, Makanan & minum rapat10 oh x 20.000,00 = 200.000,00",
1.22 . 1.22.01 . 16 . 09 . 5 . 2 . 2 . 13  , Belanja Pakaian Kerja  ,0,,
1.22 . 1.22.01 . 16 . 09 . 5 . 2 . 2 . 13 . 01  , Belanja Pakaian Kerja Lapangan  ,0," Belanja pakaian kerja
Belanja seragam peserta Gelar TTG0 org x 0,00 = 0,00",
1.22 . 1.22.01 . 16 . 10  , Pengembangan SDM Posyantek  ,13880000," Sumber Dana : 
Lokasi Kegiatan : kab. Bantul",
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 1  , Belanja Pegawai  ,1320000,,
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 1 . 01  , Honorarium PNS  ,1320000,,
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,1320000," HONORARIUM PNS
Hr. Panitia Sosialisasi Posyantek1 bjj x 520.000,00 = 520.000,00
Honor Tim Pemandu Study Banding4 org x 200.000,00 = 800.000,00",
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,12560000,,
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,1480000,,
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,1480000," Belanja Bahan Habis Pakai
Belanja ATK Kegiatan Kantor1 paket x 100.000,00 = 100.000,00 
Belanja Alat Tulis Peserta Pelatihan92 pkt x 15.000,00 = 1.380.000,00",
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,200000,,
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 03 . 14  , Belanja Dekorasi  ,200000," Belanja Dekorasi2 pkt x 100.000,00 = 200.000,00",
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,1298000,,
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 06 . 01  , Belanja Cetak  ,1298000," Belanja cetak
Belanja cetak pelaporan sosialisasi3 buku x 50.000,00 = 150.000,00
Belanja Penggandaan/foto copy1,520 lbr x 150,00 = 228.000,00
Belanja Fotocopy Materi Peserta92 set x 10.000,00 = 920.000,00",
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,4722000,,
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 11 . 02  , Belanja Makanan Dan Minuman Rapat  ,4722000," Belanja Makan dan minum rapat40 oh x 20.000,00 = 800.000,00
Belanja Snack, Mkn & minum pelatihan106 org x 37.000,00 = 3.922.000,00",
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 23  , Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga  ,400000,,
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 23 . 01  , Belanja Barang Yang Akan Diserahkan Kepada Masyarakat  ,400000," Belanja Barang yang diserahkan kepada Masyarakat
Belanja cindera mata study banding1 unit x 400.000,00 = 400.000,00",
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 35  ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",4460000,,
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 35 . 01  , Jasa Nara Sumber/Moderator/Tenaga Ahli  ,1600000," Hr. Tenag Ahli/Instruktur/Nara Sumber8 jpl x 200.000,00 = 1.600.000,00",
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 35 . 05  , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi  ,2760000," HONORARIUM HARIAN
 Hr. Harian Peserta BimbinganTeknis Posyantek92 oa x 30.000,00 = 2.760.000,00",
1.22 . 1.22.01 . 16 . 10 . 5 . 2 . 2 . 35 . 06  , Jasa Tenaga Harian Lepas  ,100000," Honor Tenaga harian lepas
Honor tenaga bersih bersih1 oh x 100.000,00 = 100.000,00",
1.22 . 1.22.01 . 17  , Program peningkatan partisipasi masyarakat dalam membangun desa  ,420373000,,
1.22 . 1.22.01 . 17 . 01  , Pembinaan kelompok masyarakat pembangunan desa  ,25690000," Sumber Dana : 
 Lokasi Kegiatan : kab. Bantul",
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 1  , Belanja Pegawai  ,18000000,,
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 1 . 01  , Honorarium PNS  ,18000000,,
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 1 . 01 . 01  , Honorarium Panitia Pelaksana Kegiatan  ,18000000," Honorarium Panitia Pelaksana Kegiatan
Honor Tim Musrenbangdes1 tim x 18.000.000,00 = 18.000.000,00",
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2  , Belanja Barang dan Jasa  ,7690000,,
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2 . 01  , Belanja Bahan Pakai Habis  ,750000,,
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2 . 01 . 01  , Belanja Alat Tulis Kantor  ,750000," Belanja ATK
Belanja Alat Tulis Kantor1 thn x 750.000,00 = 750.000,00",
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2 . 03  , Belanja Jasa Kantor  ,250000,,
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2 . 03 . 14  , Belanja Dekorasi  ,250000," Belanja Dekorasi1 pkt x 250.000,00 = 250.000,00",
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2 . 06  , Belanja Cetak dan Penggandaan  ,690000,,
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2 . 06 . 02  , Belanja Penggandaan  ,690000," Belanja fotocopy kegiatan4,600 lbr x 150,00 = 690.000,00",
1.22 . 1.22.01 . 17 . 01 . 5 . 2 . 2 . 11  , Belanja Makanan dan Minuman  ,4800000,,
