Judul,Perubahan Anggaran Pendapatan dan Belanja Daerah,,,,,
1.01 . 1.01.01 . 16.81 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,23147500,23147500,0,0,
1.01 . 1.01.01 . 16.81 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,9397500,9397500,0,0,"MMR537 orang x 17.500,00 = 9.397.500,00"
1.01 . 1.01.01 . 16.81 . 5.2.2.11.04 ,Belanja Makanan dan Minuman lembur ,8750000,8750000,0,0,"MML500 orang x 17.500,00 = 8.750.000,00"
1.01 . 1.01.01 . 16.81 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,5000000,5000000,0,0,"Makan Minum Sosialisasi Bintek
Makan Minum Kegiatan Sosialisasi/Bintek200 orang x 17.500,00 = 3.500.000,00
Minum Snack Bintek Snack Minum Bintek200 orang x 7.500,00 = 1.500.000,00"
1.01 . 1.01.01 . 16.81 . 5.2.2.15 ,Belanja Perjalanan Dinas ,3840000,3840000,0,0,
1.01 . 1.01.01 . 16.81 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,3840000,3840000,0,0,"Gol. IVGol IV32 orang x 50.000,00 = 1.600.000,00
Gol. III32 orang x 40.000,00 = 1.280.000,00
Gol. II32 orang x 30.000,00 = 960.000,00"
1.01 . 1.01.01 . 16.81 . 5.2.2.30 ,Belanja Operasional Pendidikan ,4214399000,5654399000,1440000000,34.17,
1.01 . 1.01.01 . 16.81 . 5.2.2.30.04 ,Belanja Operasional Pendidikan SMP ,4214399000,5654399000,1440000000,34.17,"BOP SMP Negeri/ Swasta
30,119 siswa x 121.000,00 = 3.644.399.000,00
Operasional SSN
28 sekolah x 10.000.000,00 = 280.000.000,00
Subsidi Sekolah Penyelenggara Sekolah Inklusi
Subsidi Sekolah Penyelenggara Inklusi8 sekolah x 5.000.000,00 = 40.000.000,00
Subsidi Pra SSN
25 sekolah x 10.000.000,00 = 250.000.000,00
Operasional Sekolah Kompensasi Siswa Miskin
3,500 siswa x 400.000,00 = 1.400.000.000,00
Bantuan Operasional Kompensasi Siswa PPa-PKh
20 siswa x 2.000.000,00 = 40.000.000,00"
1.01 . 1.01.01 . 16.82 ,Penyelenggaraan UNAS/UASBN pendidikan dasar,730000000,692315500,-37684500,-5.16,"Sumber Dana :
 Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 16.82 . 5.2.1 ,Belanja Pegawai ,25150000,25150000,0,0,
1.01 . 1.01.01 . 16.82 . 5.2.1.01 ,Honorarium PNS ,22750000,22750000,0,0,
1.01 . 1.01.01 . 16.82 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,22750000,22750000,0,0,"Honorariuma Panitia Kegiatan
HR Tim Un Kabupaten1 bjj x 8.000.000,00 = 8.000.000,00
TPK Tim Pendataan1 bjj x 3.250.000,00 = 3.250.000,00
TPK Penyusun Pedoman UN1 bjj x 3.000.000,00 = 3.000.000,00
HR Tim Entry UN SMP/MTs1 ls x 4.100.000,00 = 4.100.000,00
HR Tim Entry US SD/MI1 ls x 4.400.000,00 = 4.400.000,00"
1.01 . 1.01.01 . 16.82 . 5.2.1.03 ,Uang Lembur ,2400000,2400000,0,0,
1.01 . 1.01.01 . 16.82 . 5.2.1.03.01 ,Uang Lembur PNS ,2400000,2400000,0,0,"Uang Lembur PNSUang Lembur1 ls x 2.400.000,00 = 2.400.000,00"
1.01 . 1.01.01 . 16.82 . 5.2.2 ,Belanja Barang dan Jasa ,704850000,667165500,-37684500,-5.35,
1.01 . 1.01.01 . 16.82 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,9634500,9634500,0,0,
1.01 . 1.01.01 . 16.82 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,9634500,9634500,0,0,"ATK Pelaksanaan UNATK UN1 Ls x 9.634.500,00 = 9.634.500,00"
1.01 . 1.01.01 . 16.82 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,3750000,3750000,0,0,
1.01 . 1.01.01 . 16.82 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,3750000,3750000,0,0,"Fotocopy
Fotocopy Pelaksana UN30,000 lbr x 125,00 = 3.750.000,00"
1.01 . 1.01.01 . 16.82 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,13825000,14950000,1125000,8.14,
1.01 . 1.01.01 . 16.82 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,10500000,11625000,1125000,10.71,"MMR600 Org x 17.500,00 = 10.500.000,00
MMR Evaluasi UN, US/MSnack45 org x 7.500,00 = 337.500,00
Makan45 org x 17.500,00 = 787.500,00"
1.01 . 1.01.01 . 16.82 . 5.2.2.11.04 ,Belanja Makanan dan Minuman lembur ,3325000,3325000,0,0,"MMLMakan Minum Lembur190 ol x 17.500,00 = 3.325.000,00"
1.01 . 1.01.01 . 16.82 . 5.2.2.15 ,Belanja Perjalanan Dinas ,13000000,13000000,0,0,
1.01 . 1.01.01 . 16.82 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,13000000,13000000,0,0,"Perjalanan Dinas Dalam daerah
Perjalanan Dinas1 ls x 10.000.000,00 = 10.000.000,00
Perjalanan Dinas luar Kab Dalam ProvinsiPerjalanan Dinas1 ls x 3.000.000,00 = 3.000.000,00"
1.01 . 1.01.01 . 16.82 . 5.2.2.30 ,Belanja Operasional Pendidikan ,664640500,625831000,-38809500,-5.84,
1.01 . 1.01.01 . 16.82 . 5.2.2.30.03 ,Belanja Operasional Pendidikan SD/MI ,243029000,230755000,-12274000,-5.05,"Belanja Operasional Pelaksanaan UASBN/Un bagi SekolahSubsidi bagi SD/MI12,145 siswa x 12.500,00 = 151.812.500,00
Belanja Operasional Pelaksanaan UASBN/UN bagi PokjaSubsidi bagi POKJA SD12,145 siswa x 6.500,00 = 78.942.500,00"
1.01 . 1.01.01 . 16.82 . 5.2.2.30.04 ,Belanja Operasional Pendidikan SMP ,421611500,395076000,-26535500,-6.29,"Belanja Operasional Pelaksanaan UASBN/UN bagi SekolahSubsidi bagi SMP/MTs10,824 Siswa x 30.000,00 = 324.720.000,00
Belanja Operasional Pelaksanaan UASBN/UN bagi PokjaSubsidi bagi Pokja SMP/MTs10,824 Siswa x 6.500,00 = 70.356.000,00"
1.01 . 1.01.01 . 16.83 ,"Monitoring, Evaluasi dan Pelaporan BOS ",175205000,175205000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 16.83 . 5.2.1 ,Belanja Pegawai ,68830000,68830000,0,0,
1.01 . 1.01.01 . 16.83 . 5.2.1.01 ,Honorarium PNS ,63280000,63280000,0,0,
1.01 . 1.01.01 . 16.83 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,63280000,63280000,0,0,"Honorarium Panitia KegiatanTPK Tim Manajemen Kabupaten1 bjj x 28.140.000,00 = 28.140.000,00
TPK Tim Teknis1 bjj x 31.140.000,00 = 31.140.000,00
TPK Panitia sosialisasi2 sos x 2.000.000,00 = 4.000.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.1.03 ,Uang Lembur ,5550000,5550000,0,0,
1.01 . 1.01.01 . 16.83 . 5.2.1.03.01 ,Uang Lembur PNS ,5550000,5550000,0,0,"Uang Lembur PNS
Uang Lembur1 ls x 5.550.000,00 = 5.550.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.2 ,Belanja Barang dan Jasa ,106375000,106375000,0,0,
1.01 . 1.01.01 . 16.83 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,8200000,8200000,0,0,
1.01 . 1.01.01 . 16.83 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,8200000,8200000,0,0,"Belanja ATK
Belanja ATK Kegiatan1 LS x 8.200.000,00 = 8.200.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.2.03 ,Belanja Jasa Kantor ,1600000,1600000,0,0,
1.01 . 1.01.01 . 16.83 . 5.2.2.03.13 ,Belanja Dokumentasi ,300000,300000,0,0,"dokumentasi1 ls x 300.000,00 = 300.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.2.03.14 ,Belanja Dekorasi ,300000,300000,0,0,"Dekorasi1 ls x 300.000,00 = 300.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.2.03.15 ,Belanja Publikasi ,1000000,1000000,0,0,"Belanja Publikasi
Belanja Publikasi melalui Media Elektronik2 kali x 500.000,00 = 1.000.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,6500000,6500000,0,0,
1.01 . 1.01.01 . 16.83 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,6500000,6500000,0,0,"Foto copy52,000 lbr x 125,00 = 6.500.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,27500000,27500000,0,0,
1.01 . 1.01.01 . 16.83 . 5.2.2.07.03 ,Belanja Sewa Ruang Rapat/Pertemuan ,27500000,27500000,0,0,"Sewa Ruang Rapat
Sewa Ruang Rapat/Pertemuan220 oh x 125.000,00 = 27.500.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,22825000,22825000,0,0,
1.01 . 1.01.01 . 16.83 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,5425000,5425000,0,0,"Belanja Makanan dan Minuman RapatMMR310 or x 17.500,00 = 5.425.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.2.11.04 ,Belanja Makanan dan Minuman lembur ,6125000,6125000,0,0,"Belanja Makanan dan minuman lemburMML350 ol x 17.500,00 = 6.125.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,11275000,11275000,0,0,"Makan Minum Kegiatan451 ok x 17.500,00 = 7.892.500,00
SDnack minum451 or x 7.500,00 = 3.382.500,00"
1.01 . 1.01.01 . 16.83 . 5.2.2.15 ,Belanja Perjalanan Dinas ,29750000,29750000,0,0,
1.01 . 1.01.01 . 16.83 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,23250000,23250000,0,0,"Perjalanan Dinas Dalam Daerah
Perjalan Dinas1 ls x 21.250.000,00 = 21.250.000,00
Perjalanan Dalam Daerah Luar KabPerjalanan Dinas1 ls x 2.000.000,00 = 2.000.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,6500000,6500000,0,0,"Perjalanan Dinas Luar Daerah
Biaya Perjalanan1 ls x 4.500.000,00 = 4.500.000,00
Tiket1 ls x 2.000.000,00 = 2.000.000,00"
1.01 . 1.01.01 . 16.83 . 5.2.2.34 ,Honorarium Pelaksanaan Kegiatan ,10000000,10000000,0,0,
1.01 . 1.01.01 . 16.83 . 5.2.2.34.01 ,Honorarium Nara Sumber/Moderator/Tenaga Ahli ,10000000,10000000,0,0,"HR Narasumber sosialisasi32 jpl x 200.000,00 = 6.400.000,00
Hr Narasumber Rakerda16 JPL x 200.000,00 = 3.200.000,00
HR Moderator4 oh x 100.000,00 = 400.000,00"
1.01 . 1.01.01 . 16.85 ,Songsong UNAS SD ,110000000,110000000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 16.85 . 5.2.1 ,Belanja Pegawai ,8700000,8700000,0,0,
1.01 . 1.01.01 . 16.85 . 5.2.1.01 ,Honorarium PNS ,8700000,8700000,0,0,
1.01 . 1.01.01 . 16.85 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,8700000,8700000,0,0,"Honor Panitia Pelaksana Kegiatan1 Bjj x 3.500.000,00 = 3.500.000,00
Honor Tim Pengadaan Barang dan Jasa
Honor Pejabat Pengadaan Barang danJasa1 or x 300.000,00 = 300.000,00
HR Tim Penerima/Pemeriksa Barang1 bjj x 2.200.000,00 = 2.200.000,00
Honor Penyelenggara/Penyusun Naskah Soal36 ok x 75.000,00 = 2.700.000,00"
1.01 . 1.01.01 . 16.85 . 5.2.2 ,Belanja Barang dan Jasa ,101300000,101300000,0,0,
1.01 . 1.01.01 . 16.85 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,800000,800000,0,0,
1.01 . 1.01.01 . 16.85 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,800000,800000,0,0,"Belanja ATK1 Keg x 800.000,00 = 800.000,00"
1.01 . 1.01.01 . 16.85 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,91610000,91610000,0,0,
1.01 . 1.01.01 . 16.85 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,91610000,91610000,0,0,"Belanja Penggandaan Naskah Songsong UNAS SD
Penggandaan Naskah Songsong UNAS SD1 Keg x 56.000.000,00 = 56.000.000,00
Belanja Penggandaan LJK, Scan, Analisa dan Laporan Hasil
Penggandaan LJK,Scan, Analisa dan Laporan1 Keg x 35.000.000,00 = 35.000.000,00
Penggandaan Kegiatan4,880 lbr x 125,00 = 610.000,00"
1.01 . 1.01.01 . 16.85 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,3000000,3000000,0,0,
1.01 . 1.01.01 . 16.85 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,3000000,3000000,0,0,"Belanja Rapat Koordinasi240 Org x 12.500,00 = 3.000.000,00"
1.01 . 1.01.01 . 16.85 . 5.2.2.15 ,Belanja Perjalanan Dinas ,5890000,5890000,0,0,
1.01 . 1.01.01 . 16.85 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,5890000,5890000,0,0,"Perjalanan Dinas1 keg x 5.890.000,00 = 5.890.000,00"
1.01 . 1.01.01 . 16.85 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,0,0,0,0,"Perjalanan Dinas0 keg x 580.000,00 = 0,00"
1.01 . 1.01.01 . 16.86 ,Sukses UNAS SMP ,160000000,160000000,0,0,"Sumber Dana : 
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 16.86 . 5.2.1 ,Belanja Pegawai ,22250000,22250000,0,0,
1.01 . 1.01.01 . 16.86 . 5.2.1.01 ,Honorarium PNS ,19750000,19750000,0,0,
1.01 . 1.01.01 . 16.86 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,19750000,19750000,0,0,"Honor panitia kegiatan
1 bjj x 5.750.000,00 = 5.750.000,00
Honor panitai pengadaan barang dan jasa
Honor Panitia Pengadaan Barang dan Jasa
2 bjj x 400.000,00 = 800.000,00
Honor penerina barang dan jasa
Honor Panitia Penerima Baranf dan Jasa
2 bjj x 600.000,00 = 1.200.000,00
Honor penyelenggaraan kegiatan / penyusun naskah
Honor Panitia Pelaksana Kegiatan/Penyusun Naskah 20 X 4 mapel
80 oh x 150.000,00 = 12.000.000,00
Honor panitia pengadaan barang dan jasa
2 bjj x 0,00 = 0,00
Honorpanitia penerima barang dan jasa
2 bjj x 0,00 = 0,00
Honor penyelenggaraan kegiatan/ penyusun naskah
1 ls x 0,00 = 0,00"
1.01 . 1.01.01 . 16.86 . 5.2.1.03 ,Uang Lembur ,2500000,2500000,0,0,
1.01 . 1.01.01 . 16.86 . 5.2.1.03.01 ,Uang Lembur PNS ,2500000,2500000,0,0,"Uang lembur kegiatanGolongan III/IV100 orang x 15.000,00 = 1.500.000,00
Golongan II100 orang x 10.000,00 = 1.000.000,00"
1.01 . 1.01.01 . 16.86 . 5.2.2 ,Belanja Barang dan Jasa ,137750000,137750000,0,0,
1.01 . 1.01.01 . 16.86 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,3415000,3415000,0,0,
1.01 . 1.01.01 . 16.86 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,3415000,3415000,0,0,"Belanja ATKATK1 paket x 3.415.000,00 = 3.415.000,00"
1.01 . 1.01.01 . 16.86 . 5.2.2.03 ,Belanja Jasa Kantor ,285000,285000,0,0,
1.01 . 1.01.01 . 16.86 . 5.2.2.03.13 ,Belanja Dokumentasi ,285000,285000,0,0,"Dokumentasi1 paket x 285.000,00 = 285.000,00"
1.01 . 1.01.01 . 16.86 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,125450000,125450000,0,0,
1.01 . 1.01.01 . 16.86 . 5.2.2.06.01 ,Belanja Cetak ,45000000,0,-45000000,-100,"Belanjapenggandaan
Belanja penggandaan0 keg x 80.450.000,00 = 0,00
Belanja scan dan analisa serta laporan hasil0 keg x 45.000.000,00 = 0,00"
1.01 . 1.01.01 . 16.86 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,80450000,125450000,45000000,55.94,"Belanja Penggandaan1 keg x 125.450.000,00 = 125.450.000,00"
1.01 . 1.01.01 . 16.86 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,8600000,8600000,0,0,
1.01 . 1.01.01 . 16.86 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,3437500,3437500,0,0,"Belanja Makan Minum RapatSnack Minum Rapat225 org x 7.500,00 = 1.687.500,00
Makan Minum Rapat100 org x 17.500,00 = 1.750.000,00"
1.01 . 1.01.01 . 16.86 . 5.2.2.11.04 ,Belanja Makanan dan Minuman lembur ,2537500,2537500,0,0,"Belanja Makan Minum Lembur
Makan Minum Lembur145 org x 17.500,00 = 2.537.500,00"
1.01 . 1.01.01 . 16.86 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,2625000,2625000,0,0,"Belanja Snack Minum Rapat0 orang x 7.500,00 = 0,00
Makan minum rapat150 orang x 17.500,00 = 2.625.000,00
Belanja makan minum lembur0 orang x 17.500,00 = 0,00"
1.01 . 1.01.01 . 16.87 ,Pengadaan Sarana Peningkatan Mutu Pendidikan SD (Dana DAK) ,9775411200,14277818888,4502407688,46.06,"Sumber Dana : Dana Alokasi Khusus (D A K)
Lokasi Kegiatan : Kabupaten Bantul"
1.01 . 1.01.01 . 16.87 . 5.2.1 ,Belanja Pegawai ,1230412500,65000000,-1165412500,-94.72,
1.01 . 1.01.01 . 16.87 . 5.2.1.01 ,Honorarium PNS ,57500000,57500000,0,0,
1.01 . 1.01.01 . 16.87 . 5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,57500000,57500000,0,0,"TPK Tim Pembina
1 Bjj x 20.000.000,00 = 20.000.000,00
TPK PPK
12 ob x 300.000,00 = 3.600.000,00
TPK Peneliti SPJ Sekolah
45 ob x 150.000,00 = 6.750.000,00
TPK Urusan Administrasi dan Teknis
36 ob x 150.000,00 = 5.400.000,00
TPK Tim Survey
25 Org x 150.000,00 = 3.750.000,00
TPK Analisis Gambar
5 Org x 150.000,00 = 750.000,00
TPK Panitia Sosialisasi
1 Bjj x 3.000.000,00 = 3.000.000,00
Tim Monev
Tim Money
50 oh x 150.000,00 = 7.500.000,00
TPK Tim Teknis Bangunan
1 bjj x 5.000.000,00 = 5.000.000,00
TPK Verifikasi
TPK Tim Verifikasi
7 oh x 250.000,00 = 1.750.000,00
TPK Pengawas Lapangan
Penanggung jawab
1 or x 0,00 = 0,00
Ketua
1 or x 0,00 = 0,00
Sekretaris
1 or x 0,00 = 0,00
Anggota
9 or x 0,00 = 0,00
HR Pejabat Pengadaan Konsultan Perencana
1 or x 0,00 = 0,00"
1.01 . 1.01.01 . 16.87 . 5.2.1.02 ,Honorarium Non PNS ,1165412500,0,-1165412500,-100,
1.01 . 1.01.01 . 16.87 . 5.2.1.02.02 ,Honorarium Pegawai Honorer/Tidak Tetap ,1165412500,0,-1165412500,-100,"Honorarium HarianUpah Pekerja Pembuatan Meubelair Perpustakaan
Upah pekerja Rehab Ruang KelasUpah Pekerja Pembuatan Gedung Perpustakaan"
1.01 . 1.01.01 . 16.87 . 5.2.1.03 ,Uang Lembur ,7500000,7500000,0,0,
1.01 . 1.01.01 . 16.87 . 5.2.1.03.01 ,Uang Lembur PNS ,7500000,7500000,0,0,"Uang lemburGolongan III dan IV300 ol x 15.000,00 = 4.500.000,00
Golongan I dan II300 ol x 10.000,00 = 3.000.000,00"
1.01 . 1.01.01 . 16.87 . 5.2.2 ,Belanja Barang dan Jasa ,2417362500,5524612388,3107249888,128.54,
1.01 . 1.01.01 . 16.87 . 5.2.2.01 ,Belanja Bahan Pakai Habis ,17500000,17501088,1088,0.01,
1.01 . 1.01.01 . 16.87 . 5.2.2.01.01 ,Belanja Alat Tulis Kantor ,17500000,17501088,1088,0.01,"Belanja ATKATK1 Ls x 9.501.088,00 = 9.501.088,00
Belanja ATK Kegiatan SosialisasiATK Kegiatan Soialisasi200 org x 40.000,00 = 8.000.000,00"
1.01 . 1.01.01 . 16.87 . 5.2.2.02 ,Belanja Bahan/Material ,2164337500,0,-2164337500,-100,
1.01 . 1.01.01 . 16.87 . 5.2.2.02.01 ,Belanja Bahan Baku untuk Bangunan / Kegiatan Pelayanan / Kegiatan Operasi,2164337500,0,-2164337500,-100,"Belanja Bahan Baku Bangunan
Belanja Bahan Baku Bangunan Meubelair Perpustakaan
Belanja Bahan Bangunan Rehab Ruang Kelas
Belanja Bahan Baku bangunan Gedung Perpustakaan"
1.01 . 1.01.01 . 16.87 . 5.2.2.03 ,Belanja Jasa Kantor ,500000,500000,0,0,
1.01 . 1.01.01 . 16.87 . 5.2.2.03.13 ,Belanja Dokumentasi ,500000,500000,0,0,"Belanja Dokumentasi1 Ls x 500.000,00 = 500.000,00"
1.01 . 1.01.01 . 16.87 . 5.2.2.06 ,Belanja Cetak/Penggandaan/Dokumentasi ,12500000,12500000,0,0,
1.01 . 1.01.01 . 16.87 . 5.2.2.06.02 ,Belanja Penggandaan/Foto Copy ,12500000,12500000,0,0,"Penggandaan100,000 lbr x 125,00 = 12.500.000,00"
1.01 . 1.01.01 . 16.87 . 5.2.2.11 ,Belanja Makanan Dan Minuman ,20000000,20000000,0,0,
1.01 . 1.01.01 . 16.87 . 5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,4500000,4500000,0,0,"Makan Minum RapatMMR300 or x 15.000,00 = 4.500.000,00"
1.01 . 1.01.01 . 16.87 . 5.2.2.11.04 ,Belanja Makanan dan Minuman lembur ,10500000,10500000,0,0,"MML600 ol x 17.500,00 = 10.500.000,00"
1.01 . 1.01.01 . 16.87 . 5.2.2.11.05 ,Belanja makanan dan minuman pelaksanaan kegiatan,5000000,5000000,0,0,"Sosialisasi PelaksanaanMM Kegiatan
 Sosialisasi Pelaksanaan200 Oh x 25.000,00 = 5.000.000,00
Snak Sosialisasi200 or x 0,00 = 0,00"
1.01 . 1.01.01 . 16.87 . 5.2.2.15 ,Belanja Perjalanan Dinas ,46525000,46525000,0,0,
1.01 . 1.01.01 . 16.87 . 5.2.2.15.01 ,Belanja Perjalanan Dinas Dalam Daerah ,9400000,9400000,0,0,"Gol IV50 Oj x 50.000,00 = 2.500.000,00
Gol III150 Oj x 40.000,00 = 6.000.000,00
Gol II30 Oj x 30.000,00 = 900.000,00"
1.01 . 1.01.01 . 16.87 . 5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,37125000,37125000,0,0,"Gol IV10 OJ x 1.400.000,00 = 14.000.000,00
Gol III10 Oj x 1.250.000,00 = 12.500.000,00
Gol II5 Oj x 1.125.000,00 = 5.625.000,00
Pembelian Tiket1 Ls x 5.000.000,00 = 5.000.000,00"
1.01 . 1.01.01 . 16.87 . 5.2.2.21 ,Belanja Jasa Konsultansi ,150000000,0,-150000000,-100,
1.01 . 1.01.01 . 16.87 . 5.2.2.21.02 ,Belanja Jasa Konsultansi Perencanaan ,100000000,0,-100000000,-100,"Belanja Jasa Konsultasi Perencanaan
Jasa Konsultan perencanaKonsultasi Perencanaan Rehab Ruang Kelas1 ls x 0,00 = 0,00
Konsultasi Perencana Pemb Gd Perpustakaan1 ls x 0,00 = 0,00"
1.01 . 1.01.01 . 16.87 . 5.2.2.21.03 ,Belanja Jasa Konsultansi Pengawasan ,50000000,0,-50000000,-100,"Belanja Jasa Konsultasi Pengawasan
Jasa Konsultasi Pengawasan"
1.01 . 1.01.01 . 16.87 . 5.2.2.23 ,Belanja Barang yang akan diserahkan kepada Masyarakat/ Pihak ketiga,0,5421586300,5421586300,0,
