Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,
Daerah,Kabupaten Gunungkidul,,,,,,
tahun ,2015,,,,,,
Kode Organisasi,2.06,,,,,,
Nama Organisasi,Kantor Pengelolaan Pasar,,,,,,
Kolom,4,,,,,,
Kode Rekening,Uraian,jumlah,Penjelasan,,,,
2.06.2.06.02.06.04.5.2.2.06. ,Belanja Cetak dan Penggandaan ,450000,,,,,
2.06.2.06.02.06.04.5.2.2.06.002. ,Belanja Penggandaan/Foto copy ,450000, Belanja penggandaan 45000000,,,,
2.06.2.06.02.06.04.5.2.2.11. ,Belanja Makanan dan Minuman ,605000,,,,,
2.06.2.06.02.06.04.5.2.2.11.002. ,Belanja makanan dan minuman rapat ,605000, Minum snack rapat 16500000 Belanja makan minum rapat 44000000,,,,
2.06.2.06.02.06.05. ,PENYUSUNAN PELAPORAN KEUANGAN ,1750000,Lokasi Kegiatan: Kab Gunungkidul BULANAN/SPJ Sumber Dana: DAU^,,,,
2.06.2.06.02.06.05.5.2.1. ,BELANJA PEGAWAI ,1350000,,,,,
2.06.2.06.02.06.05.5.2.1.03. ,Uang Lembur ,1350000,,,,,
2.06.2.06.02.06.05.5.2.1.03.001. ,Uang Lembur PNS ,1350000, Gol IV/III 108000000 Gol II/I 27000000,,,,
2.06.2.06.02.06.05.5.2.2. ,BELANJA BARANG DAN JASA ,400000,,,,,
2.06.2.06.02.06.05.5.2.2.11. ,Belanja Makanan dan Minuman ,400000,,,,,
2.06.2.06.02.06.05.5.2.2.11.001. ,Belanja makanan dan minuman harian pegawai ,400000, makan minum lembur 40000000,,,,
2.06.2.06.02.09. ,PROGRAM PENINGKATAN KUALITAS PELAYANAN ,18312500, PUBLIK,,,,
2.06.2.06.02.09.01. ,PENGELOLAAN DATA DAN SISTEM INFORMASI ,9400000,Lokasi Kegiatan: Kantor Pengelolaan Pasar SKPD Sumber Dana: DAU^,,,,
2.06.2.06.02.09.01.5.2.1. ,BELANJA PEGAWAI ,900000,,,,,
2.06.2.06.02.09.01.5.2.1.03. ,Uang Lembur ,900000,,,,,
2.06.2.06.02.09.01.5.2.1.03.001. ,Uang Lembur PNS ,900000, Gol V/III 60000000 GOl II 30000000,,,,
2.06.2.06.02.09.01.5.2.2. ,BELANJA BARANG DAN JASA ,8500000,,,,,
2.06.2.06.02.09.01.5.2.2.06. ,Belanja Cetak dan Penggandaan ,2500000,,,,,
2.06.2.06.02.09.01.5.2.2.06.001. ,Belanja Cetak ,2000000, Belanja cetak 200000000,,,,
2.06.2.06.02.09.01.5.2.2.06.002. ,Belanja Penggandaan/Foto copy ,500000, Belanja penggandaan 50000000,,,,
2.06.2.06.02.09.01.5.2.2.18. ,Belanja perawatan peralatan dan perlengkapan ,6000000, kantor,,,,
2.06.2.06.02.09.01.5.2.2.18.002. ,Belanja pemeliharaan perlengkapan kantor ,6000000, Belanja papan informasi  kotak saran papan koran dll 600000000,,,,
2.06.2.06.02.09.02. ,PENYUSUNAN RENCANA STRATEGIS SKPD ,5000000,Lokasi Kegiatan: Kantor Pengelolaan Pasar Sumber Dana: DAU,,,,
2.06.2.06.02.09.02.5.2.1. ,BELANJA PEGAWAI ,4100000,,,,,
2.06.2.06.02.09.02.5.2.1.01. ,Honorarium PNS ,4100000,,,,,
2.06.2.06.02.09.02.5.2.1.01.001. ,Honorarium Tim Pelaksana Kegiatan ,4100000, Penanggung jawab 50000000 Ketua 45000000 Sekretaris 40000000 Anggota 245000000 Staf sekretariat 30000000,,,,
2.06.2.06.02.09.02.5.2.2. ,BELANJA BARANG DAN JASA ,900000,,,,,
2.06.2.06.02.09.02.5.2.2.06. ,Belanja Cetak dan Penggandaan ,350000,,,,,
2.06.2.06.02.09.02.5.2.2.06.002. ,Belanja Penggandaan/Foto copy ,350000, Belanja penggandaan 35000000,,,,
2.06.2.06.02.09.02.5.2.2.11. ,Belanja Makanan dan Minuman ,550000,,,,,
2.06.2.06.02.09.02.5.2.2.11.002. ,Belanja makanan dan minuman rapat ,550000, minum snack rapat 15000000 makan rapat 40000000,,,,
2.06.2.06.02.09.03. ,PENYUSUNAN RENCANA KERJA SKPD ,3087500,Lokasi Kegiatan: gunungkidul Sumber Dana: DAU,,,,
2.06.2.06.02.09.03.5.2.1. ,BELANJA PEGAWAI ,2000000,,,,,
2.06.2.06.02.09.03.5.2.1.09. ,Honorarium Pengelola SIPKD ,2000000,,,,,
2.06.2.06.02.09.03.5.2.1.09.002. ,Honorarium Operator SIPKD ,2000000, Honor operator SIPKD Renja 200000000,,,,
2.06.2.06.02.09.03.5.2.2. ,BELANJA BARANG DAN JASA ,1087500,,,,,
2.06.2.06.02.09.03.5.2.2.06. ,Belanja Cetak dan Penggandaan ,400000,,,,,
2.06.2.06.02.09.03.5.2.2.06.002. ,Belanja Penggandaan/Foto copy ,400000, Belanja penggandaan 40000000,,,,
2.06.2.06.02.09.03.5.2.2.11. ,Belanja Makanan dan Minuman ,687500,,,,,
2.06.2.06.02.09.03.5.2.2.11.002. ,Belanja makanan dan minuman rapat ,687500, Minum snack rapat 18750000 Belanja makan minum rapat 50000000,,,,
2.06.2.06.02.09.22. ,PENGENDALIAN INTERNAL SKPD ,825000,Lokasi Kegiatan: Kantor Pengelolaan Pasar Sumber Dana: DAU,,,,
2.06.2.06.02.09.22.5.2.2. ,BELANJA BARANG DAN JASA ,825000,,,,,
2.06.2.06.02.09.22.5.2.2.11. ,Belanja Makanan dan Minuman ,825000,,,,,
2.06.2.06.02.09.22.5.2.2.11.002. ,Belanja makanan dan minuman rapat ,825000, Minum snack rapat 22500000 Makan rapat 60000000,,,,
2.06.2.06.02.20. ,PROGRAM PENGEMBANGAN DAN PEMBINAAN ,104627000, PEDAGANG,,,,
2.06.2.06.02.20.02. ,PEMBINAAN PEDAGANG ,104627000,Lokasi Kegiatan: Kab Gunungkidul Sumber Dana: PADDAU,,,,
2.06.2.06.02.20.02.5.2.1. ,BELANJA PEGAWAI ,57402000,,,,,
2.06.2.06.02.20.02.5.2.1.01. ,Honorarium PNS ,17100000,,,,,
2.06.2.06.02.20.02.5.2.1.01.001. ,Honorarium Tim Pelaksana Kegiatan ,17100000, Honor Tim Pelaksana kegiatan pembinaan penataan/ penempatan pedagang  dan pemeliharaan keamanan dan ketertiban pasar Penanggung jawab 120000000 Ketua 110000000 Sekretaris 100000000 Anggota 900000000 Staf Sekretariat 480000000,,,,
2.06.2.06.02.20.02.5.2.1.02. ,Honorarium Non PNS ,26352000,,,,,
2.06.2.06.02.20.02.5.2.1.02.004. ,Upah/ongkos tenaga ,26352000, Upah penjaga malam Pasar Hewan Siyonoharjo 878400000 Upah penjaga malam Pasar Ngawu Playen 878400000 Upah Penjaga malam Pasar 878400000,,,,
2.06.2.06.02.20.02.5.2.1.03. ,Uang Lembur ,13950000,,,,,
2.06.2.06.02.20.02.5.2.1.03.001. ,Uang Lembur PNS ,2970000, Uang lembur satpam Gol II/I 297000000,,,,
2.06.2.06.02.20.02.5.2.1.03.002. ,Uang Lembur Non PNS ,10980000, uang lembur satpam dan petugas ME 1098000000,,,,
2.06.2.06.02.20.02.5.2.2. ,BELANJA BARANG DAN JASA ,47225000,,,,,
2.06.2.06.02.20.02.5.2.2.03. ,Belanja Jasa Kantor ,6100000,,,,,
2.06.2.06.02.20.02.5.2.2.03.027. ,Belanja jasa narasumber/tenaga ahli ,6100000, Honor narasumber S2 450000000 Honor narasumber S1 160000000,,,,
2.06.2.06.02.20.02.5.2.2.11. ,Belanja Makanan dan Minuman ,23125000,,,,,
2.06.2.06.02.20.02.5.2.2.11.002. ,Belanja makanan dan minuman rapat ,23125000, Makan rapat  / pembinaan dan penataan 1000000000 Minum snack rapat/pembinaan dan penataan 1312500000,,,,
2.06.2.06.02.20.02.5.2.2.15. ,Belanja Perjalanan Dinas ,18000000,,,,,
2.06.2.06.02.20.02.5.2.2.15.001. ,Belanja perjalanan dinas dalam daerah ,18000000, Gol IV 360000000 Gol III 1200000000 Gol II 240000000,,,,
1.08.2.06.02.15. ,PROGRAM PENGEMBANGAN KINERJA PENGELOLAAN ,645915000, PERSAMPAHAN,,,,
1.08.2.06.02.15.04. ,PENINGKATAN OPERASI DAN PEMELIHARAAN ,645915000,Lokasi Kegiatan: - PRASARANA DAN SARANA PERSAMPAHAN Sumber Dana: PAD^DAU^,,,,
1.08.2.06.02.15.04.5.2.1. ,BELANJA PEGAWAI ,437630000,,,,,
1.08.2.06.02.15.04.5.2.1.02. ,Honorarium Non PNS ,407250000,,,,,
1.08.2.06.02.15.04.5.2.1.02.004. ,Upah/ongkos tenaga ,407250000, Upah tenaga kebersihan pasar 37440000000 Upah sopir armada kebersihan pasar 3285000000,,,,
1.08.2.06.02.15.04.5.2.1.03. ,Uang Lembur ,30380000,,,,,
1.08.2.06.02.15.04.5.2.1.03.001. ,Uang Lembur PNS ,1100000, Gol III/IV 80000000 Gol II 30000000,,,,
1.08.2.06.02.15.04.5.2.1.03.002. ,Uang Lembur Non PNS ,29280000, uang lembur petugas kebersihan pasar 2928000000,,,,
1.08.2.06.02.15.04.5.2.2. ,BELANJA BARANG DAN JASA ,208285000,,,,,
1.08.2.06.02.15.04.5.2.2.01. ,Belanja Bahan Pakai Habis ,37900000,,,,,
1.08.2.06.02.15.04.5.2.2.01.005. ,Belanja peralatan kebersihan dan bahan pembersih ,37900000, Belanja peralatan kebersihan dan bahan pembersih 2800000000 Belanja angkong 990000000,,,,
1.08.2.06.02.15.04.5.2.2.03. ,Belanja Jasa Kantor ,4000000,,,,,
1.08.2.06.02.15.04.5.2.2.03.012. ,Belanja tes kesehatan ,4000000, Belanja chek up kesehatan petugas lapangan 400000000,,,,
1.08.2.06.02.15.04.5.2.2.05. ,Belanja Perawatan Kendaraan Bermotor ,125585000,,,,,
1.08.2.06.02.15.04.5.2.2.05.001. ,Belanja pemeliharaan kendaraan ,25000000, Belanja servis suku cadang aki ban pick up 1180000000 Belanja servis suku cadang aki ban dumptruk 1220000000 Belanja servis suku cadang VIAR 100000000,,,,
1.08.2.06.02.15.04.5.2.2.05.003. ,Belanja Bahan Bakar Minyak/Gas dan Pelumas ,99385000, Belanja BBM gas pelumas 2 unit Pick Up 3321500000 Belanja BBM gas pelumas dump truk I (15 liter x 365 hari) 3011250000 Belanja BBM gas pelumas dump truk II (15 liter x 365 hari) 3011250000 Belanja bahan bakar alat potong rumput 120000000 BBM Viar 474500000,,,,
1.08.2.06.02.15.04.5.2.2.05.004. ,Belanja Jasa Kir ,1200000, Belanja KIR Pick Up 60000000 Belanja KIR dump truk 60000000,,,,
1.08.2.06.02.15.04.5.2.2.07. ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,6000000,,,,,
1.08.2.06.02.15.04.5.2.2.07.005. ,Belanja Sewa Tanah ,6000000, Sewa tanah untuk TPAS 600000000,,,,
1.08.2.06.02.15.04.5.2.2.11. ,Belanja Makanan dan Minuman ,24000000,,,,,
1.08.2.06.02.15.04.5.2.2.11.001. ,Belanja makanan dan minuman harian pegawai ,24000000, Belanja makan minum harian petugas kebersihan armada sampah 2400000000,,,,
1.08.2.06.02.15.04.5.2.2.13. ,Belanja Pakaian Kerja ,10800000,,,,,
1.08.2.06.02.15.04.5.2.2.13.001. ,Belanja pakaian kerja lapangan ,10800000, Belanja pakaian kerja lapangan petugas kebersihan 1080000000,,,,
1.20.2.06.02.17. ,PROGRAM PENINGKATAN DAN PENGEMBANGAN ,457330200, PENGELOLAAN KEUANGAN DAERAH,,,,
1.20.2.06.02.17.19. ,INTENSIFIKASI DAN EKSTENSIFIKASI ,457330200,Lokasi Kegiatan: Kab Gunungkidul SUMBER-SUMBER PENDAPATAN DAERAH Sumber Dana: PAD^DAU^,,,,
1.20.2.06.02.17.19.5.2.1. ,BELANJA PEGAWAI ,198591000,,,,,
1.20.2.06.02.17.19.5.2.1.01. ,Honorarium PNS ,30975000,,,,,
1.20.2.06.02.17.19.5.2.1.01.001. ,Honorarium Tim Pelaksana Kegiatan ,30975000, Penanggung jawab 120000000 Ketua 112500000 Sekretaris 105000000 Anggota 1950000000 Staf Sekretariat 810000000,,,,
1.20.2.06.02.17.19.5.2.1.02. ,Honorarium Non PNS ,167616000,,,,,
1.20.2.06.02.17.19.5.2.1.02.004. ,Upah/ongkos tenaga ,167616000, Kemantren Pasar Rongkop 5 x 25 hr x 12bln 3600000000 Kemantren Pasar Semin 2 x 25 hr x 12 bln 1440000000 Kemantren Pasar Semanu 2 x 25 hr x 12 bln 1440000000 Kemantren Pasar Playen 4 x 25 hr x 12 bln 2880000000 Kemantren Pasar Ponjong 5 x 25 hr x 12 bln 3600000000 Kemantren Pasar Wonosari 2 x 30 hr x 12 bln 1728000000 Kemantren Pasar Nglipar 2 x 25 hr x 12 bln 1440000000 Kantor Pengelolaan Pasar 1 x 22 hr x 12 bln 633600000,,,,
1.20.2.06.02.17.19.5.2.2. ,BELANJA BARANG DAN JASA ,258739200,,,,,
1.20.2.06.02.17.19.5.2.2.03. ,Belanja Jasa Kantor ,196819200,,,,,
1.20.2.06.02.17.19.5.2.2.03.023. ,Belanja Jasa pihak ketiga ,196819200, pengembalian upah pungut retribusi tempat khusus parkir 13230720000 Pengembalian upah pungut retribusi pemakaian kekayaan daerah (MCK) 6451200000,,,,
1.20.2.06.02.17.19.5.2.2.08. ,Belanja Sewa Sarana Mobilitas ,9000000,,,,,
1.20.2.06.02.17.19.5.2.2.08.001. ,Belanja Sewa Sarana Mobilitas Darat ,9000000, Belanja sewa armada/bus 900000000,,,,
1.20.2.06.02.17.19.5.2.2.11. ,Belanja Makanan dan Minuman ,12000000,,,,,
1.20.2.06.02.17.19.5.2.2.11.002. ,Belanja makanan dan minuman rapat ,12000000, Belanja makan rapat 900000000 Belanja minum snack rapat 300000000,,,,
1.20.2.06.02.17.19.5.2.2.15. ,Belanja Perjalanan Dinas ,40920000,,,,,
1.20.2.06.02.17.19.5.2.2.15.001. ,Belanja perjalanan dinas dalam daerah ,30720000, Gol IV 576000000 Gol III 1920000000 Gol II 576000000,,,,
1.20.2.06.02.17.19.5.2.2.15.002. ,Belanja perjalanan dinas luar daerah ,10200000, Gol IV 70000000 Gol III 650000000 Gol II 300000000,,,,
2.01.2.06.02.17. ,PROGRAM PENINGKATAN PEMASARAN HASIL ,6455395000, PRODUKSI PERTANIAN/PERKEBUNAN,,,,
2.01.2.06.02.17.03. ,PEMBANGUNAN SARANA DAN PRASARANA PASAR ,6447130000,Lokasi Kegiatan: Kab Gunungkidul KECAMATAN/PERDESAAN PRODUKSI HASIL  PERTANIAN/PERKEBUNAN,,,, Sumber Dana: Bantuan Keuangan Prov^PAD^DAU^DAK^SILPA^
2.01.2.06.02.17.03.5.2.1. ,BELANJA PEGAWAI ,3250000,,,,,
2.01.2.06.02.17.03.5.2.1.01. ,Honorarium PNS ,3250000,,,,,
2.01.2.06.02.17.03.5.2.1.01.001. ,Honorarium Tim Pelaksana Kegiatan ,3250000, Penanggung jawab/Pengguna Anggaran 150000000 Ketua/PPK/PPTK 120000000 Petugas administrasi 55000000,,,,
2.01.2.06.02.17.03.5.2.2. ,BELANJA BARANG DAN JASA ,24930000,,,,,
2.01.2.06.02.17.03.5.2.2.11. ,Belanja Makanan dan Minuman ,4050000,,,,,
2.01.2.06.02.17.03.5.2.2.11.002. ,Belanja makanan dan minuman rapat ,4050000, Belanja makan rapat 300000000 Belanja minum snack 105000000,,,,
2.01.2.06.02.17.03.5.2.2.15. ,Belanja Perjalanan Dinas ,20880000,,,,,
2.01.2.06.02.17.03.5.2.2.15.001. ,Belanja perjalanan dinas dalam daerah ,20880000, Gol IV 216000000 Gol III 1440000000 Gol II 432000000,,,,
2.01.2.06.02.17.03.5.2.3. ,BELANJA  MODAL ,6418950000,,,,,
2.01.2.06.02.17.03.5.2.3.26. ,Belanja Modal Pengadaan Konstruksi/Pembelian ,6418950000, Bangunan,,,,
2.01.2.06.02.17.03.5.2.3.26.011. ,Belanja Modal pembangunan pasar ,6418950000, Rehabilitasi Pasar Semin Lanjutan (Bantuan keuangan propinsi + pendampingan 550000000000 APBD) Penyusunan DED Pasar kampung Wotgaleh 5000000000 Penyusunan DED Pasar Trowono Playen 5000000000 Penyusunan DED Pasar Karangijo Tengeran 5000000000 Penyusunan DED Pasar Munggi Baran 5000000000 Rehabilitasi Pasar Tepus ( sisa DAK 2013) 7500000000 Rehabilitasi Pasar Menthel ( sisa DAK 2013 ) 5400000000 Rehabilitasi Pasar Ngrancah ( sisa DAK 2013 ) 9500000000 Rehabilitasi Pasar Wotgaleh ( sisa DAK 2013 ) 7000000000 Rehabilitasi Pasar Tengeran 7500000000 Honorarium Pokja ULP 570000000 Ketua 150000000 Sekretaris 120000000 Anggota 300000000 Pejabat pengadaan 35000000 Honorarium panitia penerima 370000000 Ketua 150000000 Sekretaris 120000000 Anggota 100000000 Honoraraium Pejabat penerima pekerjaan 20000000 Biaya konsultan perencanaan 5000000000 Biaya konsultan pengawas 4000000000 DED Eks Pasar Eks Pasar Hewan Munggi  dan Pasar Jimbaran 5000000000 Rehabilitasi Pasar Jimbaran 20000000000,,,,
2.01.2.06.02.17.07. ,PROMOSI ATAS HASIL PRODUKSI ,8265000,Lokasi Kegiatan: Kab Gunungkidul PERTANIAN/PERKEBUNAN UANGGULAN DAERAH Sumber Dana: DAU^,,,,
2.01.2.06.02.17.07.5.2.1. ,BELANJA PEGAWAI ,1565000,,,,,
2.01.2.06.02.17.07.5.2.1.02. ,Honorarium Non PNS ,970000,,,,,
2.01.2.06.02.17.07.5.2.1.02.004. ,Upah/ongkos tenaga ,970000, Upah menjaga stand 70000000 Upah tenaga/tukang 27000000,,,,
2.01.2.06.02.17.07.5.2.1.03. ,Uang Lembur ,595000,,,,,
2.01.2.06.02.17.07.5.2.1.03.001. ,Uang Lembur PNS ,595000, Gol III 28000000 Gol II 31500000,,,,
2.01.2.06.02.17.07.5.2.2. ,BELANJA BARANG DAN JASA ,6700000,,,,,
2.01.2.06.02.17.07.5.2.2.01. ,Belanja Bahan Pakai Habis ,6000000,,,,,
2.01.2.06.02.17.07.5.2.2.01.009. ,Belanja Dokumentasi ,500000, Belanja dokumentasi 50000000,,,,
2.01.2.06.02.17.07.5.2.2.01.010. ,Belanja Dekorasi ,5500000, Belanja dekorasi 550000000,,,,
2.01.2.06.02.17.07.5.2.2.11. ,Belanja Makanan dan Minuman ,700000,,,,,
2.01.2.06.02.17.07.5.2.2.11.001. ,Belanja makanan dan minuman harian pegawai ,700000, Belanja makanan minuman harian 70000000,,,,
2.01.2.06.02.23. ,PROGRAM PENINGKATAN PEMASARAN HASIL ,2693280000, PRODUKSI PETERNAKAN,,,,
2.01.2.06.02.23.03. ,PEMBANGUNAN SARANA DAN PRASARANA PASAR ,2693280000,Lokasi Kegiatan: gunungkidul PRODUKSI HASIL PETERNAKAN Sumber Dana: PAD^DAU^,,,,
2.01.2.06.02.23.03.5.2.1. ,BELANJA PEGAWAI ,2700000,,,,,
2.01.2.06.02.23.03.5.2.1.01. ,Honorarium PNS ,2700000,,,,,
2.01.2.06.02.23.03.5.2.1.01.001. ,Honorarium Tim Pelaksana Kegiatan ,2700000, Pananggung jawab/Pengguna anggaran 120000000 Ketua/PPK/PPTK 100000000 Petugas administrasi 50000000,,,,
2.01.2.06.02.23.03.5.2.2. ,BELANJA BARANG DAN JASA ,4480000,,,,,
2.01.2.06.02.23.03.5.2.2.01. ,Belanja Bahan Pakai Habis ,500000,,,,,
2.01.2.06.02.23.03.5.2.2.01.009. ,Belanja Dokumentasi ,500000, Belanja dokumentasi 50000000,,,,
2.01.2.06.02.23.03.5.2.2.11. ,Belanja Makanan dan Minuman ,1100000,,,,,
2.01.2.06.02.23.03.5.2.2.11.002. ,Belanja makanan dan minuman rapat ,1100000, Makan rapat 80000000 Minum snack rapat 30000000,,,,
2.01.2.06.02.23.03.5.2.2.15. ,Belanja Perjalanan Dinas ,2880000,288000000,,,,
2.01.2.06.02.23.03.5.2.2.15.001. ,Belanja perjalanan dinas dalam daerah ,2880000,Gol IV 72000000 Gol III 120000000 Gol II 96000000,,,,
2.01.2.06.02.23.03.5.2.3. ,BELANJA  MODAL ,2686100000,268610000000,,,,
2.01.2.06.02.23.03.5.2.3.26. ,Belanja Modal Pengadaan Konstruksi/Pembelian ,2686100000,Bangunan,,,,
2.01.2.06.02.23.03.5.2.3.26.011. ,Belanja Modal pembangunan pasar ,2686100000,Rehabilitasi pasar hewan Munggi lanjutan 220795000000 Rehabilitasi Pasar Hewan Siyonoharjo 18500000000 pembangunan eks pasar hewan munggi 20000000000 Honorarium Pokja ULP 460000000 Ketua 120000000 Sekretaris 100000000 Anggota 240000000 Honorarium Pejabat pengadaan 35000000 Panitia penerima 300000000 Ketua 120000000 Sekretaris 100000000 Anggota 80000000 Honorarium pejabat penerima 20000000 Biaya konsultan perencana 5000000000 Biaya konsultan pengawas 3500000000,,,,
,JUMLAH BELANJA,1504180208073,,,,,
,SURPLUS/(DEFISIT) ,-1317205440097,,,,,
