Judul,Penjabaran Anggaran Pendapatan Belanja Daerah,,,,,,,,,
Daerah,Kabupaten Gunungkidul,,,,,,,,,
tahun ,2015,,,,,,,,,
Kode Organisasi,1.01,,,,,,,,,
Nama Organisasi,Dinas Pendidikan Pemuda dan Olahraga,,,,,,,,,
Kolom,4,,,,,,,,,
Kode Rekening,Uraian,jumlah,Penjelasan,,,,,,,
1.01.1.01.01.16.18.5.2.3.20.010. ,Belanja Modal Alat-alat Laboratorium Lingkungan ,7000000, SMP 3 WONOSARI 7000000.00 Pengadaan Alat Peraga/ Praktek Laboratorium IPA 2000000.00 Pengadaan Alat Peraga/ Praktek Olahraga 5000000.00,,,,,,,
1.01.1.01.01.16.18.5.2.3.27. ,Belanja Modal Pengadaan Buku/Kepustakaan ,2600000,,,,,,,,
1.01.1.01.01.16.18.5.2.3.27.018. ,Belanja modal pengadaan buku kamus bahasa ,2000000, SMP 4 PLAYEN 1500000.00 pengadaan kamus bahasa 1500000.00 SMP 4 NGLIPAR 500000.00 Belanja buku/kamus 500000.00,,,,,,,
1.01.1.01.01.16.18.5.2.3.27.025. ,Belanja modal pengadaan buku peta/atlas/globe ,600000, UPT TK/SD KECAMATAN WONOSARI 600000.00 SD WONOSARI BARU 600000.00 Biaya pengadaan atlas untuk kelas 600000.00,,,,,,,
1.01.1.01.01.16.18.5.2.3.28. ,Belanja Modal Pengadaan Barang bercorak ,313289000, Kesenian^ Kebudayaan,,,,,,,
1.01.1.01.01.16.18.5.2.3.28.007. ,Belanja modal gamelan/wayang ,172500000, DINAS PENDIDIKAN. PEMUDA DAN OLAHRAGA 150000000.00 PENGADAAN GAMELAN UNTUK SD DARI DANA DAU 150000000.00 SD KARANGTENGAH BARU WONOSARI 50000000.00 SD BENDO NGAWEN 50000000.00 SD SIRAMAN II WONOSARI 50000000.00 UPT TK/SD KECAMATAN NGLIPAR 1500000.00 SD GAJASARI 1500000.00 STANDAR PROSES 1500000.00 Belanja alat pembelajaran bahasa jawa wayang kulit 1500000.00 SMP 3 KARANGMOJO 6000000.00 Pengadaan alat music gamelan reog dan jathil 6000000.00 SMP 3 SEMIN 15000000.00 Belanja Alat Musik tradisional 15000000.00,,,,,,,
1.01.1.01.01.16.18.5.2.3.28.085. ,Belanja modal pengadaan alat musik ,140789000, UPT TK/SD KECAMATAN TEPUS 74050000.00 STANDAR SARANA PRASARANA 24700000.00 SD TEPUS IV 24700000.00 Belanja Pengadaan Drum Band 24700000.00 SD PURWODADI I 24700000.00 Belanja Pengadaan Drum Band 24700000.00 SD TEPUS I 24650000.00 Belanja Pengadaan Drum Band 24650000.00 UPT TK/SD KECAMATAN RONGKOP 37750000.00 Belanja modal pengadaan alat musik 37750000.00 Standar Sarana dan Prasarana 37750000.00 SD BARAN I 9150000.00 Belanja modal pengadaan bass drum 1950000.00 Belanja odal pengadaan pianika 2400000.00 Belanja modal pengadaan bellyra 4800000.00 SD KARANGWUNI I 1600000.00 Belanja modal pengadaan seruling 400000.00 Belanja modal pengadaan pianika 1200000.00 SD PETIR I 12000000.00 Belanja alat musik drumband 12000000.00 SD PAKEL II 15000000.00 Belanja alat musik drum band 15000000.00 UPT TK/SD KECAMATAN PONJONG 26139000.00 STANDAR KOMPETENSI LULUSAN 26139000.00 SD Kenteng I 14439000.00 Pengadaan peralatan marcing band lengkap 14439000.00 SD Ponjong IV 11700000.00 Pengadaan Orgen 4700000.00 Pengadaan alat musik jatil 7000000.00 UPT TK/SD KECAMATAN NGLIPAR 2850000.00 SD CANDI III 2850000.00 STANDAR KOMPETENSI KELILUSAN 2850000.00 Belanja apengadaan alat musik drimband 2850000.00,,,,,,,
1.01.1.01.01.16.18.5.2.3.31. ,Belanja Modal Pengadaan sarana olah raga ,139233400,,,,,,,,
1.01.1.01.01.16.18.5.2.3.31.002. ,Belanja modal alat olah raga ,139233400, UPT TK/SD KECAMATAN TEPUS 1700000.00 STANDAR SARANA RASARANA SD BINTAOS 1700000.00 Belanja Bola sepak Belanja Bola Futsal 700000.00 Belanja Bola Volly 1000000.00 UPT TK/SD KECAMATAN SEMANU 12340000.00 SD Jragum 700000.00 Belanja modal alat olahraga 700000.00 SD Cuwelo II 1500000.00 Belanja modal alat olahraga 1500000.00 SD Nitikan 750000.00 Belanja modal alat olahraga 750000.00 STANDAR KOMPETENSI LULUSAN 9390000.00 SD Negeri Semanu 3000000.00 Pembelian kelengkapan ekstra (peralatan atletik. matras. lompat gawang. stop 3000000.00 watch. bak pasir. meteran. raket. bola sepak. shuttlecock. jaring. bulutangkis) SD Negeri Cuwelo II 1500000.00 Pembelian kelengkapan ekstra (peralatan atletik. matras. lompat gawang. stop 1500000.00 watch. bak pasir. meteran. raket. bola sepak. shuttlecock. jaring. bulutangkis) SD Negeri Dadapayu I 4890000.00 Pembelian kelengkapan ekstra (bola kaki. stopwatch. cakram. tolak peluru. 4890000.00 lembing) UPT TK/SD KECAMATAN PURWOSARI 23745000.00 SD KARANGNONGKO  II 3500000.00 Standar Sarana Prasarana 3500000.00 Belanja Peralatan Olah Raga 3500000.00 SD KARANGTENGAH  II 3750000.00 Standar Sarana Prasarana 3750000.00 Belanja Peralatan Olah Raga 3750000.00 SD GIRIASIH 2495000.00 Standar Sarana Prasarana 2495000.00 Belanja Peralatan Olah Raga 2495000.00 SD NANAS 3500000.00 Standar Sarana Prasarana 3500000.00 Belanja Peralatan Olah Raga 3500000.00 SD GIRIPURWO 3250000.00 Standar Sarana Prasarana 3250000.00 Belanja Peralatan Olah Raga 3250000.00 SD GIRITIRTO 3500000.00 Standar Sarana Prasarana 3500000.00 Belanja Peralatan Olah Raga 3500000.00 SD KLAMPOK 3750000.00 Standar Sarana Prasarana 3750000.00 Belanja Peralatan Olah Raga 3750000.00 UPT TK/SD KECAMATAN NGLIPAR 7258400.00 SD SENDOWO I 7258400.00 STANDAR KOMPETENSI KELULUSAN Belanja modal pengadaan meja pingpong 6558400.00 Belanja modal pengadaan bola kaki 375000.00 Belanja modal pengadaan bola volly 325000.00 UPT TK/SD KECAMATAN NGAWEN 22000000.00 STANDAR SARANA DAN PRASARANA 22000000.00 SD WATUSIGAR I 7000000.00 Alat-alat olahraga 7000000.00 SD NGAWEN I 5000000.00 Alat-alat olahraga 5000000.00 SD PURWAREJA 5000000.00 Alat-alat olahraga 5000000.00 SD TANCEP I 5000000.00 Alat-alat olahhraga 5000000.00 UPT TK/SD KECAMATAN KARANGMOJO 3000000.00 SD SLAMETAN 1500000.00 STANDAR SARANA DAN PRASARANA 1500000.00 pengadaan Gawang mini (Sepak bola) 1500000.00 SD GELARAN I 1500000.00 Belanja Gawang mini ( sepakbola) 1500000.00 UPT TK/SD KECAMATAN GIRISUBO 12500000.00 PEMENUHAN STANDAR SARANA DAN PRASANA 12500000.00 SD WOTAWATI 12500000.00 Belanja modal alat praktik olahraga 12500000.00 SMP 1 PATUK 2000000.00 Belanja modal pengadaan alat olahraga 2000000.00 SMP 3 TEPUS 600000.00 Belanja bola voly 600000.00 SMP 1 NGAWEN 15000000.00 Alat Olah raga 15000000.00 SMP 4 PONJONG 16000000.00 belanja alat olahraga 1000000.00 kesenian tradisional (tarian daerah dan jathilan) 15000000.00 SMP 3 KARANGMOJO 3150000.00 Belanja alat olahraga 3150000.00 SMP 1 RONGKOP 2040000.00 SMP Negeri 1 Rongkop 2040000.00 Belanja alat olahraga 2040000.00 SMP 5 PANGGANG 1800000.00 Belanja Bola Volly 1200000.00 Belanja Bola Sepak 600000.00 SMP 3 SEMIN 2200000.00 belanja modal alat-alat olahraga 2200000.00 SMP 2 PURWOSARI 2000000.00 Belanja modal alat-alat olahraga 2000000.00 SMP 3 GIRISUBO 3900000.00 Belanja bola volley 1500000.00 Belanja bola kaki 1200000.00 Belanja bad tenis meja 500000.00 Belanja net tenis meja 400000.00 Belanja bola tenis meja 300000.00 SMP 4 SEMIN 1000000.00 Belanja modal alat olah raga 1000000.00 SMP 2 GIRISUBO 7000000.00 Standar sarana dan prasarana 7000000.00 Belanja alat olahraga,,,,,,,
1.01.1.01.01.16.19. ,PENGADAAN MEBELAIR SEKOLAH ,899099400,Lokasi Kegiatan: Wonosari Sumber Dana: PAD.DAU.SILPA.,,,,,,,
1.01.1.01.01.16.19.5.2.2. ,BELANJA BARANG DAN JASA ,35000000,,,,,,,,
1.01.1.01.01.16.19.5.2.2.01. ,Belanja Bahan Pakai Habis ,5000000,,,,,,,,
1.01.1.01.01.16.19.5.2.2.01.005. ,Belanja peralatan kebersihan dan bahan pembersih ,5000000, UPT TK/SD KECAMATAN PALIYAN 5000000.00 PENGEMBANGAN STANDAR SARANA DAN PRASARANA 5000000.00 SD PALIYAN I 2000000.00 Pengadaan tempat sampah 2000000.00 SD SODO 3000000.00 Belanja peralatan kebersihan dan bahan pembersih 3000000.00,,,,,,,
1.01.1.01.01.16.19.5.2.2.21. ,Belanja Hibah Barang yang akan diserahkan ,30000000, kepada Masyarakat/Pihak Ketiga,,,,,,,
1.01.1.01.01.16.19.5.2.2.21.001. ,Belanja Hibah Barang kepada Masyarakat ,30000000, DINAS PENDIDIKAN. PEMUDA DAN OLAHRAGA 30000000.00 Belanja modal pengadaan mebelair Laboratorium IPA dari dana DAU 30000000.00 SMP PGRI Playen 15000000.00 SMP Gotro Tanjungsari 15000000.00,,,,,,,
1.01.1.01.01.16.19.5.2.3. ,BELANJA  MODAL ,864099400,,,,,,,,
1.01.1.01.01.16.19.5.2.3.10. ,Belanja Modal Pengadaan Peralatan Kantor ,12600000,,,,,,,,
1.01.1.01.01.16.19.5.2.3.10.009. ,Belanja modal pengadaan papan tulis elektronik ,12600000, UPT TK/SD KECAMATAN PURWOSARI 12600000.00 SD KARANGNONGKO 2 1800000.00 Standar Sarana Prasarana 1800000.00 Belanja Pengadaan Papan Tulis / White Board 1800000.00 SD KARANGTENGAH 2 1800000.00 Standar Sarana Prasarana 1800000.00 Belanja Pengadaan Papan Tulis / White Board 1800000.00 SD GIRIASIH 1800000.00 Standar Sarana Prasarana 1800000.00 Belanja Pengadaan Papan Tulis / White Board 1800000.00 SD NANAS 1800000.00 Standar Sarana Prasarana 1800000.00 Belanja Pengadaan Papan Tulis / White Board 1800000.00 SD GIRIPURWO 1800000.00 Standar Sarana Prasarana 1800000.00 Belanja Pengadaan Papan Tulis / White Board 1800000.00 SD GIRITIRTO 1800000.00 Standar Sarana Prasarana 1800000.00 Belanja Pengadaan Papan Tulis / White Board 1800000.00 SD KLAMPOK 1800000.00 Standar Sarana Prasarana 1800000.00 Belanja Pengadaan Papan Tulis / White Board 1800000.00,,,,,,,
1.01.1.01.01.16.19.5.2.3.11. ,Belanja Modal Pengadaan Perlengkapan Kantor ,127860000,,,,,,,,
1.01.1.01.01.16.19.5.2.3.11.002. ,Belanja modal pengadaan almari ,105040000, UPT TK/SD KECAMATAN WONOSARI 8000000.00 STANDAR SARANA DAN PRASARANA 8000000.00 SD SIRAMAN I 2000000.00 Biaya pengadaan almari kelas 2000000.00 SD PIYAMAN II 6000000.00 Biaya pengadaan almari kelas 6000000.00 UPT TK/SD KECAMATAN TEPUS 3000000.00 STANDAR SARANA PRTASARAN 3000000.00 SD SIDOHARJO 3000000.00 Belanja pengadaan alamari Arsip 3000000.00 UPT TK/SD KECAMATAN SEMIN 8100000.00 STANDAR SARANA PRASARA 8100000.00 SD SEMIN I 2700000.00 Belanja Modal Pengadaan Almari 2700000.00 SD SEMIN II 5400000.00 Belanja Modal Pengadaan Almari 5400000.00 UPT TK/SD KECAMATAN SEMANU 15020000.00 STANDAR SARANA PRASARANA 15020000.00 SD Negeri Jragum 6000000.00 Belanja modal almari kelas 6000000.00 SD Negeri Kwangen 9020000.00 Belanja modal almari kelas 9020000.00 UPT TK/SD KECAMATAN PATUK 12000000.00 SD Panjatan 3000000.00 Belanja pengadaan almari kelas 3000000.00 SD Ngoro-oro 3000000.00 Belanja pengadaan almari kelas 3000000.00 SD Nglanggeran 1500000.00 Belanja pengadaan almari kelas 1500000.00 SD Sendangsari 3000000.00 Belanja pengadaan almari kelas 3000000.00 SD Terbah II 1500000.00 Belanja pengadaan almari kelas 1500000.00 UPT TK/SD KECAMATAN PANGGANG 37000000.00 SD WILOSO I 5000000.00 Standar Sarana dan Prasarana Belanja Pengadaan almari kelas 5000000.00 SD SAWAH Standar Sarana dan Prasarana SD SAWAH III 5000000.00 Standar Sarana dan Prasarana Belanja Pengadaan Almari 5000000.00 SD LEGUNDI II 5000000.00 Standar Sarana dan Prasarana Belanja Pengadaan Almari 5000000.00 SD PANGGANG I 5000000.00 Standar Sarana dan Prasarana Belanja Pengadaan almari kelas 5000000.00 SD GIRISEKAR 5000000.00 Standar Sarana dan Prasarana Belanja Pengadaan Almari 5000000.00 SD BANYUMENENG 5000000.00 Standar Sarana dan Prasarana Belanja Pengadaan Almari 5000000.00 TK NEGERI PANGGANG 2000000.00 Belanja Pengadaan almari kelas 2000000.00 Belanja Pengadaan Almari 5000000.00 UPT TK/SD KECAMATAN PALIYAN 5300000.00 PENGEMBANGAN STANDAR SARANA DAN PRASARANA 5300000.00 SD PALIYAN V 5300000.00 Belanja Modal Lemari Kelas 3750000.00 Belanja Modal Lemari Piala 1550000.00 UPT TK/SD KECAMATAN KARANGMOJO 5200000.00 SD GELARAN II 4200000.00 Pengadaan Almari sekolah 4200000.00 SD KARTANGMOJO III 700000.00 STANDAR SARANA DAN PRASARANA 700000.00 Belanja modal kotak P3K 300000.00 Belanja modal pengadaan almari katalok 400000.00 SD JETIS 300000.00 STANDAR SARANA DAN PRASARANA 300000.00 Belanja modal pengadaan almari Katolok 300000.00 SMP 1 PATUK 1920000.00 Belanja modal pengadaan almari dan rak untuk hasil katya 1920000.00 SMP 1 NGAWEN 3500000.00 Almari Kaca 3500000.00 SMP 1 PURWOSARI 6000000.00 Pengadaan almari kelas 6000000.00,,,,,,,
1.01.1.01.01.16.19.5.2.3.11.005. ,Belanja modal pengadaan white board ,15200000, UPT TK/SD KECAMATAN TEPUS 3600000.00 STANDAR SARANA PRASARAN 3600000.00 SD SIDOHARJO 3600000.00 Belanja White boat 3600000.00 UPT TK/SD KECAMATAN SEMANU 7300000.00 STANDAR SARANA DAN PRASARAN 7300000.00 SD Negeri Jragum 2800000.00 Belanja modal pengadaa white board 2800000.00 SD Negeri Semanu 4500000.00 Belanja modal pengadaan papan tulis black board bergaris geometri berkaki 4500000.00 UPT TK/SD KECAMATAN PALIYAN 1200000.00 PENGEMBANGAN STANDAR SARANA DAN PRASARANA 1200000.00 SD PALIYAN V 1200000.00 Belanja Modal Papan Tulis White Board 1200000.00 UPT TK/SD KECAMATAN NGLIPAR 1500000.00 SD CANDI III 1500000.00 STANDAR SARANA DAN PRASARANA 1500000.00 Pengadaan papn tulis white board 1500000.00 UPT TK/SD KECAMATAN KARANGMOJO 1600000.00 SD KARANGWETAN 1600000.00 Belanja white board 1600000.00,,,,,,,
1.01.1.01.01.16.19.5.2.3.11.012. ,Belanja Modal Tempat Sampah ,7620000, UPT TK/SD KECAMATAN SEMANU 6000000.00 STANDAR KOMPETENSI LULUSAN 6000000.00 SD Negeri Ngeposari 1000000.00 Pengadaan bak sampah 1000000.00 SD Negeri Kwangen 2000000.00 Pengadaan bak sampah 2000000.00 SD Negeri Dadapayu I 3000000.00 Pengadaan bak sampah 3000000.00 UPT TK/SD KECAMATAN KARANGMOJO 1620000.00 SD JETIS 1620000.00 PEMENUHAN STANDAR SARANA DAN PRASARANA 1620000.00 Belanja tempat sampah 1620000.00,,,,,,,
1.01.1.01.01.16.19.5.2.3.13. ,Belanja Modal Pengadaan Mebeulair ,723639400,,,,,,,,
1.01.1.01.01.16.19.5.2.3.13.001. ,Belanja modal pengadaan meja kerja ,42125000, UPT TK/SD KECAMATAN TEPUS 2000000.00 STANDAR SARAN APRASARANA 2000000.00 SD SIDOHARJO 2000000.00 Belanja Meja Guru 2000000.00 UPT TK/SD KECAMATAN SEMIN 2025000.00 STANDAR SARANA PRASARA 2025000.00 SD SEMIN I 2025000.00 Belanja Modal Pengadaan Meja kerja (1/2 Biro Jati) 2025000.00 UPT TK/SD KECAMATAN PATUK 38100000.00 UPT Patuk 1000000.00 Belanja pengadaan meja komputer 1000000.00 SD Bunder III 1600000.00 Belanja pengadaan meja kerja guru 1600000.00 SD Beji 3600000.00 Belanja pengadaan meja komputer 2000000.00 Belanja pengadaan meja kerja guru 1600000.00 SD Pengkok 2000000.00 Belanja pengadaan meja komputer 2000000.00 SD Semoyo 1600000.00 Belanja pengadaan meja kerja guru 1600000.00 SD Panjatan 3000000.00 Belanja pengadaan meja komputer 3000000.00 SD Patuk I 3500000.00 Belanja pengadaan meja komputer 3500000.00 SD Patuk II 1500000.00 Belanja pengadaan meja komputer 1500000.00 SD Ngoro-oro 3000000.00 Belanja pengadaan meja komputer 3000000.00 SD Nglanggeran 1500000.00 Belanja pengadaan meja komputer 1500000.00 SD Sendangsari 3000000.00 Belanja pengadaan meja komputer 3000000.00 SD Sidomulyo 2000000.00 Belanja pengadaan meja komputer 2000000.00 SD Nglegi I 1000000.00 Belanja pengadaan meja komputer 1000000.00 SD Sokasari 2400000.00 Belanja pengadaan meja kerja guru 2400000.00 SD Terbah II 1000000.00 Belanja pengadaan meja komputer 1000000.00 SD Baran 2400000.00 Belanja pengadaan meja kerja guru 2400000.00 SD Klepu 1000000.00 Belanja pengadaan meja komputer 1000000.00 PEMENUHAN STANDAR SARANA DAN PRASARANA 3000000.00 SD Bunder I 3000000.00 Belanja pengadaan meja komputer 3000000.00,,,,,,,
1.01.1.01.01.16.19.5.2.3.13.004. ,Belanja modal pengadaan kursi kerja ,9824000, UPT TK/SD KECAMATAN TEPUS 2324000.00 STANDAR SARANA PRASARAN S 2324000.00 SD WIDORO 2324000.00 Belanja kursi kerja Guru 2324000.00 UPT TK/SD KECAMATAN PATUK 7500000.00 SD Bunder III 800000.00 Belanja pengadaan kursi kerja guru 800000.00 SD Beji 800000.00 Belanja pengadaan kursi kerja guru 800000.00 SD Pengkok 2700000.00 Belanja pengadaan kursi kerja guru/kursi putar 2700000.00 SD Semoya 800000.00 Belanja pengadaan kursi kerja guru 800000.00 SD Sokasari 1200000.00 Belanja pengadaan kursi kerja guru 1200000.00 SD Baran 1200000.00 Belanja pengadaan kursi kerja guru 1200000.00,,,,,,,
1.01.1.01.01.16.19.5.2.3.13.007. ,Belanja modal pengadaan tempat tidur ,2000000, UPT TK/SD KECAMATAN TEPUS 2000000.00 STANDAR SARA PRASARANA 2000000.00 SD WIDORO 2000000.00 Belanja Tempat tidur UKS sekolah 2000000.00,,,,,,,
1.01.1.01.01.16.19.5.2.3.13.008. ,Belanja modal pengadaan sofa/meja kursi tamu ,9700000, UPT TK/SD KECAMATAN NGLIPAR 6000000.00 SD NATAH 3000000.00 Standar Sarana dan prasarana 3000000.00 Belanja Pengadaan Meja kursi tamu 3000000.00 SD NGLIPAR II 3000000.00 STANDAR PENGEMBANGAN SARANA DAN PRASARANA 3000000.00 Belanja pengadaan meja kursi tamu 3000000.00 SMP 2 PATUK 3700000.00 Standar sarana//prasarana 3700000.00,,,,,,,
1.01.1.01.01.16.19.5.2.3.13.009. ,Belanja modal pengadaan rak buku/tv/kembang ,68290400, UPT TK/SD KECAMATAN WONOSARI 16000000.00 STANDAR SARANA DAN PRASARANA 16000000.00 SD PIYAMAN I 12000000.00 Biaya pengadaan rak buku siswa 12000000.00 SD SIRAMAN I 1300000.00 Biaya pengadaan rak arsip 1300000.00 SD WONOSARI I 2700000.00 Biaya pengadaan rak hasil karya siswa 2700000.00 UPT TK/SD KECAMATAN TEPUS 4300000.00 STANDAR SARANA PRASARANA 4300000.00 SD PURWODADI I 2800000.00 Belanja Rak sepatu siswa 1500000.00 Belanja Rak Buku 1300000.00 SD WIDORO 1500000.00 Belanja Rak sepatu siswa 1500000.00 UPT TK/SD KECAMATAN TANJUNGSARI 2000000.00 SD KEMADANG 2000000.00 STANDAR SARANA DAN PRASARANA 2000000.00 Belanja Pengadaan Rak untuk Mushola 2000000.00 UPT TK/SD KECAMATAN SEMANU 6900000.00 STANDAR PROSES 6900000.00 SD Negeri Semanu 6900000.00 Pengadaan rak buku perpustakaan 6900000.00 UPT TK/SD KECAMATAN RONGKOP 24400000.00 Belanja Modal pengadaan Rak buku 24400000.00 Standar Sarana dan Prasarana 24400000.00 SD PETIR I 800000.00 Belanja modal pengadaan rak sepatu 800000.00 SD KERDONMIRI II 4800000.00 Belanja modal pengadaan rak hasil karya siswa 4800000.00 SD PAKEL II 3000000.00 Belanja modal pengadaan rak buku 3000000.00 SD YUYANG 4800000.00 Belanja modal pengadaan rak hasil karya siswa 4800000.00 SD BOTODAYAKAN 3000000.00 Belanja modal pengadaan rak hasil karya siswa 3000000.00 SD KARANGWUNI I 4800000.00 Belanja modal pengadaan  rak sepatu siswa 4800000.00 SD BARAN I 3200000.00 Belanja modal pengadaan rak hasil karya siswa 3200000.00 UPT TK/SD KECAMATAN GIRISUBO 2000000.00 STANDAR SARANA PRASARANA 2000000.00 SD WOTAWATI 2000000.00 Belanja Rak Buku 2000000.00 SMP 1 TANJUNGSARI 4290400.00 Belanja pengadaan rak buku perpustakaan 4290400.00 SMP 1 GEDANGSARI 6600000.00 Belanja Modal Pengadaan Rak Buku Perpustakaan 6600000.00 SMP 2 GEDANGSARI 1800000.00 Belanja modal pengadaan rak untuk hasil karya 1800000.00,,,,,,,
1.01.1.01.01.16.19.5.2.3.13.010. ,Belanja modal pengadaan meja kursi siswa ,591700000, DINAS PENDIDIKAN. PEMUDA DAN OLAHRAGA 580850000.00 Belanja pengadaan mebelair SD dari dana DAU 325000000.00 Belanja pengadaan meja dan kursi siswa SD dari dana DAU di 18 UPT TK&SD 325000000.00 Kecamatan SD Dadapayu II Semanu 13000000.00 SD Jambe Wonosari 13000000.00 SD Ngepoh Semin 13000000.00 SD Nglipar II Nglipar 13000000.00 SD Belik Tepus 13000000.00 SD Banyubening I Karangmojo 13000000.00 SD Umbulrejo Ponjong 13000000.00 SD Semin IV Semin 13000000.00 SD Tileng I Girisubo 13000000.00 SD Nggelaran II Karangmojo 13000000.00 SD N Gelaran II Karangmojo 13000000.00 SD N Ponjong III Ponjong 13000000.00 SD N Sidoharjo Tepus 13000000.00 SD N Banaran I. Playen 13000000.00 SD N Ngabean Ponjong 13000000.00 SD N Jeruksari Wonosari 13000000.00 SD N Kajar Wonosari 13000000.00 SD N Piyaman II Wonosari 13000000.00 SD N Pengkok. Patuk 13000000.00 SD N Semin I. Semin 13000000.00 SD N Tegalrejo. Girisubo 13000000.00 SD N Sigerung Nglipar 13000000.00 SD N Karangtengah Baru Wonosari 13000000.00 SD Bendo Ngawen 13000000.00 SD Siraman II Wonosari 13000000.00 DANA PENDUKUNG 11850000.00 Panitia pengadaan pekerjan barang 1550000.00 Ketua 650000.00 Sekretaris 500000.00 Anggota 400000.00 panitia penerima hasil pengadaan pekerjaan barang 2350000.00 Ketua 650000.00 Sekretaris 500000.00 Anggota 1200000.00 Dokumen tender 500000.00 ATK 300000.00 Foto kopi 250000.00 Makan dan minum rapat 200000.00 Belanja perjalanan dinas dalam daerah 4750000.00 Perjalanan dinas dalam rangka survey pemetaan 2550000.00 Golongan IV 1200000.00 Golongan III 950000.00 Golongan II 400000.00 Perjalanan dinas dalam rangka monitoring Mebelair 2200000.00 Golongan IV 1200000.00 Golongan III 1000000.00 Honorarium Panita Pelaksana Kegiatan Pengadaan Mebelair 1950000.00 Penanggung Jawab/PPK 650000.00 Ketua/PPTK 500000.00 Petugas Administrasi (2 orang) 800000.00 Pengadaan mebelair ruang kelas SMP 244000000.00 SMP 3 Wonosari 15000000.00 SMP 1 Playen 15000000.00 SMP 1 Paliyan 15000000.00 SMP 2 Paliyan 15000000.00 SMP 4 Playen 15000000.00 SMP 1 Nglipar 15000000.00 SMP Botodayaan 15000000.00 SMP 2 Tanjungsari 15000000.00 SMP 4 Ngawen 15000000.00 SMP 3 Gedangsari 15000000.00 SMP 3 Girisubo 30000000.00 SMP 4 Ponjong 15000000.00 SMP 4 Wonosari 15000000.00 SMP 2 Semin 15000000.00 Mebelair Lab IPA 15000000.00 SMP 2 Purwosari 15000000.00 DANA PENDUKUNG 4000000.00 ATK Kegiatan pengadaan mebelair ruang kelas 500000.00 Foto Copy 500000.00 makan dan minum rapat 600000.00 Perjalanan Dinas golongan IV 360000.00 Perjalanan Dinas Golongan III 500000.00 Perjalanan Dinas Golongan II 240000.00 Honor Pejabat Pengadaan 400000.00 Honorarium Pejabat Penerima hasil Pekerjaan 400000.00 dokumen tender 500000.00 UPT TK/SD KECAMATAN KARANGMOJO 2450000.00 SD TLOGOWARENG 2450000.00 Belanja meja siswa 1250000.00 Belanja Kursi siswa 1200000.00 SMP 2 SAPTOSARI 8400000.00 Belanja modal kursi dan meja siswa 8400000.00,,,,,,,
1.01.1.01.01.16.20. ,PENGADAAN PERLENGKAPAN SEKOLAH ,36770300,Lokasi Kegiatan: UPT NGLIPAR,,,,,,,
1.01.1.01.01.16.20.5.2.1. ,BELANJA PEGAWAI ,5360000,,,,,,,,
1.01.1.01.01.16.20.5.2.1.02. ,Honorarium Non PNS ,5360000,,,,,,,,
1.01.1.01.01.16.20.5.2.1.02.004. ,Upah/ongkos tenaga ,5360000, SMP 1 SEMANU 5360000.00 Upah tukang pembuatan kamar mandi 5000000.00 Upah tukang pemasangan wastafel 360000.00,,,,,,,
1.01.1.01.01.16.20.5.2.2. ,BELANJA BARANG DAN JASA ,22060300,,,,,,,,
1.01.1.01.01.16.20.5.2.2.02. ,Belanja Bahan/Material ,22060300,,,,,,,,
1.01.1.01.01.16.20.5.2.2.02.001. ,Belanja bahan baku bangunan ,20500000, SMP 1 SEMANU 20500000.00 Belanja bahan pembuatan kamar mandi 15000000.00 Belanja bahan pemasangan wastafel 1500000.00 Belanja wastafel 4000000.00,,,,,,,
1.01.1.01.01.16.20.5.2.2.02.004. ,Belanja bahan obat-obatan ,1560300, UPT TK/SD KECAMATAN NGLIPAR 760300.00 SD NGLIPAR II 760300.00 Standar Kompetensi Kelulusan 760300.00 Belanja Obat-obatan UKS 760300.00 SMP 3 PONJONG 800000.00 Belanja obat-obatan UKS 800000.00,,,,,,,
1.01.1.01.01.16.20.5.2.3. ,BELANJA  MODAL ,9350000,,,,,,,,
1.01.1.01.01.16.20.5.2.3.10. ,Belanja Modal Pengadaan Peralatan Kantor ,1000000,,,,,,,,
1.01.1.01.01.16.20.5.2.3.10.011. ,Belanja modal pengadaan tabung pemadam kebakaran ,1000000, SMP 2 PALIYAN 1000000.00 Pengadaan tabung pemadam kebakaran untuk laboratorium IPA 1000000.00,,,,,,,
1.01.1.01.01.16.20.5.2.3.11. ,Belanja Modal Pengadaan Perlengkapan Kantor ,7000000,,,,,,,,
1.01.1.01.01.16.20.5.2.3.11.007. ,Belanja modal AC ,5350000, SMP 2 SEMANU 5350000.00 Standar Sarana Prasarana Pengadaan AC Ruang Lab ICT-EQEP 3100000.00 Pengadaan Kipas Angin Ruang Ketrampilan 2250000.00,,,,,,,
1.01.1.01.01.16.20.5.2.3.11.011. ,Belanja Modal Kipas Angin ,1650000, SMP 3 KARANGMOJO 1650000.00 Belanja pengadaan kipas angina ruang TI 1650000.00,,,,,,,
1.01.1.01.01.16.20.5.2.3.15. ,Belanja Modal Pengadaan Penghias Ruangan ,1350000, Rumah Tangga,,,,,,,
1.01.1.01.01.16.20.5.2.3.15.002. ,Belanja modal pengadaan jam dinding/meja ,1350000, UPT TK/SD KECAMATAN KARANGMOJO 600000.00 SD JETIS 600000.00 STANDAR SARANA DAN PRASARANA 600000.00 Belanja jam dinding 600000.00 SMP 2 PALIYAN 750000.00 Pengadaan jam dinding untuk ruang praktek 750000.00,,,,,,,
