Judul,Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,
1.21 . 1.21.01 . 13 . 05 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,85500,,
1.21 . 1.21.01 . 13 . 05 . 5 . 2 . 2 . 12 ,Belanja Pakaian Dinas dan Atributnya ,17850000,,
1.21 . 1.21.01 . 13 . 05 . 5 . 2 . 2 . 12 . 04 ,Belanja Pakaian Dinas Harian (PDH) ,17850000,,
1.21 . 1.21.01 . 25 ,Program Peningkatan Ketahanan Pangan ,118875000,,
1.21 . 1.21.01 . 25 . 03 ,Pengembangan Lembaga Distribusi Pangan Masyarakat (LDPM) ,10000000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 1 ,Belanja Pegawai ,3300000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 1 . 01 ,Honorarium PNS ,3300000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,3300000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,6700000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,620000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,620000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,230000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,230000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,3600000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,1500000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 11 . 04 ,"Belanja makanan dan minuman pelatihan sosialisasi penyuluhan ",2100000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,2250000,,
1.21 . 1.21.01 . 25 . 03 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,2250000,,
1.21 . 1.21.01 . 25 . 10 ,Pengembangan Kawasan Rumah Pangan Lestari ,54220000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 1 ,Belanja Pegawai ,6150000,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 1 . 01 ,Honorarium PNS ,6150000,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,6150000,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,48070000,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,644850,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,644850,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,675150,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,675150,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,11020000,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,7380000,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 11 . 04 ,"Belanja makanan dan minuman pelatihan sosialisasi penyuluhan ",3640000,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,5730000,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,3960000,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,1770000,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 23 ,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga ,30000000,,
1.21 . 1.21.01 . 25 . 10 . 5 . 2 . 2 . 23 . 01 ,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat ,30000000,"KWT Akur Kemesu Banjararum Kalibawang"Polibag kecil   "3 kg x 35.000 00 = 105.000 00" Pupuk organik   "1 rit colt x 250.000 00 = 250.000 00" Bibit cabe"2 bungkus x 115.000 00 = 230.000 00" Bibit terong   "2 bungkus x 30.000 00 = 60.000 00" Bibit Kangkung "2 bungkus x10.000 00 = 20.000 00" Bibit Loncang   "2 bungkus x 35.000 00 = 70.000 00" Bibit seledri   "2 bungkus x 40.000 00 = 80.000 00" Bibit Sawi hijau "2 bungkus x 10.000 00 = 20.000 00" Bibit pepaya   "2 bungkus x 100.000 00 = 200.000 00" Pestisida "1 botol x 85.000 00 = 85.000 00" Paranet "60 m x 30.000 00 = 1.800.000 00" Gembor "2 buah x 40.000 00 = 80.000 00" "Kelompok Pengembangan Toga  Secang  Sendangsari  Pengasih"Bibit Kangkung "2 bungkus x 10.000 00 = 20.000 00" Bibit Loncang "2 bungkus x 35.000 00 = 70.000 00" Bibit Seledri "2 bungkus x 40.000 00 = 80.000 00"Bibit sawi hijau "2 bungkus x10.000 00 = 20.000 00" Bibit pepaya "2 bungkus x 100.000 00 = 200.000 00"Pestisida "1 botol x 85.000 00 = 85.000 00"Paranet"60 m x 30.000 00 = 1.800.000 00" Gembor "2 buah x 40.000 00 = 80.000 00" Polibag kecil "3 kg x 35.000 00 = 105.000 00" Pupuk Organik "1 rit colt x 250.000 00 = 250.000 00"Bibit Cabe "2 bungkus x 115.000 00 = 230.000 00" Bibit terong "2 bungkus x 30.000 00 = 60.000 00" "Kelompok Pengembangan Toga  Gedangan  Sentolo  Sentolo"Polibag kecil "3 kg x 35.000 00 = 105.000 00"Pupuk Organik "1 rit colt x 250.000 00 = 250.000 00" Bibit Cabe "2 bungkus x 115.000 00 = 230.000 00" Bibit terong "2 bungkus x 30.000 00 = 60.000 00" Bibit Kangkung"2 bungkus x 10.000 00 = 20.000 00" Bibit Loncang "2 bungkus x 35.000 00 = 70.000 00" Bibit Seledri "2 bungkus x 40.000 00 = 80.000 00" Bibit sawai hijau "2 bungkus x 10.000 00 = 20.000 00" Bibit pepaya "2 bungkus x 100.000 00 = 200.000 00" Pestisida "1 botol x 85.000 00 = 85.000 00"Paranet "60 m x 30.000 00 = 1.800.000 00"Gembor"2 buah x 40.000 00 = 80.000 00" "KWT lestari MulyoNgentak  Ngestiharjo  Wates"Polibag kecil"3 kg x 35.000 00 = 105.000 00" Pupuk Organik"1 rit colt x 250.000 00 = 250.000 00" Bibit Cabe "2 bungkus x 115.000 00 = 230.000 00"Bibit Teron"2 bungkus x 30.000 00 = 60.000 00"Bibit Kangkung "2 bugkus x 10.000 00 = 20.000 00"Bibit Loncang"2 bungkus x 35.000 00 = 70.000 00" Bibit Seledri "2 bungkus x 40.000 00 = 80.000 00"Bibit Sawi Hijau"2 bungkus x 10.000 00 = 20.000 00" Bibit pepaya "2 bungkus x 100.000 00 = 200.000 00" Pestisida "1 botol x 85.000 00 = 85.000 00" Paranet "60 m x 30.000 00 = 1.800.000 00" Gembor "2 buah x 40.000 00 = 80.000 00" "KWT Melati  Kretek  Glagah  Temon"Polibag kecil "3 kg x 35.000 00 = 105.000 00" PupukOrganik "1 rit colt x 250.000 00 = 250.000 00" Bibit Cabe "2 bungkus x 115.000 00 = 230.000 00" Bibit terong"2 bungkus x 30.000 00 = 60.000 00" Bibit Kangkung"2 bungkus x 10.000 00 = 20.000 00" Bibit Loncang "2 bungkus x35.000 00 = 70.000 00" Bibit Seledri"2 bungkus x 40.000 00 = 80.000 00" Bibit SawiHijau "2 bungkus x 10.000 00 = 20.000 00" Bibit pepaya "2 bungkus x 100.000 00 = 200.000 00"Pestisida"1 botol x 85.000 00 = 85.000 00" Paranet "60 m x 30.000 00 = 1.800.000 00" Gembor "2 buah x 40.000 00 = 80.000 00" "KWT Melati  Kayugede  Gerbosari  Samigaluh"Polibag kecil"3 kg x 35.000 00 = 105.000 00" Pupuk Organik"1 rit colt x 250.000 00 = 250.000 00"Bibit Cabe "2 bungkus x 115.000 00 = 230.000 00" Bibit Terong "2 bungkus x 30.000 00 = 60.000 00" Bibit Kangkung"2 bungkus x 10.000 00 = 20.000 00"Bibit Loncang "2 bungkus x35.000 00 = 70.000 00" Bibit Seledri"2 bungkus x 40.000 00 = 80.000 00" Bibit Sawi Hijau"2 bungkus x 10.000 00 = 20.000 00" Bibit pepaya"2 bungkus x 100.000 00 = 200.000 00" Pestisida "1 botol x 85.000 00 = 85.000 00" Paranet "60 m x 30.000 00 =1.800.000 00" Gembor"2 buah x 40.000 00 = 80.000 00""KWT Setya Karya  Sebatang  Hargotirto  Kokap"Polibagkecil "3 kg x 35.000 00 = 105.000 00" Pupuk Organik"1 rit colt x 250.000 00 = 250.000 00"BibitCabe"2 bungkus x 115.000 00 = 230.000 00" Bibit Terong "2 bungkus x 30.000 00 = 60.000 00" Bibit Kangkung "2 bungkus x 10.000 00 = 20.000 00" Loncang "2 bungkus x 35.000 00 = 70.000 00" Bibit Seledri "2 bungkus x 40.000 00 = 80.000 00" Bibit Sawi Hijau "2 bungkus x 10.000 00 = 20.000 00" Bibit Pepaya   "2 bungkus x 100.000 00 = 200.000 00" Pestisida   "1 botol x 85.000 00 = 85.000 00"Paranet   "60 m x 30.000 00 = 1.800.000 00"Gembor   "2 buah x 40.000 00 = 80.000 00" "KelompokPengembangan Toga Sumber Rejeki  Pundak Kidul  KembangNanggulan"Polibag Kecil "3 kg x 35.000 00 = 105.000 00"Pupuk Organik   "1 rit colt x 250.000 00 = 250.000 00" Bibit cabe"2 bungkus x 115.000 00 = 230.000 00"Bibit terong "2 bungkus x 30.000 00 = 60.000 00"Bibit Kangkung   "2 bungkus x 10.000 00 = 20.000 00" Bibit Loncang   "2 bungkus x35.000 00 = 70.000 00" Bibit Seledri   "2 bungkus x 40.000 00 = 80.000 00" Bibit sawi hijau   "2 bungkus x 10.000 00 = 20.000 00" Bibit pepaya "2 bungkus x 100.000 00 = 200.000 00" Pestisida "1 botol x 85.000 00 = 85.000 00"Paranet "60 m x 30.000 00 = 1.800.000 00" Gembor "2 buah x 40.000 00 = 80.000 00" "Kelompok Pengembangan Toga  Gebang  Plumbon  Temon"Polibag kecil "3 kg x 35.000 00 = 105.000 00" Pupuk Organik "1 rit colt x 250.000 00 = 250.000 00" Bibit cabe "2 bungkus x 115.000 00 = 230.000 00" Bibit terong "2 bungkus x 30.000 00 = 60.000 00" Bibit Kangkung "2 bungkus x 10.000 00 = 20.000 00" Bibit Loncang "2 bungkus x 35.000 00 = 70.000 00"Bibit Seledri "2 bungkus x 40.000 00 = 80.000 00"Bibit sawi hijau "2 bungkus x 10.000 00 = 20.000 00" Bibit Pepaya "2 bungkus x 100.000 00 = 200.000 00" pestisida "1 botol x 85.000 00 = 85.000 00" Paranet "60 m x 30.000 00 = 1.800.000 00"Gembor "2 buah x 40.000 00 = 80.000 00""KWT Hikmah  Sempu  Bumirejo  Lendah"Polibag kecil   "3 kg x 35.000 00 = 105.000 00" Pupuk Organik "1 rit colt x 250.000 00 = 250.000 00" Bibit Cabe "2 bungkus x 115.000 00 = 230.000 00" Bibit Terong "2 bungkus x 30.000 00 = 60.000 00"Bibit Kangkung "2 bungkus x 10.000 00 = 20.000 00"Bibit Loncang "2 bungkus x35.000 00 = 70.000 00"Bibit Seledri "2 bungkus x 40.000 00 = 80.000 00" Bibit Sawi Hijau "2 bungkus x 10.000 00 = 20.000 00" Bibit pepaya "2 bungkus x 100.000 00 = 200.000 00" Pestisida "1 botol x 85.000 00 = 85.000 00" Paranet "60 m x 30.000 00 = 1.800.000 00" Gembor "2 buah x 40.000 00 = 80.000 00",
1.21 . 1.21.01 . 25 . 11 ,Pemberdayaan Desa Rawan Pangan ,39655000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 1 ,Belanja Pegawai ,3800000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 1 . 01 ,Honorarium PNS ,3800000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,3800000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,35855000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,613225,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,613225,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,656775,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,656775,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,18840000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,8340000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 11 . 04 ,"Belanja makanan dan minuman pelatihan sosialisasi penyuluhan ",10500000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,8345000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,3125000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,5220000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 23 ,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga ,6500000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 23 . 01 ,Belanja Barang Yang Akan Diserahkan Kepada Masyarakat ,6500000,"KWT Sri Kanthil	 Ngaseman	 Hargorejo	 Kokap"Ayam betina		"55 ekor x 80.000	00 = 4.400.000	00"	Ayam Jantan	"10 ekor x 150.000	00 = 1.500.000	00"Vaksin nd (Sarana Kesehatan)	"10 ampul x 40.000	00 = 400.000	00"Vitachick (sarana kesehatan)	"20 bungkus x 10.000	00 = 200.000	00"	,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,900000,,
1.21 . 1.21.01 . 25 . 11 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,900000,,
1.21 . 1.21.01 . 25 . 12 ,Pengawasan dan Pembinaan Keamanan Pangan Segar ,15000000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,15000000,,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,525500,,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,525500,,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,7087000,,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2 . 02 . 06 ,Belanja Bahan Percontohan ,7087000,,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,367500,,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,367500,,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,5000000,,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2 . 11 . 04 ,"Belanja makanan dan minuman pelatihan,5000000,,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,2020000,,
1.21 . 1.21.01 . 25 . 12 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,2020000,,
1.21 . 1.21.01 . 26 ,Program Pemberdayaan Penyuluhan ,950354275,,
1.21 . 1.21.01 . 26 . 01 ,Pemberdayaan Kelembagaan Tani ,115000000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 1 ,Belanja Pegawai ,67400000,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 1 . 01 ,Honorarium PNS ,3120000,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,3120000,Honorarium Tim Komisi Penyuluhan"18 orang/bulan x 140.000	00 = 2.520.000	00",
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,64280000,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,62000000,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 1 . 02 . 04 ,Honorarium Tim ,2280000,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,47600000,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,2525200,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,2525200,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,1979800,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,1979800,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,37655000,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,37655000,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,5440000,,
1.21 . 1.21.01 . 26 . 01 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,5440000,,
1.21 . 1.21.01 . 26 . 02 ,Lomba Ketahanan Pangan dan Penyuluhan ,52863000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 1 ,Belanja Pegawai ,5815000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 1 . 01 ,Honorarium PNS ,5215000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,5215000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,600000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,600000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,47048000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,4138675,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,4138675,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 02 ,Belanja Bahan/Material ,720000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 02 . 06 ,Belanja Bahan Percontohan ,720000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,549325,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,549325,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,1150000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 10 . 05 ,Belanja Sewa Tenda ,800000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 10 . 07 ,Belanja Sewa Sound System ,350000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,33615000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,25465000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 11 . 04 ,"Belanja makanan dan minuman pelatihan sosialisasi penyuluhan ",8150000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,4875000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,4875000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,350000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,350000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 28 ,Belanja Hadiah atas Prestasi dan Penghargaan ,1650000,,
1.21 . 1.21.01 . 26 . 02 . 5 . 2 . 2 . 28 . 01 ,Belanja Hadiah Atas Prestasi ,1650000,,
1.21 . 1.21.01 . 26 . 03 ,Peningkatan Kapasitas dan Penilaian Kinerja Penyuluh ,750631275,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 1 ,Belanja Pegawai ,7560000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 1 . 01 ,Honorarium PNS ,4680000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 1 . 01 . 01 ,Honorarium Panitia Pelaksana Kegiatan ,4680000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 1 . 02 ,Honorarium Non PNS ,2880000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 1 . 02 . 03 ,Honorarium Harian ,2880000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,63913525,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,8049000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 01 . 01 ,Belanja Alat Tulis Kantor ,8049000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 06 ,Belanja Cetak dan Penggandaan ,4364525,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 06 . 01 ,Belanja Cetak ,570000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 06 . 02 ,Belanja Penggandaan ,3794525,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 11 ,Belanja Makanan dan  Minuman ,41150000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 11 . 02 ,Belanja Makanan Dan Minuman Rapat ,29070000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 11 . 04 ,"Belanja makanan dan minuman pelatihan sosialisasi penyuluhan ",12080000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 15 ,Belanja Perjalanan Dinas ,5450000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 15 . 01 ,Belanja Perjalanan Dinas Dalam Daerah ,1160000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 15 . 02 ,Belanja Perjalanan Dinas Luar Daerah ,4290000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 27 ,Belanja Tenaga Ahli/Instruktur/Narasumber ,2400000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 27 . 01 ,Jasa Tenaga Ahli/Instruktur/Narasumber ,2400000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 28 ,Belanja Hadiah atas Prestasi dan Penghargaan ,2500000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 2 . 28 . 01 ,Belanja Hadiah Atas Prestasi ,2500000,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 3 ,Belanja Modal ,679157750,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 3 . 49 ,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Kerja,679157750,,
1.21 . 1.21.01 . 26 . 03 . 5 . 2 . 3 . 49 . 01 ,Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Kantor,679157750,Rehabilitasi/Renovasi BP3K Kec. Girimulyo"Rehabilitasi/Renovasi BP3K Kec. Girimulyo (DAK Pertanian Rp. 272.727.273	- DAU Rp. 27.272.727	-)"	"1 unit x 300.000.000	00 = 300.000.000	00"	Rehabilitasi/Renovasi BP3K Kec. Wates"Rehabilitasi/Renovasi BP3K Kec. Wates (DAK Pertanian Rp. 272.727.273	- DAU Rp. 27.272.727	-)"	"1 unit x 300.000.000	00 = 300.000.000	00"	Rehabilitasi/Renovasi BP3K Kec. Kalibawang	Rehabilitasi/Renovasi  BP3K Kec.Kalibawang (DAK Pertanian : 22.727.273 DAU:2.272.727)	"1 unit x 25.000.000	00 = 25.000.000	00"	Konsultan Perencana	Konsultan Perencanan	"1 paket x 27.000.000	00 = 27.000.000	00"	Konsultan Pengawas	"1 paket x 19.400.000	00 = 19.400.000	00"	Panitia Penerima Barang dan Jasa	Ketua"2 orang/paket x 350.000	00 = 700.000	00"	Sekretaris"2 orang/paket x 300.000	00 = 600.000	00"Anggota	"2 orang/paket x 250.000	00 = 500.000	00"Administrasi Pengadaan ( AP DAK)		Kertas HVS 70 gram folio	"4 rim x 45.000	00 = 180.000	00"	Stopmap plastik folio	"8 buah x 6.500	00 = 52.000	00"Stopmap kertas"20 buah x 800	00 = 16.000	00"	Tinta refill komputer	"2 dos x 36.500	00 = 73.000	00"Kertas NCR putih"1 rim x 56.000	00 = 56.000	00"	Foto Copy dokumen dan laporan	"3	050 lembar x 175	00 = 533.750	00"Rapat pengadaan ( Adm DAK)	"100 os x 25.000	00 = 2.500.000	00"Perjalanan Dinas dalam daerah Gol IV	"8 op x 45.000	00 = 360.000	00"	Perjalanan dinas dalam daerah Gol III	"20 op x 40.000	00 = 800.000	00"	Kertas NCR warna warni"2 rim x 56.000	00 = 112.000	00"	Pejabat pengadaan dan pejabat penerima	Pejabat pengadaan"3 orang x 250.000	00 = 750.000	00"Pejabat penerima	"3 orang x 175.000	00 = 525.000	00"	,
1.21 . 1.21.01 . 26 . 04 ,Pengkajian dan Pengembangan Teknologi Tepat Guna ,10000000,Sumber Dana : Lokasi Kegiatan : Kabupaten Kulon Progo,
1.21 . 1.21.01 . 26 . 04 . 5 . 2 . 2 ,Belanja Barang dan Jasa ,10000000,,
1.21 . 1.21.01 . 26 . 04 . 5 . 2 . 2 . 01 ,Belanja Bahan Pakai Habis ,417500,,
