Judul,PENJABARAN APenjabaran Anggaran Pendaptan dan Belanja DaerahPBD,,
1.12 . 1.12.01 . 06 . 01 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,1000000,"APBD
 Honorarium Panitia Pelaksana KegiatanPenanggungjawab0 ok x 225.000,00 = 0,00
Ketua0 ok x 200.000,00 = 0,00Sekretaris0 ok x 175.000,00 = 0,00
Anggota0 ok x 100.000,00 = 0,00
Uang LemburUang lembur PNS50 oh x 20.000,00 = 1.000.000,00
Honorarium Pelaksana KegiatanHonorarium Petugas Entry Data0 ok x 200.000,00 = 0,00"
1.12 . 1.12.01 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,30950000,
1.12 . 1.12.01 . 06 . 01 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,1500000,
1.12 . 1.12.01 . 06 . 01 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,1500000,"APBD
 Belanja ATK1 pkt x 1.500.000,00 = 1.500.000,00"
1.12 . 1.12.01 . 06 . 01 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,2150000,
1.12 . 1.12.01 . 06 . 01 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,2150000,"APBD 
Belanja penggandaan1 pkt x 2.000.000,00 = 2.000.000,00
Jilid10 bk x 15.000,00 = 150.000,00"
1.12 . 1.12.01 . 06 . 01 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,27300000,
1.12 . 1.12.01 . 06 . 01 . 5 . 2 . 2 . 11 . 04,Belanja makanan dan minuman Lembur,2625000,"APBD 
Belanja makanan dan minuman lembur150 oh x 17.500,00 = 2.625.000,00"
1.12 . 1.12.01 . 06 . 01 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,24675000,"APBD
 Belanja makanan dan minuman pelaksana kegiatan
Makan minum pembinaan lengkap1,140 oh x 20.000,00 = 22.800.000,00
Makan minum snack/akomodasi rakor pembahasan Program BKK PP KB25 oh x 75.000,00 = 1.875.000,00"
1.12 . 1.12.01 . 15,Program Keluarga Berencana,2686780000,
1.12 . 1.12.01 . 15 . 02,Pelayanan KIE,791885000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Masyarakat memahamni program KB KR
Target : 1.225 orang"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 1,Belanja Pegawai,52850000,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD
 Honorarium Panitia Pelaksana KegiatanKetua Tim0 oh x 200.000,00 = 0,00
Sekretaris Tim0 oh x 150.000,00 = 0,00
Anggota Tim0 oh x 100.000,00 = 0,00
Honor Narasumber KIE IMP0 or x 200.000,00 = 0,00
Honor Narasumber Promosi dan KIE Program KB0 or x 200.000,00 = 0,00
Honor Pengadaaan0 or x 875.000,00 = 0,00
Honor PPK0 or x 350.000,00 = 0,00
Honor Pejabat pengadaan0 or x 300.000,00 = 0,00
""Honor pejabat penerima barang Ketua)""0 or x 225.000,00 = 0,00
Belanja Barang dan JasaBelanja ATK0 pkt x 575.000,00 = 0,00
Belanja Konsumsi KegiatanMinum, makan, snack rapat persiapan dan evaluasi0 or x 25.000,00 = 0,00
Minum, snack, makan kunsumsi tamu0 or x 25.000,00 = 0,00
Minum, snack, makan konsumsi pemain0 or x 25.000,00 = 0,00
Minum, snack, makan konsumsi KIE oleh IMP0 or x 25.000,00 = 0,00
Minum, snack, makan konsumsi Promosi dan KIE Program KB0 or x 25.000,00 = 0,00
Belanja makan minum petugas mupen (4 or x 10 keg)0 or x 25.000,00 = 0,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 1 . 02,Honorarium Non PNS,52850000,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 1 . 02 . 02,Honorarium Pegawai Honorer/Tidak Tetap,52850000,"APBD
 Honor Harian
Honor peserta KIE1,225 or x 30.000,00 = 36.750.000,00
Honor petugas mupen KB (4 or x 17 keg)68 or x 75.000,00 = 5.100.000,00
Honorarium pelaksana kegiatanHonor pemain20 or x 250.000,00 = 5.000.000,00
Honor wiyogo20 or x 150.000,00 = 3.000.000,00
Honor bintang tamu3 or x 1.000.000,00 = 3.000.000,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,739035000,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,86195000,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,29495000,"APBD 
Belanja ATK1 pkt x 695.000,00 = 695.000,00
Belanja ATK (DAK) : 12 BP x 12 bln144 bln x 200.000,00 = 28.800.000,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 01 . 06,Belanja Bahan Bakar Minyak/Gas,56700000,"APBD
 Distribusi Alat Kontrasepsi (DAK)
Distribusi alat kontrasepsi (DAK): 54 klinik KB x 6 frek x 175.000,-324 frek x 175.000,00 = 56.700.000,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,27600000,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 03 . 06,Belanja Kawat/Faksimili/Internet/Intranet/TV Kabel/TV Satelit,21600000,"APBD 
Belanja Langganan Internet
""Belanja langganan internet (DAK) 12 BP x 12 bln)""144 bln x 150.000,00 = 21.600.000,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,3000000,"APBD 
Belanja dekorasi3 pkt x 1.000.000,00 = 3.000.000,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 03 . 15,Belanja Publikasi,3000000,"APBD
 Belanja publikasi3 pkt x 1.000.000,00 = 3.000.000,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 05,Belanja Perawatan Kendaraan Bermotor,4080000,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 05 . 03,Belanja Bahan Bakar Minyak/Gas Dan Pelumas,4080000,"APBD
 Belanja bahan bakar minyak/gas dan oliOpereasional mobil unit penerangan17 keg x 120.000,00 = 2.040.000,00
Operasional genset17 keg x 120.000,00 = 2.040.000,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,24250000,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 06 . 01,Belanja Cetak,24250000,"APBD 
Belanja cetakBanner75 bh x 150.000,00 = 11.250.000,00
Leaflet1,500 lbr x 2.000,00 = 3.000.000,00
Spanduk100 buah x 100.000,00 = 10.000.000,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 10,Belanja Sewa Perlengkapan dan Peralatan Kantor,58160000,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 10 . 13,Belanja sewa peralatan dan perlengkapan kegiatan,58160000,"APBD 
Belanja sewa peralatan dan perlengkapan kegiatan
Kursi VIP20 bh x 5.000,00 = 100.000,00
Kursi300 bh x 0,00 = 0,00
Meja dan taplak12 bh x 5.000,00 = 60.000,00
Sewa tenda5 bh x 400.000,00 = 2.000.000,00
Sewa sound system1 set x 1.000.000,00 = 1.000.000,00
Sewa genset1 set x 1.000.000,00 = 1.000.000,00
Sewa panggung1 set x 1.000.000,00 = 1.000.000,00
Sewa pakaian pemain20 set x 150.000,00 = 3.000.000,00
Sewa gamelan1 set x 5.000.000,00 = 5.000.000,00
Belanja rangka papan KIERangka papan KIE9 set x 4.000.000,00 = 36.000.000,00
Banner KIE36 lembar x 250.000,00 = 9.000.000,00
Videotrone0 paket x 48.675.000,00 = 0,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,511150000,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,475700000,"APBD
 Belanja Makan Minum Rapat
Belanja Makan Minum Rapat Persiapan dan Evaluasi20 or x 25.000,00 = 500.000,00
Belanja makan minum rapat Penyuluhan (DAK): 12 BP x 96 frek x 50 orang57,600 frek x 7.500,00 = 432.000.000,00
Belanja makan minum staf meeting (DAK): 12 BP x 48 frek x 8 or4,608 frek x 7.500,00 = 34.560.000,00
""Belanja konsumsi olah data (DAK): 12 BP x 48 frek x 2 or""1,152 frek x 7.500,00 = 8.640.000,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,35450000,"APBD
 Konsumsi Pemain, Wiyaga, Bintang TamuKonsumsi Tamu75 or x 25.000,00 = 1.875.000,00
Minum , Makan , Snack50 or x 25.000,00 = 1.250.000,00
Konsumsi KIE oleh IMPMinum, Makan, Snack425 or x 25.000,00 = 10.625.000,00
Promosi dan KIE Program KBMinum, Makan, Snack800 or x 25.000,00 = 20.000.000,00
Makan Minum Petugas MupenMinum , Makan, Snack68 or x 25.000,00 = 1.700.000,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 20,Belanja Pemeliharaan,14400000,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 20 . 05,Belanja Pemeliharan Gedung dan Bangunan,14400000,"APBD 
Belanja pemeliharaan balai penyuluhan (DAK)
Belanja pemeliharaan balai penyuluhan (DAK): 12 BP x 12 BL144 BL x 100.000,00 = 14.400.000,00"
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",13200000,
1.12 . 1.12.01 . 15 . 02 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,13200000,"APBD 
Honor NarasumberHonor Narasumber KIE IMP34 or x 200.000,00 = 6.800.000,00
Honor Narasumber Promosi dan KIE Program KB32 or x 200.000,00 = 6.400.000,00"
1.12 . 1.12.01 . 15 . 05,Pembinaan Keluarga Berencana,1460150000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Terjalinnya kemitraan dengan IMP
Target : 119.256 akseptor"
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 1,Belanja Pegawai,1456150000,
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 1 . 02,Honorarium Non PNS,1456150000,
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 1 . 02 . 02,Honorarium Pegawai Honorer/Tidak Tetap,302500000,"APBD 
Honor Tidak Tetap Penguat PLKB
Honor Penguat PLKB242 ob x 1.250.000,00 = 302.500.000,00"
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 1 . 02 . 06,Honorarium Petugas Pendamping Kegiatan,1153650000,"APBD
 Honorarium Kader Pendamping pelayanan KBSub PPKBD RT53,910 bln x 15.000,00 = 808.650.000,00
PPKBD Dusun9,000 bln x 20.000,00 = 180.000.000,00
Koordinator PPKBD Desa825 bln x 200.000,00 = 165.000.000,00"
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,4000000,
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,500000,
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,500000,"APBD 
Belanja ATK1 pkt x 500.000,00 = 500.000,00"
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,500000,
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,500000,"APBD
 Belanja PenggandaanBelanja Penggandaan / Fotocopy1 pkt x 500.000,00 = 500.000,00"
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,3000000,
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,1500000,"APBD
 Belanja Makan Minum Rapatmakan minum rapat60 org x 25.000,00 = 1.500.000,00"
1.12 . 1.12.01 . 15 . 05 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,1500000,"APBD
Belanja Makan minum pelaksanaan kegiatan
makan minum snack rekruitmen20 org x 25.000,00 = 500.000,00
Konsumsi Peserta Rekruitmen100 org x 10.000,00 = 1.000.000,00"
1.12 . 1.12.01 . 15 . 06,Pengadaan sarana mobilitas tim KB keliling,10100000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Terlaksananya pengadaan sarana dan obat side-effect pelayanan KB
Target : 27 Puskesmas"
1.12 . 1.12.01 . 15 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,10100000,
1.12 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 02,Belanja Bahan/Material,10000000,
1.12 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 02 . 04,Belanja Bahan Obat-Obatan,10000000,"APBD
 Belanja obat-obatanBetadine150 btl x 30.000,00 = 4.500.000,00
Amoxicilin300 strip x 5.000,00 = 1.500.000,00
Alkohol 70%100 btl x 30.000,00 = 3.000.000,00
Sarung tangan100 biji x 7.500,00 = 750.000,00
Asam mavenamat100 strip x 2.500,00 = 250.000,00"
1.12 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,25000,
1.12 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,25000,"APBD
 Belanja cetak/penggandaanFoto copy1 pkt x 25.000,00 = 25.000,00"
1.12 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,75000,
1.12 . 1.12.01 . 15 . 06 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,75000,"APBD 
Belanja makanan dan minumanSnack dan mium10 or x 7.500,00 = 75.000,00"
1.12 . 1.12.01 . 15 . 15,Monitoring dan evaluasi Yandu KB Kesehatan dan kespro dalam rangka TNI manunggal,46250000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Terlaksananya monev pelayanan terpadu KB & KESPRO
Target : 1.250 orang"
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 1,Belanja Pegawai,0,
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD
 Honorarium panitia pelaksana kegiatanKetua0 or x 200.000,00 = 0,00
Sekretaris0 or x 150.000,00 = 0,00
Anggota0 or x 100.000,00 = 0,00"
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,46250000,
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,500000,
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,500000,"APBD
 Belanja Alat Tulis KantorAlat Tulis Kantor1 pkt x 500.000,00 = 500.000,00"
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,750000,
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,750000,"APBD
 Belanja dekorasiDekorasi puncak acara monev1 pkt x 750.000,00 = 750.000,00"
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 10,Belanja Sewa Perlengkapan dan Peralatan Kantor,9950000,
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 10 . 01,Belanja Sewa Meja Kursi,9950000,"APBD 
Belanja sewa meja kursiSewa kursi600 bh x 2.500,00 = 1.500.000,00
Sewa meja dan taplak100 bh x 4.000,00 = 400.000,00
Sewa kursi VVIP20 bh x 60.000,00 = 1.200.000,00
Sewa meja VVIP5 bh x 20.000,00 = 100.000,00
Sewa tenda20 unit x 250.000,00 = 5.000.000,00
Sewa sound system1 unit x 1.000.000,00 = 1.000.000,00
Sewa genset1 bh x 750.000,00 = 750.000,00"
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,27250000,
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,3000000,"APBD
 Rapat koordinasi persiapan dan evaluasiMinum dan snack120 or x 25.000,00 = 3.000.000,00"
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,24250000,"APBD
 KIE Narkoba dan KRRMakan minum snack100 or x 25.000,00 = 2.500.000,00
KIE Kesehatan ibu dan anakMakan minum snack75 or x 25.000,00 = 1.875.000,00
KIE Kontrasepsi mantabMakan minum snack75 or x 25.000,00 = 1.875.000,00
Puncak acara monevMakan minum snack600 or x 25.000,00 = 15.000.000,00
Minum snack400 or x 7.500,00 = 3.000.000,00"
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",1550000,
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 35 . 01,Jasa Nara Sumber/Moderator/Tenaga Ahli,1550000,"APBD Honorarium narasumber/tenaga ahliNarasumber KIE Narkoba1 or x 200.000,00 = 200.000,00
Narasumber KIE KRR1 or x 200.000,00 = 200.000,00
Narasumber KIE kesehatan ibu dan anak1 or x 200.000,00 = 200.000,00
Narasumber KIE kontrasepsi mantab1 or x 200.000,00 = 200.000,00
Honor tenaga elektone1 or x 750.000,00 = 750.000,00"
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 36,Belanja Jasa Transport Petugas/Peserta,6250000,
1.12 . 1.12.01 . 15 . 15 . 5 . 2 . 2 . 36 . 02,Honorarium Peserta Rapat/Sosialisasi,6250000,"APBD
 Honorarium pesertaTransport peserta250 or x 25.000,00 = 6.250.000,00"
1.12 . 1.12.01 . 15 . 20,Peningkatan kualitas tenaga pelayan KB,18710000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Terkoodinirnya rencana pelayanan KB
Target : 2.268 orang"
1.12 . 1.12.01 . 15 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,18710000,
1.12 . 1.12.01 . 15 . 20 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,500000,
1.12 . 1.12.01 . 15 . 20 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,500000,"APBD 
Belanja alat tulis kantorBelanja ATK1 pkt x 500.000,00 = 500.000,00"
1.12 . 1.12.01 . 15 . 20 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,17010000,
1.12 . 1.12.01 . 15 . 20 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,17010000,"APBD
 Belanja makan minum pelaksanaan kegiatanMakan minum (27 puskesmas x 10 x 6)2,268 or x 7.500,00 = 17.010.000,00"
1.12 . 1.12.01 . 15 . 20 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,1200000,
1.12 . 1.12.01 . 15 . 20 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,1200000,"APBD 
Perjalanan dinas dalam daerahGol. IV16 or x 50.000,00 = 800.000,00
Gol. III10 or x 40.000,00 = 400.000,00
Gol. II0 or x 30.000,00 = 0,00"
1.12 . 1.12.01 . 15 . 21,Pemantapan mekanisme operasional,54625000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kab Bantul
Keluaran : Peningkatan kualitas dan kinerja IMP
Target : 6.030 orang"
1.12 . 1.12.01 . 15 . 21 . 5 . 2 . 2,Belanja Barang dan Jasa,54625000,
1.12 . 1.12.01 . 15 . 21 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,8500000,
1.12 . 1.12.01 . 15 . 21 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,8500000,"APBD
 Belanja Alat tulis KantorBelanja ATK (17 kec)17 pkt x 500.000,00 = 8.500.000,00"
1.12 . 1.12.01 . 15 . 21 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,45225000,
1.12 . 1.12.01 . 15 . 21 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,45225000,"APBD 
Belanja makan dan minum pelaksanaan kegiatanTingkat kecamatan (17 x 30 or)1,530 or x 7.500,00 = 11.475.000,00
Tingkat desa (75 x 20 or)4,500 or x 7.500,00 = 33.750.000,00"
1.12 . 1.12.01 . 15 . 21 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,900000,
1.12 . 1.12.01 . 15 . 21 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,900000,"APBD 
Belanja perjalanan dinas dari kabupaten ke desaGol. IV10 or x 50.000,00 = 500.000,00
Gol. III10 or x 40.000,00 = 400.000,00"
1.12 . 1.12.01 . 15 . 24,"Lomba PLKB, IMP dan Peserta KB Lestari",21800000,"Sumber Dana : APBD
Lokasi Kegiatan : Kabupaten Bantul
Keluaran : Terlaksananya lomba Kader, PLKB, Peserta KB Lestari Teladan
Target : 3 kelompok"
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 1,Belanja Pegawai,0,
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 1 . 01,Honorarium PNS,0,
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 1 . 01 . 01,Honorarium Panitia Pelaksana Kegiatan,0,"APBD 
Honor panitia pelaksana kegiatanKetua0 or x 150.000,00 = 0,00
Sekretaris0 or x 100.000,00 = 0,00
Anggota0 or x 90.000,00 = 0,00"
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,21800000,
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,500000,
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,500000,"APBD 
Belanja dekorasi1 pkt x 500.000,00 = 500.000,00"
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,100000,
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,100000,"APBD
 Belanja cetak penggandaanFoto copy penggandaan materi1 pkt x 100.000,00 = 100.000,00"
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 11,Belanja Makanan dan Minuman,4500000,
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 11 . 02,Belanja Makanan Dan Minuman Rapat,750000,"APBD 
Belanja makan minum rapatMakan minum rapat30 or x 25.000,00 = 750.000,00"
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 11 . 05,Belanja Makanan dan Minuman Pelaksanaan Kegiatan,3750000,"APBD
 Belanja makan minum pel;aksanaan kegiatan
Makan minum pelaksanaan kegiatan150 or x 25.000,00 = 3.750.000,00"
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 15,Belanja Perjalanan Dinas,900000,
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 15 . 01,Belanja Perjalanan Dinas Dalam Daerah,900000,"APBD 
Belanja perjalanan dinas dari kabupaten ke desaGol. IV10 or x 50.000,00 = 500.000,00
Gol. III10 or x 40.000,00 = 400.000,00"
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 23,Belanja Barang Untuk Diserahkan kepada Masyarakat/Pihak Ketiga,15000000,
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 23 . 02,Belanja Barang Yang Akan Diserahkan Kepada Pihak Ketiga,15000000,"APBD 
Pemberian hadiahJuara I5 or x 1.000.000,00 = 5.000.000,00
Juara II5 or x 750.000,00 = 3.750.000,00
Juara III5 or x 500.000,00 = 2.500.000,00
Juara I kelompok1 klp x 1.500.000,00 = 1.500.000,00
Juara II kelompok1 klp x 1.250.000,00 = 1.250.000,00
Juara III kelompok1 klp x 1.000.000,00 = 1.000.000,00"
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 35,"Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan",800000,
1.12 . 1.12.01 . 15 . 24 . 5 . 2 . 2 . 35 . 02,Jasa Yuri Perlombaan/Pelatih,800000,"APBD 
Jasa Yuri perlombaanKetua1 or x 200.000,00 = 200.000,00
Anggota4 or x 150.000,00 = 600.000,00"
1.12 . 1.12.01 . 15 . 25,Pelaksanaan Kegiatan Hari Keluarga Tingkat Kabupaten,283260000,"Sumber Dana : APBD
Lokasi Kegiatan : BKKPPKB Kabupaten Bantul
Keluaran : Keterpaduan kegiatan Hari Keluarga 2016
Target : 3.000 orang"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 1,Belanja Pegawai,19875000,
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 1 . 01,Honorarium PNS,875000,
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 1 . 01 . 02,Honorarium Tim Pengadaan Barang Dan Jasa,875000,"APBD 
Honor PengadaanHonor PPK1 or x 350.000,00 = 350.000,00
Honor Panitia PengadaanKetua1 ok x 300.000,00 = 300.000,00
Honor Pantia Penerima BarangKetua1 ok x 225.000,00 = 225.000,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 1 . 02,Honorarium Non PNS,19000000,
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 1 . 02 . 02,Honorarium Pegawai Honorer/Tidak Tetap,19000000,"APBD
 Honor harian bimbingan teknis190 ok x 100.000,00 = 19.000.000,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2,Belanja Barang dan Jasa,263385000,
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 01,Belanja Bahan Pakai Habis,475000,
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 01 . 01,Belanja Alat Tulis Kantor,475000,"APBD 
Belanja alat tulis kantorBelanja ATK1 pkt x 475.000,00 = 475.000,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 03,Belanja Jasa Kantor,6000000,
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 03 . 13,Belanja Dokumentasi,0,"APBD
 Belanja dokumentasi0 pkt x 1.000.000,00 = 0,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 03 . 14,Belanja Dekorasi,1000000,"APBD 
Belanja dekorasi1 pkt x 1.000.000,00 = 1.000.000,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 03 . 15,Belanja Publikasi,5000000,"APBD 
Belanja publikasi1 pkt x 5.000.000,00 = 5.000.000,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 06,Belanja Cetak dan Penggandaan,200000,
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 06 . 02,Belanja Penggandaan,200000,"APBD
 Belanja penggandaanFoto copy1 pkt x 200.000,00 = 200.000,00"
1.12 . 1.12.01 . 15 . 25 . 5 . 2 . 2 . 10,Belanja Sewa Perlengkapan dan Peralatan Kantor,9585000,
