Judul, Penjabaran Anggaran Pendapatan dan Belanja Daerah,,,,,,,,,,
Daerah,Kota Yogyakarta,,,,,,,,,,
Tahun,2016,,,,,,,,,,
Kode Organisasi,1.01.01,,,,,,,,,,
Nama OrganisasiDinas Pendidikan,,,,,,,,,,,
Kolom,4,,,,,,,,,,
KODE REKENING ,URAIAN ,ANGGARAN ,PENJELASAN,,,,,,,,
1.01.1.01.01.010.002.5.2.2.32 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,11000000,,,,,,,,,
1.01.1.01.01.010.002.5.2.2.32.02 ,Belanja Uang Untuk Diberikan Kepada Masyarakat ,11000000,Belanja Uang Untuk Diberikan Kepada Masyarakat 11000000Lokasi Kegiatan Kecamatan Danurejan Lomba Gugus SD 11000000,,,,,,,,
1.01.1.01.01.010.003 ,Pembinaan Manajemen Pendidikan Dasar ,620322000,,,,,,,,,
1.01.1.01.01.010.003.5.2.1 ,BELANJA PEGAWAI ,105225000,,,,,,,,,
1.01.1.01.01.010.003.5.2.1.01 ,Honorarium PNS ,77875000,,,,,,,,,
1.01.1.01.01.010.003.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,77875000,Honorarium Panitia Pelaksana Kegiatan 77875000,,,,,,,,
1.01.1.01.01.010.003.5.2.1.02 ,Honorarium Non PNS ,27350000,,,,,,,,,
1.01.1.01.01.010.003.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,27350000,Honorarium Panitia Pelaksana Kegiatan 27350000,,,,,,,,
1.01.1.01.01.010.003.5.2.2 ,BELANJA BARANG DAN JASA ,515097000,,,,,,,,,
1.01.1.01.01.010.003.5.2.2.02 ,Belanja Bahan/Material ,1750000,,,,,,,,,
1.01.1.01.01.010.003.5.2.2.02.08 ,Belanja Hadiah/Trophy ,1750000,Belanja Hadiah/Trophy 1750000 Lokasi Kegiatan Kecamatan Danurejan OSN SD 750000 OSN SMP 1000000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.03 ,Belanja Jasa Kantor ,8850000,,,,,,,,,
1.01.1.01.01.010.003.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,2850000,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 2850000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.03.29 ,Belanja Jasa OutBound ,6000000,Belanja Jasa OutBound 6000000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,11650000,,,,,,,,,
1.01.1.01.01.010.003.5.2.2.06.01 ,Belanja Cetak ,2500000,Belanja Cetak 2500000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.06.02 ,Belanja Penggandaan ,9150000,Belanja Penggandaan 9150000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,20900000,,,,,,,,,
1.01.1.01.01.010.003.5.2.2.07.02 ,Belanja Sewa Gedung/Kantor/Tempat ,20900000,Belanja Sewa Gedung/Kantor/Tempat 20900000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.08 ,Belanja Sewa Sarana Mobilitas ,10000000,,,,,,,,,
1.01.1.01.01.010.003.5.2.2.08.01 ,Belanja Sewa Sarana Mobilitas Darat ,10000000,Belanja Sewa Sarana Mobilitas Darat 10000000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.11 ,Belanja Makanan Dan Minuman ,127697000,,,,,,,,,
1.01.1.01.01.010.003.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,127697000,Belanja Makanan Dan Minuman Rapat 127697000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.15 ,Belanja Perjalanan Dinas ,13600000,,,,,,,,,
1.01.1.01.01.010.003.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,13600000,Belanja Perjalanan Dinas Luar Daerah 13600000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,296950000,,,,,,,,,
1.01.1.01.01.010.003.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,185650000,Belanja Jasa Tenaga Ahli 185650000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.31.02 ,Belanja Jasa Instruktur ,52200000,Belanja Jasa Instruktur 52200000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.31.03 ,Belanja Jasa Narasumber ,59100000,Belanja Jasa Narasumber 59100000,,,,,,,,
1.01.1.01.01.010.003.5.2.2.32 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,23700000,,,,,,,,,
1.01.1.01.01.010.003.5.2.2.32.02 ,Belanja Uang Untuk Diberikan Kepada Masyarakat ,23700000,Belanja Uang Untuk Diberikan Kepada Masyarakat 23700000 Lokasi Kegiatan Kecamatan Danurejan OSN SD juara 1-3 790000 0OSN SMP juara 1-3 15800000,,,,,,,,
1.01.1.01.01.011 ,Program Peningkatan dan Pemerataan Kualitas Pendidikan Menengah ,3535392927,,,,,,,,,
1.01.1.01.01.011.001 ,Pengembangan Prestasi Siswa ,577125000,,,,,,,,,
1.01.1.01.01.011.001.5.2.1 ,BELANJA PEGAWAI ,23575000,,,,,,,,,
1.01.1.01.01.011.001.5.2.1.01 ,Honorarium PNS ,15490000,,,,,,,,,
1.01.1.01.01.011.001.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,15490000,Honorarium Panitia Pelaksana Kegiatan 15490000,,,,,,,,
1.01.1.01.01.011.001.5.2.1.02 ,Honorarium Non PNS ,8085000,,,,,,,,,
1.01.1.01.01.011.001.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,8085000,Honorarium Panitia Pelaksana Kegiatan 8085000,,,,,,,,
1.01.1.01.01.011.001.5.2.2 ,BELANJA BARANG DAN JASA ,553550000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.01 ,Belanja Bahan Pakai Habis ,451000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,451000,Belanja  Alat Tulis Kantor 451000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.02 ,Belanja Bahan/Material ,21780000,,,,`,,,,,
1.01.1.01.01.011.001.5.2.2.02.04 ,Belanja Bahan Obat-Obatan ,1000000,Belanja Bahan Obat-Obatan 1000000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,4780000,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 4780000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.02.08 ,Belanja Hadiah/Trophy ,16000000,Belanja Hadiah/Trophy 16000000 Lokasi Kegiatan Kecamatan DanurejanJenjang SD 3500000 Jenjang SMP 3500000 Jenjang SMA/K 3750000 Trophy Kepala Dinas 5250000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.03 ,Belanja Jasa Kantor ,3800000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,3800000,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 3800000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,4119000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.06.01 ,Belanja Cetak ,2910000,Belanja Cetak 2910000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.06.02 ,Belanja Penggandaan ,1209000,Belanja Penggandaan 1209000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,43300000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.07.02 ,Belanja Sewa Gedung/Kantor/Tempat ,43300000,Belanja Sewa Gedung/Kantor/Tempat 43300000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.08 ,Belanja Sewa Sarana Mobilitas ,3000000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.08.01 ,Belanja Sewa Sarana Mobilitas Darat ,3000000,Belanja Sewa Sarana Mobilitas Darat 3000000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,15850000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.10.01 ,Belanja Sewa Meja Kursi ,2500000,Belanja Sewa Meja Kursi 2500000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.10.05 ,Belanja Sewa Tenda ,3000000,Belanja Sewa Tenda 3000000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.10.08 ,Belanja Sewa Peralatan Olahraga ,4800000,Belanja Sewa Peralatan Olahraga 4800000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.10.09 ,Belanja Sewa Perlengkapan/Peralatan ,5550000,Belanja Sewa Perlengkapan/Peralatan 5550000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.11 ,Belanja Makanan Dan Minuman ,70290000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,70290000,Belanja Makanan Dan Minuman Rapat 70290000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.14 ,Belanja Pakaian Khusus Dan Hari-hari Tertentu ,57510000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.14.03 ,Belanja Pakaian Batik Tradisional ,9000000,Belanja Pakaian Batik Tradisional 9000000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.14.04 ,Belanja Pakaian Olahraga ,48510000,Belanja Pakaian Olahraga 48510000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.15 ,Belanja Perjalanan Dinas ,21600000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,21600000,Belanja Perjalanan Dinas Luar Daerah 21600000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,129600000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,105600000,Belanja Jasa Tenaga Ahli 105600000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.31.02 ,Belanja Jasa Instruktur ,15000000,Belanja Jasa Instruktur 15000000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.31.03 ,Belanja Jasa Narasumber ,9000000,Belanja Jasa Narasumber 9000000,,,,,,,,
1.01.1.01.01.011.001.5.2.2.32 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,182250000,,,,,,,,,
1.01.1.01.01.011.001.5.2.2.32.02 ,Belanja Uang Untuk Diberikan Kepada Masyarakat ,182250000,Belanja Uang Untuk Diberikan Kepada Masyarakat 182250000 Lokasi Kegiatan Kecamatan Danurejan Juara 1 MTQ SD  SMP  SMA/K Pa Pi 9000000 Juara 2 MTQ SD  SMP  SMA/K Pa Pi 7500000 Juara 3 MTQ SD  SMP  SMA/K Pa Pi 6000000 Juara 1 Saritilawah SD Pa Pi 3000000 Juara 2 Saritilawah SD Pa Pi 2500000Juara 3 Saritilawah SD Pa Pi 2000000 Juara 1 MHQ SD  SMP  SMA/K Pa Pi 9000000 Juara 2 MHQ SD SMP  SMA/K Pa Pi 7500000 Juara 3 MHQ SD  SMP  SMA/K Pa Pi 6000000 Juara 1 tartil SD  SMP  SMA/K Pa Pi 9000000 Juara 2 tartil SD  SMP  SMA/K Pa Pi 7500000 Juara 3 tartil SD  SMP  SMA/K Pa Pi 6000000 Juara 1 Pidato SD  SMP  SMA/K Pa Pi 9000000 Juara 2 Pidato SD  SMP  SMA/K Pa Pi 7500000 Juara 3 Pidato SD  SMP  SMA/K Pa Pi 6000000 Juara 1 Lukis SD Pa Pi 3000000 Juara 2 Lukis SD Pa Pi 2500000 Juara 3 Lukis SD Pa Pi 2000000 Juara 1 Adzan SD  SMP  SMA/K Pa 4500000 Juara 2 Adzan SD  SMP  SMA/K Pa 3750000Juara 3 Adzan SD  SMP  SMA/K Pa 3000000 Juara 1 Kaligrafi SMP  SMA/K Pa Pi 6000000 Juara 2 Kaligrafi SMP  SMA/K Pa Pi 5000000 Juara 3 Kaligrafi SMP  SMA/K Pa Pi 4000000 Juara 1 Khutbah SMP  SMA/K Pa 3000000Juara 2 Khutbah SMP  SMA/K Pa 2500000 Juara 3 Khutbah SMP  SMA/K Pa 2000000 Juara 1 MSQ SMP  SMA/K (beregu) 6000000 Juara 2 MSQ SMP  SMA/K (beregu) 5000000 Juara 3 MSQ SMP  SMA/K (beregu) 3500000 Juara 1 CCA SD  SMP  SMA/K (beregu) 9000000 Juara 2 CCA SD  SMP  SMA/K (beregu) 7500000 Juara 3 CCA SD  SMP  SMA/K (beregu) 5250000 Juara 1 Nasyid SMA/K Pa 3000000 Juara 2 Nasyid SMA/K Pa 2500000 Juara 3 Nasyid SMA/K Pa 1750000,,,,,,,,
1.01.1.01.01.011.002 ,Pengembangan Model Pembelajaran Pendidikan Menengah ,680247500,,,,,,,,,
1.01.1.01.01.011.002.5.2.1 ,BELANJA PEGAWAI ,72140000,,,,,,,,,
1.01.1.01.01.011.002.5.2.1.01 ,Honorarium PNS ,54240000,,,,,,,,,
1.01.1.01.01.011.002.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,54240000,Honorarium Panitia Pelaksana Kegiatan 54240000,,,,,,,,
1.01.1.01.01.011.002.5.2.1.02 ,Honorarium Non PNS ,17900000,,,,,,,,,
1.01.1.01.01.011.002.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,17900000,Honorarium Panitia Pelaksana Kegiatan 17900000,,,,,,,,
1.01.1.01.01.011.002.5.2.2 ,BELANJA BARANG DAN JASA ,608107500,,,,,,,,,
1.01.1.01.01.011.002.5.2.2.01 ,Belanja Bahan Pakai Habis ,2000000,,,,,,,,,
1.01.1.01.01.011.002.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,2000000,Belanja  Alat Tulis Kantor 2000000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.02 ,Belanja Bahan/Material ,4750000,,,,,,,,,
1.01.1.01.01.011.002.5.2.2.02.08 ,Belanja Hadiah/Trophy ,4750000,Belanja Hadiah/Trophy 4750000 Lokasi Kegiatan Kecamatan Danurejan Tropy Kejuaran OSN 2250000 Tropy Kejuaraan LKS SMK 1250000 Tropy Debat Bhs Inggris 500000 Tropy Debat Bhs Indonesia 500000 Tropy Cerdas Cermat UUD 45 250000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.03 ,Belanja Jasa Kantor ,2700000,,,,,,,,,
1.01.1.01.01.011.002.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,2700000,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 2700000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,5122500,,,,,,,,,
1.01.1.01.01.011.002.5.2.2.06.02 ,Belanja Penggandaan ,4987500,Belanja Penggandaan 4987500,,,,,,,,
1.01.1.01.01.011.002.5.2.2.06.03 ,Belanja Cetak Foto ,135000,Belanja Cetak Foto 135000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,60650000,,,,,,,,,
1.01.1.01.01.011.002.5.2.2.07.03 ,Belanja Sewa Ruang Rapat/Pertemuan ,60650000,Belanja Sewa Ruang Rapat/Pertemuan 60650000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,450000,,,,,,,,,
1.01.1.01.01.011.002.5.2.2.10.09 ,Belanja Sewa Perlengkapan/Peralatan ,450000,Belanja Sewa Perlengkapan/Peralatan 450000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.11 ,Belanja Makanan Dan Minuman ,111085000,,,,,,,,,
1.01.1.01.01.011.002.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,111085000,Belanja Makanan Dan Minuman Rapat 111085000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.15 ,Belanja Perjalanan Dinas ,40500000,,,,,,,,,
1.01.1.01.01.011.002.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,40500000,Belanja Perjalanan Dinas Luar Daerah 40500000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,294750000,,,,,,,,,
1.01.1.01.01.011.002.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,92550000,Belanja Jasa Tenaga Ahli 92550000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.31.02 ,Belanja Jasa Instruktur ,56000000,Belanja Jasa Instruktur 56000000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.31.03 ,Belanja Jasa Narasumber ,134000000,Belanja Jasa Narasumber 134000000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.31.04 ,Belanja Jasa Moderator ,12200000,Belanja Jasa Moderator 12200000,,,,,,,,
1.01.1.01.01.011.002.5.2.2.32 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,86100000,,,,,,,,,
1.01.1.01.01.011.002.5.2.2.32.02 ,Belanja Uang Untuk Diberikan Kepada Masyarakat ,86100000,Belanja Uang Untuk Diberikan Kepada Masyarakat 86100000 Lokasi Kegiatan Kecamatan Danurejan Juara 1 OSN 17500000 Juara 2 OSN 15000000 Juara 3 OSN 12500000 Juara 1 Tim LKS 7200000 Juara 2 Tim LKS 6000000 Juara 3 Tim LKS 4800000 Juara 2 Perorangan LKS 700000 Juara 3 Perorangan LKS 500000 Juara 1 Debat bhs Inggris 1800000 Juara 2 Debat bhs Inggris 1500000 Juara 3 Debat bhs Inggris 1200000 Juara 1 Best Speaker 1000000 Juara 2 Best Speaker 700000 Juara 3 Best Speaker 500000 Juara 1 Debat bhs Indonesia 1800000 Juara 2 Debat bhs Indonesia 1500000 Juara 3 Debat bhs indonesia 1200000 Juara 1 Pembicara Terbaik 1000000 Juara 2 Pembicara Terbaik 700000 Juara 3 Pembicara Terbaik 500000 Juara 1 LCC UUD45 2250000 Juara 2 LCC UUD45 2000000 Juara 3 LCC UUD45 1750000 Juara 4 LCC UUD45 1500000 421000000000,,,,,,,,
1.01.1.01.01.011.003 ,Peningkatan Kompetensi Guru Pendidikan Menengah ,671850450,,,,,,,,,
1.01.1.01.01.011.003.5.2.1 ,BELANJA PEGAWAI ,89103000,,,,,,,,,
1.01.1.01.01.011.003.5.2.1.01 ,Honorarium PNS ,77505000,,,,,,,,,
1.01.1.01.01.011.003.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,77505000,Honorarium Panitia Pelaksana Kegiatan 77505000,,,,,,,,
1.01.1.01.01.011.003.5.2.1.02 ,Honorarium Non PNS ,11598000,,,,,,,,,
1.01.1.01.01.011.003.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,11598000,Honorarium Panitia Pelaksana Kegiatan 11598000,,,,,,,,
1.01.1.01.01.011.003.5.2.2 ,BELANJA BARANG DAN JASA ,582747450,,,,,,,,,
1.01.1.01.01.011.003.5.2.2.01 ,Belanja Bahan Pakai Habis ,7100000,,,,,,,,,
1.01.1.01.01.011.003.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,7100000,Belanja  Alat Tulis Kantor 7100000,,,,,,,,
1.01.1.01.01.011.003.5.2.2.02 ,Belanja Bahan/Material ,36250000,,,,,,,,,
1.01.1.01.01.011.003.5.2.2.02.08 ,Belanja Hadiah/Trophy ,36250000,Belanja Hadiah/Trophy 36250000 Lokasi Kegiatan Kecamatan Danurejan Hadiah OSN Guru Tingkat Kota Yk. Juara 1-3 36250000,,,,,,,,
1.01.1.01.01.011.003.5.2.2.03 ,Belanja Jasa Kantor ,5300000,,,,,,,,,
1.01.1.01.01.011.003.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,5300000,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 5300000,,,,,,,,
1.01.1.01.01.011.003.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,13345450,,,,,,,,,
1.01.1.01.01.011.003.5.2.2.06.01 ,Belanja Cetak ,2312500,Belanja Cetak 2312500,,,,,,,,
1.01.1.01.01.011.003.5.2.2.06.02 ,Belanja Penggandaan ,11032950,Belanja Penggandaan 11032950,,,,,,,,
1.01.1.01.01.011.003.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,26250000,,,,,,,,,
1.01.1.01.01.011.003.5.2.2.07.03 ,Belanja Sewa Ruang Rapat/Pertemuan ,26250000,Belanja Sewa Ruang Rapat/Pertemuan 26250000,,,,,,,,
1.01.1.01.01.011.003.5.2.2.11 ,Belanja Makanan Dan Minuman ,114652000,,,,,,,,,
1.01.1.01.01.011.003.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,114652000,Belanja Makanan Dan Minuman Rapat 114652000,,,,,,,,
1.01.1.01.01.011.003.5.2.2.15 ,Belanja Perjalanan Dinas ,33850000,,,,,,,,,
1.01.1.01.01.011.003.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,33850000,Belanja Perjalanan Dinas Luar Daerah 33850000,,,,,,,,
1.01.1.01.01.011.003.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,346000000,,,,,,,,,
1.01.1.01.01.011.003.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,5700000,Belanja Jasa Tenaga Ahli 5700000,,,,,,,,
1.01.1.01.01.011.003.5.2.2.31.02 ,Belanja Jasa Instruktur ,318300000,Belanja Jasa Instruktur 318300000,,,,,,,,
1.01.1.01.01.011.003.5.2.2.31.03 ,Belanja Jasa Narasumber ,22000000,Belanja Jasa Narasumber 22000000,,,,,,,,
1.01.1.01.01.011.004 ,Pembinaan Manajemen Pendidikan Menengah ,656603000,,,,,,,,,
1.01.1.01.01.011.004.5.2.1 ,BELANJA PEGAWAI ,32180000,,,,,,,,,
1.01.1.01.01.011.004.5.2.1.01 ,Honorarium PNS ,26360000,,,,,,,,,
1.01.1.01.01.011.004.5.2.1.01.01 ,Honorarium Panitia Pelaksana Kegiatan ,26360000,Honorarium Panitia Pelaksana Kegiatan 26360000,,,,,,,,
1.01.1.01.01.011.004.5.2.1.02 ,Honorarium Non PNS ,5820000,,,,,,,,,
1.01.1.01.01.011.004.5.2.1.02.01 ,Honorarium Panitia Pelaksana Kegiatan ,5820000,Honorarium Panitia Pelaksana Kegiatan 5820000,,,,,,,,
1.01.1.01.01.011.004.5.2.2 ,BELANJA BARANG DAN JASA ,624423000,,,,,,,,,
1.01.1.01.01.011.004.5.2.2.01 ,Belanja Bahan Pakai Habis ,1720000,,,,,,,,,
1.01.1.01.01.011.004.5.2.2.01.01 ,Belanja  Alat Tulis Kantor ,1720000,Belanja  Alat Tulis Kantor 1720000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.02 ,Belanja Bahan/Material ,13380000,,,,,,,,,
1.01.1.01.01.011.004.5.2.2.02.04 ,Belanja Bahan Obat-Obatan ,1000000,Belanja Bahan Obat-Obatan 1000000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.02.07 ,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja ,1630000,Belanja  Alat - Alat/Perlengkapan Kantor/Rumah Tangga/Kerja 1630000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.02.08 ,Belanja Hadiah/Trophy ,10750000,Belanja Hadiah/Trophy 10750000 Lokasi Kegiatan Kecamatan Danurejan Tropy 12 jenis lomba FLSSN 3000000 Tropy O2SN SMA 22 Jenis lomba 5500000 Invitasi Voli Basket 1000000 Tropy O2SN SMK 3 Jenis lomba 1250000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.03 ,Belanja Jasa Kantor ,2750000,,,,,,,,,
1.01.1.01.01.011.004.5.2.2.03.13 ,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film ,2750000,Belanja Dekorasi  Dokumentasi  Publikasi  Pembuatan Film 2750000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.06 ,Belanja Cetak Dan Penggandaan ,10719000,,,,,,,,,
1.01.1.01.01.011.004.5.2.2.06.01 ,Belanja Cetak ,1725000,Belanja Cetak 1725000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.06.02 ,Belanja Penggandaan ,8994000,Belanja Penggandaan 8994000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.07 ,Belanja Sewa Rumah/Gedung/Gudang/Parkir ,35250000,,,,,,,,,
1.01.1.01.01.011.004.5.2.2.07.02 ,Belanja Sewa Gedung/Kantor/Tempat ,20250000,Belanja Sewa Gedung/Kantor/Tempat 20250000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.07.03 ,Belanja Sewa Ruang Rapat/Pertemuan ,15000000,Belanja Sewa Ruang Rapat/Pertemuan 15000000 421000000000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.10 ,Belanja Sewa Perlengkapan dan Peralatan Kantor ,15300000,,,,,,,,,
1.01.1.01.01.011.004.5.2.2.10.01 ,Belanja Sewa Meja Kursi ,400000,Belanja Sewa Meja Kursi 400000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.10.05 ,Belanja Sewa Tenda ,300000,Belanja Sewa Tenda 300000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.10.08 ,Belanja Sewa Peralatan Olahraga ,4300000,Belanja Sewa Peralatan Olahraga 4300000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.10.09 ,Belanja Sewa Perlengkapan/Peralatan ,10300000,Belanja Sewa Perlengkapan/Peralatan 10300000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.11 ,Belanja Makanan Dan Minuman ,165454000,,,,,,,,,
1.01.1.01.01.011.004.5.2.2.11.02 ,Belanja Makanan Dan Minuman Rapat ,165454000,Belanja Makanan Dan Minuman Rapat 165454000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.14 ,Belanja Pakaian Khusus Dan Hari-hari Tertentu ,12000000,,,,,,,,,
1.01.1.01.01.011.004.5.2.2.14.04 ,Belanja Pakaian Olahraga ,12000000,Belanja Pakaian Olahraga 12000000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.15 ,Belanja Perjalanan Dinas ,24000000,,,,,,,,,
1.01.1.01.01.011.004.5.2.2.15.02 ,Belanja Perjalanan Dinas Luar Daerah ,24000000,Belanja Perjalanan Dinas Luar Daerah 24000000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.31 ,Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ,219600000,,,,,,,,,
1.01.1.01.01.011.004.5.2.2.31.01 ,Belanja Jasa Tenaga Ahli ,47400000,Belanja Jasa Tenaga Ahli 47400000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.31.02 ,Belanja Jasa Instruktur ,95400000,Belanja Jasa Instruktur 95400000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.31.03 ,Belanja Jasa Narasumber ,76800000,Belanja Jasa Narasumber 76800000,,,,,,,,
1.01.1.01.01.011.004.5.2.2.32 ,Belanja Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,124250000,,,,,,,,,
