Judul,Penjabaran Anggaran Pendaptan dan Belanja Daerah,,,,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,2190000," Honor Tim Penyusun Laporan Keuangan, Barang, Kepegawaian dan Ketatausahaan
Ketua3 ob x 170.000,00 = 510.000,00
Sekretaris3 ob x 160.000,00 = 480.000,00
Anggota12 ob x 100.000,00 = 1.200.000,00",,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 1 . 03 , Uang Lembur ,1700000,,,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 1 . 03 . 01 , Uang Lembur PNS ,1700000," Uang lembur harian
Gol. III100 oj x 15.000,00 = 1.500.000,00
Gol. II20 oj x 10.000,00 = 200.000,00",,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 2 , Belanja Barang dan Jasa ,7300000,,,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,2500000,,,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,2500000," Belanja ATK1 LS x 2.500.000,00 = 2.500.000,00",,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,3000000,,,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,3000000," Belanja penggandaan/foto kopi1 LS x 3.000.000,00 = 3.000.000,00",,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,1800000,,,
1.21 . 1.21.01 . 06 . 08 . 5 . 2 . 2 . 11 . 04 , Belanja makanan dan minuman Lembur ,1800000," Belanja makanan dan minuman lembur120 oj x 15.000,00 = 1.800.000,00",,
2.01 . 1.21.01 . 15 , Program Peningkatan Kesejahteraan Petani ,569862500,,,
2.01 . 1.21.01 . 15 . 01 , Pelatihan petani dan pelaku agribisnis ,107300000," Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya program Sekolah Lapang Agribisnis
 Target: 5 angkatan",,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 1 , Belanja Pegawai ,7400000,,,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 1 . 01 , Honorarium PNS ,7400000,,,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,7400000," Honorarium Panitia Pelaksana Kegiatan
honorarium panitia SLA (3 org x 5 angkatan)15 org x 50.000,00 = 750.000,00 
honorarium pemandu SLA (2 jpl x 5 x 5 angkatan50 jpl x 100.000,00 = 5.000.000,00 
honorarium pemandu temu usaha (2 jpl x 2 x 3 angkatan)12 jpl x 100.000,00 = 1.200.000,00H
onor panitia Temu Usaha9 oh x 50.000,00 = 450.000,00",,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 , Belanja Barang dan Jasa ,99900000,,,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,4900000,,,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,4900000," Belanja ATK Kab.
belanja ATK Kab1 paket x 900.000,00 = 900.000,00
Belanja ATK Peserta Pelatihan
- Belanja ATK Peserta SLA (25 org x 5 angkatan)125 pkt x 20.000,00 = 2.500.000,00
- Belanja ATK Peserta Temu Usaha (25 org x 3 kali)75 pkt x 20.000,00 = 1.500.000,00",,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,17750000,,,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 02 . 18 , Belanja Bahan Percontohan ,17750000," Belanja Bahan Percontohan
'- Belanja Bahan Percontohan SLA ( 5 Angkatan)5 pkt x 1.800.000,00 = 9.000.000,00
'- Belanja perlengkapan dan alat peraga SLA ( 5 Angkatan )5 pkt x 1.750.000,00 = 8.750.000,00",,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,500000,,,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,500000," Belanja penggandaan / Foto copy1 pkt x 500.000,00 = 500.000,00",,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 07 , Belanja Sewa Rumah/Gedung/Gudang/Parkir ,4000000,,,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 07 . 03 , Belanja Sewa Ruang Rapat/Pertemuan ,4000000," Belanja sewa ruang rapat/pertemuan 
Sewa tempat SLA5 pkt x 500.000,00 = 2.500.000,00
'- Sewa tempat temu usaha3 kali x 500.000,00 = 1.500.000,00",,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,23175000,,,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,2250000," Belanja Makanan dan Minuman Rapat
- Konsumsi rapat koordinasi persiapan SLA (30 or x 3 kali)90 om x 15.000,00 = 1.350.000,00'-
 Konsumsi rapat koordinasi temu usaha (30 or x 2 kali)60 om x 15.000,00 = 900.000,00",,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,20925000," Belanja makan dan minum pelaksanaan kegiatan
- Konsumsi makan minum peserta dan panitia SLA(30 0r x 5 x 5 angkatan)750 om x 22.500,00 = 16.875.000,00
Konsumsi makan minum temu usaha dan panitia 180 om x 22.500,00 = 4.050.000,00",,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,2300000,,,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,2300000," Belanja Perjalanan Dinas Dalam Daerah
Gol IV30 op x 50.000,00 = 1.500.000,00 
Gol III20 op x 40.000,00 = 800.000,00",,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",47275000,,,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,27900000," Honorarium Narasumber/moderator/tenaga akhli
- Honor narasumber SLA (6 jpl x 5 hr x 5)36 jpl x 150.000,00 = 5.400.000,00
 Honor Narasumber SLA
- Honor narasumber temu usaha (6 jplx2 x 3)150 jpl x 150.000,00 = 22.500.000,00",,
2.01 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,19375000," Honorarium peserta seminar/simposium/workshop/sosialisasi 
honor peserta petani temu usaha (25 org x 2 hr x 3 ang150 oh x 25.000,00 = 3.750.000,00
 Uang saku peserta SLA Uang saku peserta SLA (25 org x 5 x 5 angk)625 oh x 25.000,00 = 15.625.000,00",,
2.01 . 1.21.01 . 15 . 09 , Peningkatan Kemampuan Kelembagaan Petani dan penyuluh ,125147500," Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : Terlaksananya pembinaan dan penilaian penyuluh dan kelompok tani
Target: 8 kategori",,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 1 , Belanja Pegawai ,9900000,,,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 1 . 01 , Honorarium PNS ,9900000,,,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,9900000," Honorarium Panitia Pelaksana Kegiatan
'- honor ketua ( 1 org x 6 bln )6 ob x 100.000,00 = 600.000,00
'- honor sekretaris (1 org x 6 bln6 ob x 100.000,00 = 600.000,00
'- honor anggota (7 org x 6 bln)42 ob x 100.000,00 = 4.200.000,00
Honor Tim Verifikasi klpk tk kabupaten
'- Honor Tim Verifikasi klpk tk kabupaten (20 org x 3 bln)60 ob x 75.000,00 = 4.500.000,00",,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 , Belanja Barang dan Jasa ,115247500,,,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,2247500,,,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,2247500," Belanja Alat Tulis Kantor 
belanja ATK1 pkt x 2.247.500,00 = 2.247.500,00",,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,1000000,,,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1000000," Belanja penggandaan / Foto copy'
- Penggandaan dan pelaporan1 pkt x 1.000.000,00 = 1.000.000,00",,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,81900000,,,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,6750000," Belanja Makanan dan Minuman Rapat
Konsumsi rapat koordinasi verifikasi klpk/petani/petugas berprestasi tk kabupaten (30 or x 10 kali)300 om x 22.500,00 = 6.750.000,00",,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,75150000," Belanja makan dan minum pelaksanaan kegiatan
Konsumsi makan minum pembinaan klpk / petugas berprestasi tk kec (17 x 20 org)340 om x 22.500,00 = 7.650.000,00 
Konsumsi makan minum pembinaan kelompok berprestasi dan petugas (20 klp x 6 kali x 25 or)3,000 om x 22.500,00 = 67.500.000,00",,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,7600000,,,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,7600000," Belanja Perjalanan Dinas Dalam Daerah dalam rangka pembinaan klpk/petugas berprestasi dan dalam rangka identifikasi dan legalisasi kelpk 
Gol IV100 op x 50.000,00 = 5.000.000,00
- Gol III65 op x 40.000,00 = 2.600.000,00",,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 . 37 , Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,22500000,,,
2.01 . 1.21.01 . 15 . 09 . 5 . 2 . 2 . 37 . 01 , Uang Untuk Diberikan Kepada Pihak Ketiga/Masyarakat ,22500000," Belanja hadiah dan penghargaan kelompok/petugas berprestasi
juara I- Penyuluh Pertanian PNS teladan, Penyuluh swadaya, penyuluh perikanan PNS, THL, Penyuluh Kehutanan PNS, penyuluh kehutanan swadaya masyarakat, pengabdi lingkungan hidup, Gapoktan, Lembaga ekonomi lain, Petani/pelaku Usaha, BPP (10 unit x Rp 1.10 unit x 1.000.000,00 = 10.000.000,00
juara II-Penyuluh Pertanian PNS teladan, Penyuluh swadaya, penyuluh perikanan PNS, THL, Penyuluh Kehutanan PNS, penyuluh kehutanan swadaya masyarakat, pengabdi lingkungan hidup, Gapoktan, Lembaga ekonomi lain, Petani/pelaku usaha, BPP (10unitxRp750.000)10 unit x 750.000,00 = 7.500.000,00
juara III-Penyuluh Pertanian PNS teladan, Penyuluh swadaya, penyuluh perikanan PNS, THL, Penyuluh Kehutanan PNS, penyuluh kehutanan swadaya masyarakat, pengabdi lingkungan hidup, Gapoktan, Lembaga ekonomi lain, Petani/pelaku usaha, BPP (10 unitxRp500.000)10 unit x 500.000,00 = 5.000.000,00",,
2.01 . 1.21.01 . 15 . 13 , Penyuluhan Partisipasi Masyarakat Dalam rangka Penyuluh Menyentuh ,254455000," Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : terlaksananya penyusunan programa penyuluhan tingkat kecamatan
Target: 17 buku programa",,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 1 , Belanja Pegawai ,5250000,,,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 1 . 01 , Honorarium PNS ,5250000,,,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,5250000," Honor panitia Pembelajaran UP-FMA45 oh x 50.000,00 = 2.250.000,00
Honor penulis Bulletin30 oh x 100.000,00 = 3.000.000,00",,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 , Belanja Barang dan Jasa ,249205000,,,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,7305000,,,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,7305000," Belanja Alat Tulis Kantor
Belanja ATK Kab1 pkt x 705.000,00 = 705.000,00 
Belanja ATK Programa Penyuluhan Kab1 pkt x 500.000,00 = 500.000,00
Belanja ATK Programa Penyuluhan Kecamatan17 pkt x 300.000,00 = 5.100.000,00
Belanja ATK dan suplies komputer Buletin1 ls x 1.000.000,00 = 1.000.000,00",,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,30000000,,,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 02 . 18 , Belanja Bahan Percontohan ,30000000," Belanja bahan percontohan (15 UP-FMA)15 pkt x 2.000.000,00 = 30.000.000,00",,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,23025000,,,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 06 . 01 , Belanja Cetak ,12000000," Belanja Cetak 
Cetak Buletin Penyuluhan dan Ketahanan Pangan2 pkt x 6.000.000,00 = 12.000.000,00",,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,11025000," Penggandaan
Penggandaan dan penjilidan Programa Penyuluhan1 pkt x 200.000,00 = 200.000,00
 Penggandaan dan penjilidan Programa Penyuluhan Kec17 pkt x 200.000,00 = 3.400.000,00
Penggandaan materi dan laporan15 pkt x 495.000,00 = 7.425.000,00",,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 07 , Belanja Sewa Rumah/Gedung/Gudang/Parkir ,7500000,,,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 07 . 03 , Belanja Sewa Ruang Rapat/Pertemuan ,7500000," Belanja sewa ruang rapat/pertemuan
- Sewa tempat pembelajaran UP-FMA15 pkt x 500.000,00 = 7.500.000,00",,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,96300000,,,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,14850000," Belanja makan minum rapat koordinasi 
Konsumsi rapat koordinasi Programa tk Kab (30 or x 3 kali)90 om x 22.500,00 = 2.025.000,00
'- Konsumsi rapat koordinasi Buletin (8 or x 10 kali)80 om x 22.500,00 = 1.800.000,00
'- Konsumsi rapat koordinasi UP-FMA (30 org x 3)90 om x 22.500,00 = 2.025.000,00
makan minum koordinasi klinik agribisnis keliling (20 org x 17 )340 om x 22.500,00 = 7.650.000,00
makan minum koordinasi monev OVOP TOGA (30 org x 2 )60 om x 22.500,00 = 1.350.000,00",,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 11 . 05 , Belanja Makanan dan Minuman Pelaksanaan Kegiatan ,81450000," Belanja makan dan minum pelaksanaan kegiatan
Konsumsi makan minum peserta dan panitia (30 0r x 3 x 15 FMA)1,350 om x 22.500,00 = 30.375.000,00
Konsumsi makan minum koordinasi programa kecamatan (20 org x 17)340 om x 22.500,00 = 7.650.000,00
Konsumsi makan minum rembug tani tk desa (20 org x 75 ds)1,500 om x 22.500,00 = 33.750.000,00
makan minum koordinasi tk BPP ( 10 org x 17)170 om x 22.500,00 = 3.825.000,00
Konsumsi makan minum penyusunan programa tk 10 om x 22.500,00 = 225.000,00 
Konsumsi makan minum penyusunan Programa tk Kecamatan (2 org x 17 kec x 5 hr)170 om x 22.500,00 = 3.825.000,00
Konsumsi makan minum penyusunan Buletin (8 org x 10 hr)80 om x 22.500,00 = 1.800.000,00",,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,11950000,,,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,11950000," Perjalanan dinas dalam rangka programa
Gol IV20 op x 50.000,00 = 1.000.000,00 
Gol III20 op x 40.000,00 = 800.000,00
Perjalanan dinas dalam rangka rembug tani
Gol III15 op x 40.000,00 = 600.000,00
Gol IV75 op x 50.000,00 = 3.750.000,00
Perjalanan dinas dalam rangka UP-FMA
Gol IV30 op x 50.000,00 = 1.500.000,00 
Gol III15 op x 40.000,00 = 600.000,00
Perjalanan dinas dalam rangka monev OVOP TOGA
Gol IV20 op x 50.000,00 = 1.000.000,00
Gol III10 op x 40.000,00 = 400.000,00
Perjalanan dinas dalam rangka klinik agribisnis keliling
Gol III15 op x 40.000,00 = 600.000,00
Gol IV34 op x 50.000,00 = 1.700.000,00",,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",73125000,,,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 35 . 01 , Jasa Nara Sumber/Moderator/Tenaga Ahli ,45000000," Honor narasumber pembelajaran UP-FMA
Honor narasumber Pembelajaran UP FMA (8 jpl x 3 x 15 UP-FMA)360 jpl x 125.000,00 = 45.000.000,00",,
2.01 . 1.21.01 . 15 . 13 . 5 . 2 . 2 . 35 . 05 , Jasa Peserta Seminar/Simposium /Workshop/Sosialisasi ,28125000," Honorarium peserta seminar/simposium/workshop/sosialisasi
Uang saku peserta pembelajaran UP-FMA ( 25 org x 3 x 15 UP-FMA)1,125 oh x 25.000,00 = 28.125.000,00",,
2.01 . 1.21.01 . 15 . 16 , Penyuluhan dan Pendampingan Kelembagaan Petani ,82960000," Sumber Dana : 
Lokasi Kegiatan : Bantul
Keluaran : terlaksananya pendampingan untuk kelompok tani
Target: 71 orang",,
2.01 . 1.21.01 . 15 . 16 . 5 . 2 . 2 , Belanja Barang dan Jasa ,82960000,,,
2.01 . 1.21.01 . 15 . 16 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,2865000,,,
2.01 . 1.21.01 . 15 . 16 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,2865000," Belanja Alat Tulis Kantor1 pkt x 2.865.000,00 = 2.865.000,00",,
2.01 . 1.21.01 . 15 . 16 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,1000000,,,
2.01 . 1.21.01 . 15 . 16 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,1000000," Belanja penggandaan / Foto copy1 pkt x 1.000.000,00 = 1.000.000,00",,
2.01 . 1.21.01 . 15 . 16 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,4545000,,,
2.01 . 1.21.01 . 15 . 16 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,4545000," Belanja Makanan dan Minuman Rapat
Konsumsi makan minum rapat koordinasi tk Kab202 os x 22.500,00 = 4.545.000,00",,
2.01 . 1.21.01 . 15 . 16 . 5 . 2 . 2 . 35 ," Jasa Narasumber, Tenaga Ahli, Yuri, Entry Data, Petugas Fogging dan Petugas Lapangan ",74550000,,,
2.01 . 1.21.01 . 15 . 16 . 5 . 2 . 2 . 35 . 06 , Jasa Tenaga Harian Lepas ,74550000," Honorarium tenagas harian lepas
Honor Pendampingan THL-TBPP142 ob x 525.000,00 = 74.550.000,00",,
1.21 . 1.21.01 . 15 , Program Peningkatan Ketahanan Pangan Pertanian / Perkebunan ,1887860500,,,
1.21 . 1.21.01 . 15 . 01 , Penanganan daerah rawan pangan ,19800000," Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : terlakasananya Penanganan daerah rawan pangan
Target: 1 desa",,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 1 , Belanja Pegawai ,3800000,,,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 1 . 01 , Honorarium PNS ,3800000,,,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,3800000," Honorarium Panitia Pelaksana Kegiatan
Ketua8 ob x 150.000,00 = 1.200.000,00
Sekretaris8 ob x 125.000,00 = 1.000.000,00
Anggota (2 Org)16 ob x 100.000,00 = 1.600.000,00",,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 2 , Belanja Barang dan Jasa ,16000000,,,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,600000,,,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,600000," Belanja ATK dan suplies komputer1 ls x 600.000,00 = 600.000,00",,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,9000000,,,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 02 . 08 , Belanja Bahan Makanan ,9000000," Belanja Sampel bahan pangan untuk Intervensi
Belanja Sampel bahan1 paket x 9.000.000,00 = 9.000.000,00",,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,600000,,,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,600000," Penggandaan/ fotokopi1 ls x 600.000,00 = 600.000,00",,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,4050000,,,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,4050000," Belanja makan minum, snack rapat koordinasi180 om x 22.500,00 = 4.050.000,00",,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 15 , Belanja Perjalanan Dinas ,1750000,,,
1.21 . 1.21.01 . 15 . 01 . 5 . 2 . 2 . 15 . 01 , Belanja Perjalanan Dinas Dalam Daerah ,1750000," Perjalanan Dinas ke lapangan
- Gol IV = 15 x Rp 50.000,-15 op x 50.000,00 = 750.000,00
- Gol III = 25 x Rp 40.000,-25 op x 40.000,00 = 1.000.000,00",,
1.21 . 1.21.01 . 15 . 14 , Pengembangan desa mandiri pangan ,179600000," Sumber Dana :
 Lokasi Kegiatan : Bantul
Keluaran : terlaksananya pengembangan Desa Mandiri Pangan; Lomba APN
Target: 21 desa",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 1 , Belanja Pegawai ,8750000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 1 . 01 , Honorarium PNS ,8750000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 1 . 01 . 01 , Honorarium Panitia Pelaksana Kegiatan ,8750000," Honor Panitia Pelaksana Kegiatan
Ketua10 ob x 150.000,00 = 1.500.000,00
Sekretaris10 ob x 125.000,00 = 1.250.000,00
Anggota60 ob x 100.000,00 = 6.000.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 , Belanja Barang dan Jasa ,170850000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 01 , Belanja Bahan Pakai Habis ,7230000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 01 . 01 , Belanja Alat Tulis Kantor ,7230000," ATK dan suplies komputer Demapan1 ls x 1.130.000,00 = 1.130.000,00
ATK Pelatihan Teknis (8 kel x 30 Org)240 paket x 15.000,00 = 3.600.000,00
ATK Peserta Pelatihan Peningkatan Kapasitas SDM Demapan50 paket x 15.000,00 = 750.000,00
ATK dan suplies komputer utk APN1 ls x 1.750.000,00 = 1.750.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 02 , Belanja Bahan/Material ,24000000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 02 . 12 , Belanja alat-alat/perlengkapan ,24000000," Belanja perlengkapan pengolahan pangan
1. Kel. Demapan Argorejo1 pkt x 3.000.000,00 = 3.000.000,00
2. Kel. Demapan Triwidadi1 pkt x 3.000.000,00 = 3.000.000,00
6. Kel. Demapan Wonolelo1 pkt x 3.000.000,00 = 3.000.000,00
7. Kel. Demapan Bawuran1 pkt x 3.000.000,00 = 3.000.000,00
8. Kel. Demapan Segoroyoso1 pkt x 3.000.000,00 = 3.000.000,00
3. Kel. Demapan Bangunjiwo1 pkt x 3.000.000,00 = 3.000.000,00
4. Kel. Demapan Tamantirto1 pkt x 3.000.000,00 = 3.000.000,00
5. Kel Demapan Jagalan1 pkt x 3.000.000,00 = 3.000.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 03 , Belanja Jasa Kantor ,250000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 03 . 14 , Belanja Dekorasi ,250000," Dekorasi Pelatihan Peningkatan Kapasitas SDM Demapan1 pkt x 250.000,00 = 250.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 06 , Belanja Cetak dan Penggandaan ,8000000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 06 . 02 , Belanja Penggandaan ,8000000," Penggandaan/ fotokopi Demapan1 ls x 600.000,00 = 600.000,00
Penggandaan dan Penjilidan Laporan1 ls x 500.000,00 = 500.000,00
Penggandaan / fotokopi materi Profil APN48 expl x 100.000,00 = 4.800.000,00
Penggandaan/ fotokopi utk DKP1 ls x 1.500.000,00 = 1.500.000,00
Penggandaan / fotokopi materi Pelatihan Peningkatan Kapasitas SDM Demapan1 pkt x 600.000,00 = 600.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 07 , Belanja Sewa Rumah/Gedung/Gudang/Parkir ,900000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 07 . 03 , Belanja Sewa Ruang Rapat/Pertemuan ,900000," BelanjaSewa ruang rapat1 pkt x 900.000,00 = 900.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 08 , Belanja Sewa Sarana Mobilitas ,4500000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 08 . 01 , Belanja Sewa Sarana Mobilitas Darat ,4500000," Belanja Sewa sarana Mobilitas Darat1 hari x 4.500.000,00 = 4.500.000,00",,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 11 , Belanja Makanan dan Minuman ,47920000,,,
1.21 . 1.21.01 . 15 . 14 . 5 . 2 . 2 . 11 . 02 , Belanja Makanan Dan Minuman Rapat ,8100000," '- Makan Minum Snack Rapat Koordinasi120 om x 22.500,00 = 2.700.000,00'
- Makan minum Rapat Koordinasi Dewan Ketahanan Pangan240 om x 22.500,00 = 5.400.000,00",,
